ORF	Complex
YKR068C	TRAPP complex
YML077W	TRAPP complex
YDR108W	TRAPP complex
YGR166W	TRAPP complex
YDR407C	TRAPP complex
YMR218C	TRAPP complex
YBR254C	TRAPP complex
YDR246W	TRAPP complex
YDR472W	TRAPP complex
YOR115C	TRAPP complex
YNL021W	histone deacetylase complex
YDR295C	histone deacetylase complex
YPR179C	histone deacetylase complex
YDR448W	Ada2p/Gcn5p/Ada3 transcription activator complex
YOR023C	Ada2p/Gcn5p/Ada3 transcription activator complex
YGR252W	Ada2p/Gcn5p/Ada3 transcription activator complex
YPL254W	Ada2p/Gcn5p/Ada3 transcription activator complex
YDR176W	Ada2p/Gcn5p/Ada3 transcription activator complex
YJL065C	chromatin accessibility complex
YDR121W	chromatin accessibility complex
YOR304W	chromatin accessibility complex
YGL133W	chromatin accessibility complex
YGL051W	Mst27p/Mst28p complex
YAR033W	Mst27p/Mst28p complex
YPL048W	eEF1
YAL003W	eEF1
YPR080W	eEF1
YBR118W	eEF1
YKL081W	eEF1
YJR060W	Cbf1p/Met4p/Met28p complex
YIR017C	Cbf1p/Met4p/Met28p complex
YNL103W	Cbf1p/Met4p/Met28p complex
YDL043C	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YJL203W	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YDL030W	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YIR017C	Met4p/Met28p/Met31p complex
YPL038W	Met4p/Met28p/Met31p complex
YNL103W	Met4p/Met28p/Met31p complex
YJL085W	Exocyst complex
YBR102C	Exocyst complex
YLR166C	Exocyst complex
YGL233W	Exocyst complex
YER008C	Exocyst complex
YDR166C	Exocyst complex
YIL068C	Exocyst complex
YPR055W	Exocyst complex
YER019C-A	Ssh1p translocon complex
YBR283C	Ssh1p translocon complex
YDR086C	Ssh1p translocon complex
YHR158C	Kel1p/Kel2p complex
YGR238C	Kel1p/Kel2p complex
YDL175C	TRAMP complex (Air2p)
YJL050W	TRAMP complex (Air2p)
YOL115W	TRAMP complex (Air2p)
YIL033C	cAMP-dependent protein kinase
YJL164C	cAMP-dependent protein kinase
YPL203W	cAMP-dependent protein kinase
YKL166C	cAMP-dependent protein kinase
YMR023C	Mto1p/Mss1p complex
YGL236C	Mto1p/Mss1p complex
YGR188C	Bub1p/Bub3p complex
YOR026W	Bub1p/Bub3p complex
YNL076W	Mks1p/Rtg2p complex
YGL252C	Mks1p/Rtg2p complex
YBR131W	Mon1p/Ccz1p complex
YGL124C	Mon1p/Ccz1p complex
YIL062C	Arp2/3 protein complex
YLR370C	Arp2/3 protein complex
YKL013C	Arp2/3 protein complex
YNR035C	Arp2/3 protein complex
YBR234C	Arp2/3 protein complex
YDL029W	Arp2/3 protein complex
YJR065C	Arp2/3 protein complex
YDR013W	GINS complex
YJL072C	GINS complex
YOL146W	GINS complex
YDR489W	GINS complex
YOL090W	MSH2p/MSH6p complex
YDR097C	MSH2p/MSH6p complex
YNL072W	ribonuclease H2 complex
YDR279W	ribonuclease H2 complex
YLR154C	ribonuclease H2 complex
YBR045C	Gip1p/Glc7p complex
YER133W	Gip1p/Glc7p complex
YBR036C	Sur1p/Csg2p complex
YPL057C	Sur1p/Csg2p complex
YER012W	20S proteasome
YOR362C	20S proteasome
YPR103W	20S proteasome
YJL001W	20S proteasome
YFR050C	20S proteasome
YMR314W	20S proteasome
YOL038W	20S proteasome
YBL041W	20S proteasome
YML092C	20S proteasome
YGR135W	20S proteasome
YOR157C	20S proteasome
YGR253C	20S proteasome
YER094C	20S proteasome
YGL011C	20S proteasome
YLR270W	Dcs1p/Dcs2 heterodimer
YOR173W	Dcs1p/Dcs2 heterodimer
YOR210W	DNA-directed RNA polymerase II complex
YOL005C	DNA-directed RNA polymerase II complex
YOR151C	DNA-directed RNA polymerase II complex
YIL021W	DNA-directed RNA polymerase II complex
YJL140W	DNA-directed RNA polymerase II complex
YBR154C	DNA-directed RNA polymerase II complex
YDR404C	DNA-directed RNA polymerase II complex
YOR224C	DNA-directed RNA polymerase II complex
YGL070C	DNA-directed RNA polymerase II complex
YHR143W-A	DNA-directed RNA polymerase II complex
YDL140C	DNA-directed RNA polymerase II complex
YPR187W	DNA-directed RNA polymerase II complex
YPL194W	Rad17p/Ddc1p/Mec3p complex
YLR288C	Rad17p/Ddc1p/Mec3p complex
YOR368W	Rad17p/Ddc1p/Mec3p complex
YBR123C	transcription factor TFIIIC complex
YAL001C	transcription factor TFIIIC complex
YGR047C	transcription factor TFIIIC complex
YDR362C	transcription factor TFIIIC complex
YOR110W	transcription factor TFIIIC complex
YPL007C	transcription factor TFIIIC complex
YBL008W	HIR complex
YOR038C	HIR complex
YJR140C	HIR complex
YBR215W	HIR complex
YKL112W	nucleotide-excision repair factor 4 complex
YPL046C	nucleotide-excision repair factor 4 complex
YBR114W	nucleotide-excision repair factor 4 complex
YJR052W	nucleotide-excision repair factor 4 complex
YLR233C	Telomerase
YLR318W	Telomerase
YIL009C-A	Telomerase
YOL124C	adoMet-dependent tRNA methyltransferase (Mtase) Complex
YNR046W	adoMet-dependent tRNA methyltransferase (Mtase) Complex
YBR112C	Sko1p/Cyc8p/Tup1 repressor complex
YNL167C	Sko1p/Cyc8p/Tup1 repressor complex
YCR084C	Sko1p/Cyc8p/Tup1 repressor complex
YDL116W	Nup84p complex
YJR042W	Nup84p complex
YKL057C	Nup84p complex
YGL092W	Nup84p complex
YLR208W	Nup84p complex
YGL100W	Nup84p complex
YML065W	Origin recognition complex
YBR060C	Origin recognition complex
YLL004W	Origin recognition complex
YPR162C	Origin recognition complex
YNL261W	Origin recognition complex
YHR118C	Origin recognition complex
YAL010C	mitochondrial sorting and assembly machinery complex
YHR083W	mitochondrial sorting and assembly machinery complex
YMR060C	mitochondrial sorting and assembly machinery complex
YNL026W	mitochondrial sorting and assembly machinery complex
YMR167W	Mlh1p/Mlh3p complex
YPL164C	Mlh1p/Mlh3p complex
YEL027W	"H+-transporting ATPase, vacuolar"
YHR026W	"H+-transporting ATPase, vacuolar"
YDL185W	"H+-transporting ATPase, vacuolar"
YPL234C	"H+-transporting ATPase, vacuolar"
YHR039C-A	"H+-transporting ATPase, vacuolar"
YPR036W	"H+-transporting ATPase, vacuolar"
YBR127C	"H+-transporting ATPase, vacuolar"
YOR332W	"H+-transporting ATPase, vacuolar"
YKL080W	"H+-transporting ATPase, vacuolar"
YLR447C	"H+-transporting ATPase, vacuolar"
YGR020C	"H+-transporting ATPase, vacuolar"
YEL051W	"H+-transporting ATPase, vacuolar"
YOR270C	"H+-transporting ATPase, vacuolar"
YBR160W	Cdc28p/Clb5p complex
YPR120C	Cdc28p/Clb5p complex
YNL221C	nucleolar ribonuclease P complex
YNL282W	nucleolar ribonuclease P complex
YBR257W	nucleolar ribonuclease P complex
YAL033W	nucleolar ribonuclease P complex
YGR030C	nucleolar ribonuclease P complex
YBR167C	nucleolar ribonuclease P complex
YBL018C	nucleolar ribonuclease P complex
YIR015W	nucleolar ribonuclease P complex
YHR062C	nucleolar ribonuclease P complex
YLR163C	mitochondrial processing peptidase complex
YHR024C	mitochondrial processing peptidase complex
YKR020W	GARP complex
YDR484W	GARP complex
YJL029C	GARP complex
YDR027C	GARP complex
YGR092W	Mob1p/Dbf2p complex
YIL106W	Mob1p/Dbf2p complex
YER173W	DNA replication factor C complex (Rad24p)
YJR068W	DNA replication factor C complex (Rad24p)
YNL290W	DNA replication factor C complex (Rad24p)
YOL094C	DNA replication factor C complex (Rad24p)
YBR087W	DNA replication factor C complex (Rad24p)
YNL230C	Ela1p/Elc1p complex
YPL046C	Ela1p/Elc1p complex
YPL002C	ESCRT II complex
YJR102C	ESCRT II complex
YLR417W	ESCRT II complex
YGL237C	CCAAT-binding factor complex
YBL021C	CCAAT-binding factor complex
YKL109W	CCAAT-binding factor complex
YOR358W	CCAAT-binding factor complex
YKR028W	Sap190p/Sit4p complex
YDL047W	Sap190p/Sit4p complex
YER159C	NC2 complex
YDR397C	NC2 complex
YJL115W	Rad53p/Asf1p complex
YPL153C	Rad53p/Asf1p complex
YLR060W	Phenylalaninine-tRNA-ligase
YFL022C	Phenylalaninine-tRNA-ligase
YLR246W	palmitoyltransferase complex
YOL110W	palmitoyltransferase complex
YGL174W	RES complex
YLR016C	RES complex
YIR005W	RES complex
YNL221C	ribonuclease MRP complex
YNL282W	ribonuclease MRP complex
YBR257W	ribonuclease MRP complex
YAL033W	ribonuclease MRP complex
YGR030C	ribonuclease MRP complex
YBR167C	ribonuclease MRP complex
YBL018C	ribonuclease MRP complex
YLR145W	ribonuclease MRP complex
YHR062C	ribonuclease MRP complex
YDR478W	ribonuclease MRP complex
