complexID	ORF
complex_0	NAS6
complex_0	RPT2
complex_0	YPR003C
complex_0	IQG1
complex_0	RPN14
complex_0	PEP1
complex_0	RPT1
complex_0	SDF1
complex_0	SEM1
complex_0	RPN12
complex_0	ERV46
complex_0	HUL5
complex_0	YDL036C
complex_0	RPN13
complex_0	SPO77
complex_0	YNL087W
complex_0	PCI8
complex_0	RRI1
complex_0	RPT6
complex_0	NMD3
complex_0	CSI1
complex_0	PST1
complex_0	SWA2
complex_0	YKL027W
complex_0	RPN1
complex_0	FPR2
complex_0	TOR2
complex_0	SQT1
complex_0	UBP6
complex_0	YNL022C
complex_0	YMR258C
complex_0	RPN11
complex_0	CSN9
complex_0	RPN8
complex_0	SEC18
complex_0	RPN5
complex_0	MOT1
complex_0	RPN2
complex_0	RPN9
complex_0	RPN10
complex_0	MPT5
complex_0	YMR191W
complex_0	RPT5
complex_0	RPN6
complex_0	YEN1
complex_0	YPT52
complex_0	SKP1
complex_0	RPT4
complex_0	RRI2
complex_0	YBL054W
complex_0	RPN7
complex_0	RPT3
complex_0	NPT1
complex_0	YOL022C
complex_1	YKL151C
complex_1	RSM23
complex_1	MRP10
complex_1	NCL1
complex_1	CBF1
complex_1	MRP21
complex_1	MRPS5
complex_1	RSM26
complex_1	SVL3
complex_1	MRPL8
complex_1	MRP1
complex_1	YHR155W
complex_1	YNR036C
complex_1	MRPS9
complex_1	MRP51
complex_1	MRP17
complex_1	MRPS18
complex_1	RSM18
complex_1	MRPS35
complex_1	RSM27
complex_1	RSM7
complex_1	NAM9
complex_1	PET123
complex_1	RSM19
complex_1	RIB4
complex_1	MRP4
complex_1	RSM24
complex_1	RSM28
complex_1	FYV4
complex_1	MRPS16
complex_1	MRPS28
complex_1	RSM22
complex_1	RSM25
complex_1	MRPS17
complex_1	RSM10
complex_1	YNL081C
complex_1	MAM33
complex_1	YJR096W
complex_1	YDR124W
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_1	
complex_2	CCA1
complex_2	VID21
complex_2	YCR060W
complex_2	YLR385C
complex_2	FUN36
complex_2	IES3
complex_2	ESA1
complex_2	EPL1
complex_2	IES5
complex_2	IES2
complex_2	VPS71
complex_2	EAF5
complex_2	NTO1
complex_2	ARP6
complex_2	NHP10
complex_2	VPS72
complex_2	YNL136W
complex_2	ARP5
complex_2	IES4
complex_2	ARP8
complex_2	AOR1
complex_2	IES6
complex_2	YNG2
complex_2	RVB1
complex_2	YHR034C
complex_2	RVB2
complex_2	SWR1
complex_2	EAF6
complex_2	INO80
complex_2	TRA1
complex_2	IES1
complex_2	SAS3
complex_2	GOD1
complex_2	YAF9
complex_2	ARP4
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_2	
complex_3	SCL1
complex_3	PRE6
complex_3	PRE2
complex_3	YJL132W
complex_3	MCM6
complex_3	PRE5
complex_3	YKR070W
complex_3	UMP1
complex_3	DCG1
complex_3	SNQ2
complex_3	TOS8
complex_3	YDL203C
complex_3	PRE7
complex_3	MLP1
complex_3	PRE10
complex_3	PMD1
complex_3	PMT4
complex_3	SGA1
complex_3	PRE4
complex_3	PRE1
complex_3	GNA1
complex_3	PUP1
complex_3	YLR290C
complex_3	PRE3
complex_3	PRE8
complex_3	CIN8
complex_3	PUP2
complex_3	YLR211C
complex_3	YDR179W-A
complex_3	PUP3
complex_3	PRE9
complex_3	RFT1
complex_3	YCR076C
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_3	
complex_4	SMX2
complex_4	SNU66
complex_4	PRP31
complex_4	BRR1
complex_4	MUD1
complex_4	SNU56
complex_4	YDL085C-A
complex_4	YHC1
complex_4	NAM8
complex_4	YJU2
complex_4	SMD3
complex_4	SNU71
complex_4	SME1
complex_4	PRP2
complex_4	PRP42
complex_4	PRP40
complex_4	BRR2
complex_4	CSE1
complex_4	SMD1
complex_4	SMD2
complex_4	TAD2
complex_4	SMB1
complex_4	PRP8
complex_4	SMX3
complex_4	PRP6
complex_4	AAR2
complex_4	SNP1
complex_4	YNL092W
complex_4	YOR305W
complex_4	PRP3
complex_4	LUC7
complex_4	SNU114
complex_4	PRP39
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_4	
complex_5	AHC1
complex_5	TAF68
complex_5	SPT8
complex_5	TAF67
complex_5	TAF90
complex_5	HFI1
complex_5	TAF25
complex_5	ADA2
complex_5	TAF40
complex_5	SPT7
complex_5	MPT1
complex_5	TAF19
complex_5	REV3
complex_5	RAD59
complex_5	SGF29
complex_5	YMR007W
complex_5	PDR15
complex_5	TAF6
complex_5	GCN5
complex_5	SPT20
complex_5	SNL1
complex_5	TAF17
complex_5	YPL047W
complex_5	YPL222W
complex_5	NGG1
complex_5	YCR082W
complex_5	MSS4
complex_5	TAF47
complex_5	SPT3
complex_5	TAF145
complex_5	UBP8
complex_5	SGF73
complex_5	
complex_5	
complex_5	
complex_5	
complex_5	
complex_5	
complex_5	
complex_5	
complex_5	
