russel_U1 snRNP	LUC7
YBR119W	russel_U1 snRNP
YHR086W	russel_U1 snRNP
YML046W	russel_U1 snRNP
YKL012W	russel_U1 snRNP
YDR235W	russel_U1 snRNP
YIL061C	russel_U1 snRNP
YDR240C	russel_U1 snRNP
YGR013W	russel_U1 snRNP
YLR298C	russel_U1 snRNP
YOR362C	russel_20S core particle of the proteasome
YPR103W	russel_20S core particle of the proteasome
YJL001W	russel_20S core particle of the proteasome
YOL038W	russel_20S core particle of the proteasome
YML092C	russel_20S core particle of the proteasome
YER094C	russel_20S core particle of the proteasome
YGL011C	russel_20S core particle of the proteasome
YBL026W	russel_Lsm2-Lsm8 complex
YER112W	russel_Lsm2-Lsm8 complex
YDR378C	russel_Lsm2-Lsm8 complex
YNL147W	russel_Lsm2-Lsm8 complex
YCR077C	russel_Lsm2-Lsm8 complex
YIL035C	russel_Casein kinase II complex
YOR061W	russel_Casein kinase II complex
YGL019W	russel_Casein kinase II complex
YOR039W	russel_Casein kinase II complex
YNL112W	russel_Complex 5
YFR031C-A	russel_Complex 5
YMR176W	russel_Complex 6
YGR170W	russel_Complex 6
YOL054W	russel_Complex 6
YGL111W	russel_Complex 7
YHR088W	russel_Complex 7
YER017C	russel_m-AAA protease complex
YGR231C	russel_m-AAA protease complex
YMR089C	russel_m-AAA protease complex
YDR036C	russel_Mitochondrial ribosomal small subunit
YDR347W	russel_Mitochondrial ribosomal small subunit
YGR084C	russel_Mitochondrial ribosomal small subunit
YKL003C	russel_Mitochondrial ribosomal small subunit
YBL090W	russel_Mitochondrial ribosomal small subunit
YHL004W	russel_Mitochondrial ribosomal small subunit
YPL118W	russel_Mitochondrial ribosomal small subunit
YPL013C	russel_Mitochondrial ribosomal small subunit
YMR188C	russel_Mitochondrial ribosomal small subunit
YNL306W	russel_Mitochondrial ribosomal small subunit
YDR337W	russel_Mitochondrial ribosomal small subunit
YBR251W	russel_Mitochondrial ribosomal small subunit
YMR158W	russel_Mitochondrial ribosomal small subunit
YBR146W	russel_Mitochondrial ribosomal small subunit
YNL137C	russel_Mitochondrial ribosomal small subunit
YOR158W	russel_Mitochondrial ribosomal small subunit
YDR041W	russel_Mitochondrial ribosomal small subunit
YNR037C	russel_Mitochondrial ribosomal small subunit
