@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,0,0,0,0,0.236311,negative
0,0,0,788,736,0.013018,positive
0,0,0,0,0,-0.007825,negative
0,0,0,0,0,0.293942,negative
0,0,0,0,0,0.062417,negative
0,0,0,0,0,-0.007050,negative
0,0,0,0,0,-0.000179,negative
110,0,0,0,137,0.012922,positive
0,0,0,0,0,0.005813,negative
0,0,0,95,871,0.006237,positive
0,0,0,0,0,0.006711,negative
0,0,0,0,232,-0.006271,positive
0,0,0,0,0,-0.008504,negative
0,0,0,632,969,0.009663,positive
0,0,0,0,0,0.193593,negative
0,0,0,0,0,-0.012540,negative
0,0,0,0,0,0.164378,negative
0,0,0,0,0,0.164023,negative
0,0,0,0,0,0.172784,negative
0,0,0,0,0,0.466644,negative
0,0,0,0,0,0.141904,negative
0,0,0,0,0,0.060619,negative
0,0,0,0,0,0.031260,negative
0,0,0,0,0,0.323535,negative
0,0,0,0,0,-0.003175,negative
0,0,0,0,0,-0.003543,negative
0,0,0,0,0,0.143197,negative
0,0,0,0,0,0.245423,negative
0,0,0,0,0,0.138908,negative
0,0,0,211,0,-0.001473,negative
0,0,0,0,0,0.228782,negative
0,0,0,0,0,0.036685,negative
0,0,0,0,0,0.002145,negative
0,0,0,0,0,0.185037,negative
0,0,0,0,0,0.420711,negative
0,0,0,0,41,-0.008033,positive
0,0,0,0,0,0.047866,negative
0,0,0,0,0,0.036280,negative
0,0,0,0,0,0.017405,negative
0,0,0,0,0,0.518048,negative
0,0,0,0,0,0.013151,negative
0,0,0,0,0,0.406367,negative
0,0,0,641,700,0.659478,positive
0,0,0,0,0,0.222447,negative
0,0,0,525,977,0.034971,positive
0,0,0,0,901,0.344502,positive
0,0,0,0,0,0.117142,negative
0,0,0,0,0,0.056333,negative
0,0,0,0,0,0.000308,negative
0,0,0,0,0,-0.002398,negative
0,0,0,0,0,0.127472,negative
0,0,0,0,0,0.151450,negative
0,0,0,0,0,-0.005095,negative
0,0,0,0,0,-0.007756,negative
0,0,0,0,0,0.149540,negative
0,0,0,0,126,0.050956,positive
0,0,0,0,0,-0.007713,negative
0,0,0,0,72,-0.009247,positive
0,0,0,0,0,0.005007,negative
0,0,0,0,558,0.107536,negative
0,0,0,0,0,-0.007277,positive
0,0,0,0,0,0.101083,negative
0,0,0,0,0,-0.012543,negative
0,0,0,0,0,0.048109,negative
0,0,0,0,0,0.120397,negative
0,0,0,0,0,0.232161,negative
0,0,0,0,0,0.000501,negative
0,0,0,0,0,0.072286,negative
0,0,0,0,0,-0.007842,negative
0,0,0,0,0,0.355328,negative
0,0,0,0,0,0.126980,negative
0,0,0,0,0,0.268825,negative
0,0,0,0,0,0.225972,negative
0,0,0,0,0,0.147426,negative
0,0,0,0,0,0.065957,positive
0,0,0,0,0,0.013460,negative
0,0,0,0,0,-0.001482,negative
0,0,0,0,0,0.060184,negative
0,0,0,0,0,0.078021,negative
0,0,0,0,0,0.060210,negative
0,0,0,0,0,0.781048,negative
0,0,0,195,53,-0.017261,negative
0,0,0,0,0,0.029322,negative
0,0,0,0,0,0.014736,positive
0,0,0,0,721,0.168083,positive
0,0,0,0,0,0.020758,negative
0,0,0,0,0,0.379962,negative
0,0,0,0,0,0.093229,negative
0,0,0,0,0,0.003845,negative
0,0,0,0,0,0.009726,negative
654,0,0,920,558,0.966190,positive
0,0,0,0,0,0.024636,negative
0,0,0,0,0,0.009302,negative
0,0,0,0,0,-0.007912,negative
0,0,0,0,0,-0.007505,negative
0,0,0,0,0,0.087394,negative
0,0,0,114,396,-0.006040,positive
0,0,0,0,0,0.000545,negative
0,0,0,0,0,0.029030,negative
0,0,0,0,0,0.172927,negative
0,0,0,0,0,-0.009945,negative
0,0,0,0,0,-0.003299,negative
0,0,0,114,689,-0.003773,positive
0,0,0,0,0,0.017602,negative
0,0,0,0,0,0.113591,negative
0,0,0,0,0,-0.006173,negative
0,0,0,0,0,-0.013588,negative
0,0,0,0,0,0.160896,negative
0,0,0,0,0,0.005737,negative
0,0,0,0,0,0.042797,negative
0,0,0,0,173,-0.012789,negative
0,0,0,0,0,0.143596,negative
0,0,0,0,0,-0.003530,negative
0,0,0,0,0,0.093118,negative
0,0,0,0,0,0.139339,negative
0,0,0,0,0,0.166896,negative
0,0,0,0,0,0.043351,negative
0,0,0,0,0,-0.004689,negative
0,0,0,0,0,0.002193,negative
0,0,0,0,0,0.015574,negative
0,0,0,0,0,0.115146,negative
0,0,0,0,0,0.091397,negative
0,0,0,0,0,0.037185,negative
0,0,0,0,0,0.004074,negative
0,0,0,0,0,0.030195,negative
