IDA	IDB	neighborhood	fusion	cooccurence	coexpression	textmining	score	Label
YDR434W	YDR439W	0	0	0	0	0	0.236311	negative
YER025W	YOR361C	0	0	0	788	736	0.013018	positive
YLR421C	YOR142W	0	0	0	0	0	-0.007825	negative
YCR009C	YLR207W	0	0	0	0	0	0.293942	negative
YDR469W	YDR502C	0	0	0	0	0	0.062417	negative
YGR214W	YNL139C	0	0	0	0	0	-0.007050	negative
YLR208W	YPR041W	0	0	0	0	0	-0.000179	negative
YDR341C	YKL067W	110	0	0	0	137	0.012922	positive
YIR003W	YPL007C	0	0	0	0	0	0.005813	negative
YFR010W	YLR421C	0	0	0	95	871	0.006237	positive
YBR127C	YER022W	0	0	0	0	0	0.006711	negative
YDR363W-A	YGR232W	0	0	0	0	232	-0.006271	positive
YDL040C	YJL034W	0	0	0	0	0	-0.008504	negative
YBR127C	YPR036W	0	0	0	632	969	0.009663	positive
YER022W	YJL101C	0	0	0	0	0	0.193593	negative
YGL200C	YJL052W	0	0	0	0	0	-0.012540	negative
YEL020W-A	YER094C	0	0	0	0	0	0.164378	negative
YEL055C	YPL009C	0	0	0	0	0	0.164023	negative
YHR075C	YNL138W	0	0	0	0	0	0.172784	negative
YBR115C	YOL096C	0	0	0	0	0	0.466644	negative
YDR148C	YDR170C	0	0	0	0	0	0.141904	negative
YDL195W	YMR108W	0	0	0	0	0	0.060619	negative
YAL011W	YDL195W	0	0	0	0	0	0.031260	negative
YAR003W	YNR051C	0	0	0	0	0	0.323535	negative
YBL050W	YCR031C	0	0	0	0	0	-0.003175	negative
YER178W	YHL001W	0	0	0	0	0	-0.003543	negative
YKL081W	YOL145C	0	0	0	0	0	0.143197	negative
YBR109C	YER178W	0	0	0	0	0	0.245423	negative
YER093C	YGR238C	0	0	0	0	0	0.138908	negative
YOR232W	YPR041W	0	0	0	211	0	-0.001473	negative
YNL287W	YPR180W	0	0	0	0	0	0.228782	negative
YDL097C	YJR104C	0	0	0	0	0	0.036685	negative
YER012W	YIL125W	0	0	0	0	0	0.002145	negative
YGL206C	YGR134W	0	0	0	0	0	0.185037	negative
YDL185W	YJR148W	0	0	0	0	0	0.420711	negative
YJL029C	YJL034W	0	0	0	0	41	-0.008033	positive
YHR039C-A	YNR050C	0	0	0	0	0	0.047866	negative
YDR469W	YLR325C	0	0	0	0	0	0.036280	negative
YDR361C	YNL071W	0	0	0	0	0	0.017405	negative
YHR069C	YHR186C	0	0	0	0	0	0.518048	negative
YNL037C	YOR110W	0	0	0	0	0	0.013151	negative
YDR221W	YEL032W	0	0	0	0	0	0.406367	negative
YGL011C	YJL001W	0	0	0	641	700	0.659478	positive
YFL039C	YGR238C	0	0	0	0	0	0.222447	negative
YJR007W	YPL237W	0	0	0	525	977	0.034971	positive
YDL029W	YIL062C	0	0	0	0	901	0.344502	positive
YBR126C	YIL075C	0	0	0	0	0	0.117142	negative
YLR192C	YML127W	0	0	0	0	0	0.056333	negative
YMR314W	YOL096C	0	0	0	0	0	0.000308	negative
YAL026C	YGL030W	0	0	0	0	0	-0.002398	negative
YLR038C	YLR180W	0	0	0	0	0	0.127472	negative
YDR168W	YDR496C	0	0	0	0	0	0.151450	negative
YGR063C	YJL190C	0	0	0	0	0	-0.005095	negative
YER178W	YMR235C	0	0	0	0	0	-0.007756	negative
YML072C	YNL025C	0	0	0	0	0	0.149540	negative
YGR232W	YIL075C	0	0	0	0	126	0.050956	positive
YAL003W	YIR002C	0	0	0	0	0	-0.007713	negative
YDR233C	YPL154C	0	0	0	0	72	-0.009247	positive
YAL003W	YDL140C	0	0	0	0	0	0.005007	negative
YJL041W	YOL097C	0	0	0	0	558	0.107536	negative
YJL066C	YLR333C	0	0	0	0	0	-0.007277	positive
YHR098C	YPL237W	0	0	0	0	0	0.101083	negative
YJL138C	YPR191W	0	0	0	0	0	-0.012543	negative
YER122C	YNL025C	0	0	0	0	0	0.048109	negative
YDR027C	YMR304W	0	0	0	0	0	0.120397	negative
YDR027C	YPR180W	0	0	0	0	0	0.232161	negative
YDR233C	YER133W	0	0	0	0	0	0.000501	negative
YHR075C	YOR136W	0	0	0	0	0	0.072286	negative
YNL301C	YPL181W	0	0	0	0	0	-0.007842	negative
YAL043C	YGL187C	0	0	0	0	0	0.355328	negative
YAL034C	YGL147C	0	0	0	0	0	0.126980	negative
YCR084C	YDR036C	0	0	0	0	0	0.268825	negative
YER007C-A	YML069W	0	0	0	0	0	0.225972	negative
YDR434W	YMR304W	0	0	0	0	0	0.147426	negative
YOL123W	YPL081W	0	0	0	0	0	0.065957	positive
YDR390C	YGR167W	0	0	0	0	0	0.013460	negative
YKL028W	YPL220W	0	0	0	0	0	-0.001482	negative
YDL195W	YOL144W	0	0	0	0	0	0.060184	negative
YLR115W	YPL237W	0	0	0	0	0	0.078021	negative
YLL004W	YPL023C	0	0	0	0	0	0.060210	negative
YDR496C	YKR054C	0	0	0	0	0	0.781048	negative
YDR037W	YIL094C	0	0	0	195	53	-0.017261	negative
