ProteinID	ComplexID
A0JLT2	230
A0JLT2	5450
A0JLT2	867
A1A4S6	5274
A1Z199	2893
A5D8V6	1192
A6H687	1154
A6H8Y1	1114
A7MCY6	5212
A8K8P3	1183
O00116	635
O00148	5615
O00161	1169
O00161	730
O00161	731
O00161	797
O00161	801
O00161	805
O00161	820
O00161	915
O00189	67
O00203	59
O00203	652
O00213	143
O00213	5870
O00221	5193
O00221	5230
O00221	5465
O00231	193
O00231	32
O00232	193
O00232	32
O00233	193
O00233	32
O00255	1254
O00255	1256
O00257	116
O00257	5513
O00257	642
O00267	1191
O00267	2860
O00268	469
O00268	470
O00268	485
O00268	492
O00268	493
O00268	509
O00268	514
O00268	5386
O00303	1097
O00311	947
O00422	1257
O00422	5614
O00422	732
O00422	738
O00422	739
O00422	743
O00422	761
O00425	351
O00429	4200
O00443	1185
O00482	5575
O00487	193
O00487	32
O00505	5193
O00548	3154
O00548	3270
O00548	3271
O00566	533
O00567	3055
O00571	1332
O00571	351
O00571	5232
O00622	2348
O00622	2437
O00743	5196
O00750	1185
O00764	1085
O00764	1086
O14495	2366
O14497	1230
O14497	1237
O14497	1252
O14497	189
O14497	238
O14497	570
O14497	571
O14497	713
O14497	714
O14497	739
O14497	778
O14497	806
O14497	86
O14543	5564
O14617	59
O14617	652
O14656	1000
O14657	1000
O14662	875
O14662	877
O14686	1400
O14686	3075
O14727	1248
O14727	5816
O14744	1231
O14744	2764
O14744	2838
O14744	713
O14744	714
O14744	806
O14744	811
O14744	819
O14744	825
O14744	832
O14744	834
O14744	836
O14745	682
O14745	687
O14757	2171
O14757	2714
O14776	351
O14777	127
O14786	3104
O14786	5646
O14786	5647
O14786	5648
O14786	5649
O14786	5689
O14786	5696
O14786	5701
O14786	5731
O14786	5734
O14786	5745
O14786	5746
O14810	1137
O14810	1139
O14810	1140
O14810	793
O14818	181
O14818	191
O14818	192
O14818	193
O14818	194
O14828	3262
O14867	2788
O14867	2815
O14867	2817
O14867	443
O14893	1143
O14893	1746
O14893	1749
O14893	3118
O14893	3284
O14893	3298
O14893	832
O14910	1089
O14910	3207
O14910	3208
O14920	2727
O14920	5194
O14920	5233
O14920	5234
O14920	5266
O14920	5828
O14920	5844
O14925	3093
O14925	3097
O14925	605
O14925	660
O14929	1149
O14929	1150
O14936	3207
O14936	3208
O14936	617
O14964	3677
O14964	706
O14965	2581
O14965	631
O14974	815
O14979	1332
O14980	1045
O14980	1116
O14980	1117
O14980	1176
O15027	5194
O15042	2755
O15042	351
O15047	2721
O15047	2731
O15084	5196
O15105	2992
O15111	2124
O15111	2727
O15111	5193
O15111	5194
O15111	5196
O15111	5220
O15111	5230
O15111	5232
O15111	5233
O15111	5266
O15111	5285
O15111	5286
O15111	5829
O15111	5844
O15116	561
O15117	2753
O15126	3262
O15127	3262
O15143	27
O15144	27
O15145	27
O15169	1812
O15169	1828
O15169	2842
O15169	2968
O15169	2998
O15169	3004
O15169	3166
O15169	3168
O15169	3170
O15198	443
O15212	112
O15228	635
O15230	2318
O15230	2319
O15230	2322
O15234	755
O15235	315
O15235	320
O15239	2939
O15265	470
O15265	476
O15269	2863
O15270	2863
O15287	244
O15287	2739
O15287	3083
O15287	91
O15294	177
O15294	2721
O15297	1183
O15315	251
O15315	256
