IDB	IDA
B0303.7	B0286.3
B0336.6	B0303.7
B0547.1	B0025.2
C01B7.5	B0547.1
C01F6.6	B0547.1
C02F5.1	C01C10.2
C03D6.6	B0464.1
C04A11.4	B0303.7
C07A9.3	B0207.4
C08B11.5	B0336.6
C09B8.6	C01B7.5
C09D1.1	B0379.4
C09G1.4	B0303.7
C09G1.4	B0365.1
C09H6.2	5D920
C09H6.2	B0207.4
C09H6.2	B0222.8
C09H6.2	C06C3.3
C09H6.2	C07D10.2
C09H6.2	C09D4.5
C10F3.6	B0286.3
C14F5.5	B0286.3
C14F5.5	C02C6.1
C16C8.5	C10C6.1
C18D11.4	C02F5.1
C18E9.6	C09H6.2
C18F3.4	C09H6.2
C18H9.7	C06A6.2
C18H9.7	C07A12.1
C23G10.8	C02F5.9
C23G10.8	C18D11.4
C24G6.8	C03D6.6
C25F6.2	B0286.3
C25F6.2	B0336.10
C25F6.2	B0547.1
C25F6.2	C06E2.1
C25F6.2	C07D10.2
C26C6.8	B0286.3
C27A12.2	C25F6.2
C27A12.3	C09D1.1
C27A2.6	B0547.1
C27A2.6	C08C3.3
C27H6.3	C25F6.2
C28H8.12	C17E4.2
C29H12.6	C09G1.4
C30F12.4	C09H6.2
C31H1.6	C26C6.8
C32D5.9	C06G1.4
C32D5.9	C27A2.6
C34C12.4	C25F6.2
C34C6.6	C25F6.2
C34F11.9	B0001.6
C34F11.9	B0218.7
C34F11.9	B0547.1
C34F11.9	C05D10.1
C34F11.9	C24G6.8
C34F11.9	C25G4.4
C34F11.9	C34E10.4
C34G6.7	B0281.5
C34G6.7	B0547.1
C34G6.7	C14A6.1
C35B1.1	C32E8.11
C35B8.2	C02C6.1
C35B8.2	C09D1.1
C35B8.2	C25A11.4
C35D10.2	C03A7.14
C36A4.5	C03D6.6
C36B1.4	C32D5.1
C36E8.4	C01G12.1
C36E8.4	C07G1.4
C37C3.6	C33B4.3
C37C3.6	C35B8.2
C38D4.6	C29F9.5
C38D4.6	C35A5.9
C38D4.6	C36B1.4
C39E9.14	C18C4.10
C40A11.3	C01B7.4
C40H1.5	C14F5.5
C44B7.1	C34C6.6
C44F1.2	C34F11.9
C45G9.5	C01B7.5
C45G9.7	B0207.3
C46H3.2	B0286.3
C47B2.3	C25F6.2
C47G2.5	C34C12.3
C48D5.1	C09H6.2
C48E7.11	C09H6.2
C48E7.11	C34D1.5
C49A1.4	C07A12.1
C49H3.6	B0336.6
C50B6.2	C45G9.7
C50D2.3	C01H6.7
C50D2.3	C07E3.6
C50D2.3	C10E2.6
C50D2.3	C32D5.1
C50F2.8	C08F8.5
C52A11.3	C08C3.3
C52A11.3	C14A11.7
C52A11.4	B0001.6
C52A11.4	B0024.14
C52A11.4	B0507.1
C52A11.4	C03A7.14
C52A11.4	C03A7.4
C52A11.4	C18A11.4
C52A11.4	C18F3.4
C52A11.4	C37C3.6
C52A11.4	C39D10.7
C53A5.6	C10C6.1
C56C10.8	C16A3.5
C56C10.8	C18D11.4
D1053.1	C34F11.9
D2024.6	C04F6.4
D2063.1	C34F11.9
D2089.4	C33B4.3
DH11.1	C03D6.6
DY3.2	C01B7.5
DY3.2	C01F6.6
DY3.2	C52A11.3
DY3.2	C52A11.4
EEED8.5	C04H5.6
F07C4.11	C06A6.5
F07H5.8	C09H6.2
F08F8.3	C15H11.9
F09E10.3	B0303.7
F09E10.8	C02C6.1
F09E10.8	C06H5.1
F09E10.8	C06H5.2
F09E10.8	C08B11.5
F09E10.8	C25A11.4
F09E10.8	C32E8.10
F09E10.8	C33B4.3
F09E10.8	C36B1.9
F09E10.8	C49H3.6
F09E5.7	C01B7.4
F09E5.7	C34F11.9
F09F7.5	C35B8.2
F10G8.8	C33B4.3
F13B10.1	C38D4.6
F13B10.1	C39F7.4
F13D12.2	C01F6.6
F13E9.3	C45G9.7
