A5A8P8	Q9XWV0
A5A8Q9	D9N122
A5A8Q9	P10986
A5A8Q9	P34552
A5HBK2	Q8T7Y4
A5JYR4	Q9U2T9
A5JYT2	Q6A573
A5JYT7	P03949
A5JYW2	H2KYL0
A5JYY2	G5ECY0
A5PEX6	G5EC32
A5PEX6	O45539
A5PEX6	Q19253
A5PEX6	Q19951
A5PEX6	Q9U2T9
A6ZJ59	A6ZJ46
A7DT28	G5ECY0
A7DT37	P29355
A7DTF1	O76572
A7LPD5	Q9U2T9
A8JJR1	P54936
A8JJR1	Q6A573
A8JJR1	Q9XVN3
A8WFJ9	Q22227
A8WFL0	Q19253
A8XMZ5	G5EE56
A8XQ35	Q19253
A9D2X7	Q17549
A9D4E4	A5A8Q9
A9D4E4	G5EE56
A9D4E4	Q95PW9
A9UJN7	Q17604
B1GRL4	Q95Q51
B1Q240	G5EE65
B1Q240	G5EEN7
B1Q240	H2L0E1
B1Q240	P91001
B1Q240	Q17391
B1Q240	Q19341
B1Q240	Q21882
B1Q240	Q23458
B1Q240	Q3LRZ3
B1Q240	Q69Z13
B1Q240	Q9GYG1
B1Q240	Q9N4X8
B1Q240	Q9N5S5
B1Q240	Q9TZ84
B1Q249	Q9NAN2
B2D6M2	G5EDE2
B2D6M2	Q11107
B2D6P4	Q6BEV5
B2D6P4	Q9XVU8
B2D6P5	A5A8Q9
B2D6P5	B1Q240
B2D6P5	O01498
B3CJ53	A5A8Q9
B3CJ53	G5EC32
B3CJ53	G5ECK4
B3CJ53	G5EE56
B3CJ53	O76572
B3CJ53	Q10929
B3CJ53	Q8I4E2
B3CJ53	Q95PW9
B3CJ53	Q9U2T9
B3CJ53	Q9U2Z5
B3GWA0	O76572
B3WFV3	Q2V0X4
B4E3X6	G5ECG5
B5WWM0	Q9U2Z5
B7WN72	O01900
B7WN72	O44897
B7WN72	O76840
B7WN72	P92160
B7WN72	Q18999
B7WN72	Q19253
B7WN72	Q27355
B7WN72	Q69Z13
B7WN72	Q8IU06
B7WN72	Q8MXV3
B7WN72	Q8MYM0
B7WN72	Q9U367
B7WN91	Q19547
B7WNB0	P54936
B9WRT9	A5A8Q9
C1P623	G5ECZ8
C1P623	O17583
C1P623	Q9BIC1
C1P629	G5ECK4
C1P629	O45539
C1P635	H2KZK5
C1P635	H2L0E1
C1P635	O01427
C1P635	O17071
C1P635	O17694
C1P635	O44895
C1P635	O45952
C1P635	O61858
C1P635	O62505
C1P635	P10984
C1P635	P28548
C1P635	P34504
C1P635	P41932
C1P635	P48152
C1P635	P53585
C1P635	Q09485
C1P635	Q09663
C1P635	Q17820
C1P635	Q18426
C1P635	Q18891
C1P635	Q19091
C1P635	Q19216
C1P635	Q19989
C1P635	Q20490
C1P635	Q21443
C1P635	Q21701
C1P635	Q21920
C1P635	Q8I4C5
C1P635	Q8MNT0
C1P635	Q93572
C1P635	Q93971
C1P635	Q9NEZ5
C1P635	Q9TZ84
C1P635	Q9TZ99
C1P635	Q9U308
C1P635	Q9U9K0
C1P635	Q9XYB7
C4ALD5	P34568
C4ALD5	Q22387
C5NU64	A5A8Q9
C6KRI9	Q9GYJ7
C6KRP0	Q10457
C6KRP0	Q6A573
C6KRP0	Q9N4A9
C6KRP0	Q9NA61
C7IVR4	Q09989
C7IVR6	Q09989
D0IMZ5	P54936
D0IMZ5	Q6A573
D0IMZ5	Q95PW9
D0IMZ5	Q9U2T9
D0IMZ8	Q8MQ04
D3KFU1	Q18167
D3YT50	G5EC23
D3YT69	Q19951
D3YT78	A6ZJ46
D7SFK5	P46822
E0R7K7	P29355
E0R7K7	Q18204
E1B6T5	G5EBZ2
E3W735	O01900
E3W735	P32085
E3W735	Q09442
E3W735	Q95XQ1
E3W743	A5A8Q9
E3W743	A6ZJ46
E3W743	H2KZV7
E3W743	O76572
E3W743	P34258
E3W743	Q19951
E3W743	Q9U2T9
E8MDW3	Q6A573
F5GUF0	G5EE56
F5GUF0	O45539
F5GUF0	Q19253
F5GUF0	Q19951
F5GUF0	Q9U2Z5
F5GUF6	A6ZJ46
G3MU69	G4RZC8
G4RTG4	A5A8Q9
G4RTG4	Q19253
G4RZC8	Q19905
G4S034	A8WFL0
G4S034	O01900
G4S034	O45233
G4S034	P32085
G4S034	Q09442
G4S034	Q17795
G4S034	Q19905
G4S034	Q20502
G4S034	Q8MYM0
G4S034	Q9BKP3
G4S034	Q9GPA4
G4S034	Q9N582
G5EBF5	H2KZV7
G5EBF5	Q22558
G5EBG1	Q93654
G5EBG1	Q94420
G5EBG4	Q09284
G5EBH3	E7EM33
G5EBH3	G5EC72
G5EBH3	G5ED33
G5EBH3	P39055
G5EBH3	Q09442
G5EBH3	Q17865
G5EBH3	Q95QQ9
G5EBH4	O17396
G5EBN5	A5A8Q9
G5EBP4	P29355
G5EBP4	Q18204
G5EBU5	G5EFA4
G5EBU5	O17583
G5EBU5	Q17549
G5EBV6	G5EC37
G5EBX2	Q09357
G5EBX2	Q20305
G5EBX2	Q8TA83
G5EBX2	Q9TZK8
G5EBY5	G5EFL5
G5EBY5	P53588
G5EBY5	Q9XWW3
G5EC23	P41932
G5EC32	O01900
G5EC32	O45812
G5EC32	P34397
G5EC32	P34552
