#ProtID	TotalCount	WAN111105_HCW_Celegans_wce_P1A01.map	WAN111105_HCW_Celegans_wce_P1A03.map	WAN111105_HCW_Celegans_wce_P1A05.map	WAN111105_HCW_Celegans_wce_P1A07.map	WAN111105_HCW_Celegans_wce_P1A09.map	WAN111105_HCW_Celegans_wce_P1A11.map	WAN111105_HCW_Celegans_wce_P1A12.map	WAN111105_HCW_Celegans_wce_P1B01.map	WAN111105_HCW_Celegans_wce_P1B02.map	WAN111105_HCW_Celegans_wce_P1B03.map	WAN111105_HCW_Celegans_wce_P1B04.map	WAN111105_HCW_Celegans_wce_P1B05.map	WAN111105_HCW_Celegans_wce_P1B06.map	WAN111105_HCW_Celegans_wce_P1B07.map	WAN111105_HCW_Celegans_wce_P1B08.map	WAN111105_HCW_Celegans_wce_P1B09.map	WAN111105_HCW_Celegans_wce_P1B10.map	WAN111105_HCW_Celegans_wce_P1B11.map	WAN111105_HCW_Celegans_wce_P1B12.map	WAN111105_HCW_Celegans_wce_P1C01.map	WAN111105_HCW_Celegans_wce_P1C02.map	WAN111105_HCW_Celegans_wce_P1C03.map	WAN111105_HCW_Celegans_wce_P1C04.map	WAN111105_HCW_Celegans_wce_P1C05.map	WAN111105_HCW_Celegans_wce_P1C06.map	WAN111105_HCW_Celegans_wce_P1C07.map	WAN111105_HCW_Celegans_wce_P1C08.map	WAN111105_HCW_Celegans_wce_P1C09.map	WAN111105_HCW_Celegans_wce_P1C10.map	WAN111105_HCW_Celegans_wce_P1C11.map	WAN111105_HCW_Celegans_wce_P1C12.map	WAN111105_HCW_Celegans_wce_P1D01.map	WAN111105_HCW_Celegans_wce_P1D02.map	WAN111105_HCW_Celegans_wce_P1D03.map	WAN111105_HCW_Celegans_wce_P1D04.map	WAN111105_HCW_Celegans_wce_P1D05.map	WAN111105_HCW_Celegans_wce_P1D06.map	WAN111105_HCW_Celegans_wce_P1D07.map	WAN111105_HCW_Celegans_wce_P1D08.map	WAN111105_HCW_Celegans_wce_P1D09.map	WAN111105_HCW_Celegans_wce_P1D10.map	WAN111105_HCW_Celegans_wce_P1D11.map	WAN111105_HCW_Celegans_wce_P1D12.map	WAN111105_HCW_Celegans_wce_P1E01.map	WAN111105_HCW_Celegans_wce_P1E02.map	WAN111105_HCW_Celegans_wce_P1E03.map	WAN111105_HCW_Celegans_wce_P1E04.map	WAN111105_HCW_Celegans_wce_P1E05.map	WAN111105_HCW_Celegans_wce_P1E06.map	WAN111105_HCW_Celegans_wce_P1E07.map	WAN111105_HCW_Celegans_wce_P1E08.map	WAN111105_HCW_Celegans_wce_P1E09.map	WAN111105_HCW_Celegans_wce_P1E10.map	WAN111105_HCW_Celegans_wce_P1E11.map	WAN111105_HCW_Celegans_wce_P1E12.map	WAN111105_HCW_Celegans_wce_P1F01.map	WAN111105_HCW_Celegans_wce_P1F02.map	WAN111105_HCW_Celegans_wce_P1F03.map	WAN111105_HCW_Celegans_wce_P1F04.map	WAN111105_HCW_Celegans_wce_P1F05.map	WAN111105_HCW_Celegans_wce_P1F06.map	WAN111105_HCW_Celegans_wce_P1F07.map	WAN111105_HCW_Celegans_wce_P1F08.map	WAN111105_HCW_Celegans_wce_P1F09.map	WAN111105_HCW_Celegans_wce_P1F10.map	WAN111105_HCW_Celegans_wce_P1F11.map	WAN111105_HCW_Celegans_wce_P1F12.map	WAN111105_HCW_Celegans_wce_P1G01.map	WAN111105_HCW_Celegans_wce_P1G02.map	WAN111105_HCW_Celegans_wce_P1G03.map	WAN111105_HCW_Celegans_wce_P1G04.map	WAN111105_HCW_Celegans_wce_P1G05.map	WAN111105_HCW_Celegans_wce_P1G06.map	WAN111105_HCW_Celegans_wce_P1G07.map	WAN111105_HCW_Celegans_wce_P1G08.map	WAN111105_HCW_Celegans_wce_P1G09.map	WAN111105_HCW_Celegans_wce_P1G10.map	WAN111105_HCW_Celegans_wce_P1G11.map	WAN111105_HCW_Celegans_wce_P1G12.map	WAN111105_HCW_Celegans_wce_P1H01.map	WAN111105_HCW_Celegans_wce_P1H02.map	WAN111105_HCW_Celegans_wce_P1H03.map	WAN111105_HCW_Celegans_wce_P1H04.map	WAN111105_HCW_Celegans_wce_P1H05.map	WAN111105_HCW_Celegans_wce_P1H06.map	WAN111105_HCW_Celegans_wce_P1H07.map	WAN111105_HCW_Celegans_wce_P1H08.map	WAN111105_HCW_Celegans_wce_P1H09.map	WAN111105_HCW_Celegans_wce_P1H10.map	WAN111105_HCW_Celegans_wce_P1H11.map	WAN111105_HCW_Celegans_wce_P1H12.map	WAN111105_HCW_Celegans_wce_P2A01.map	WAN111105_HCW_Celegans_wce_P2A02.map	WAN111105_HCW_Celegans_wce_P2A03.map	WAN111105_HCW_Celegans_wce_P2A04.map	WAN111105_HCW_Celegans_wce_P2A05.map	WAN111105_HCW_Celegans_wce_P2A06.map	WAN111105_HCW_Celegans_wce_P2A07.map	WAN111105_HCW_Celegans_wce_P2A08.map	WAN111105_HCW_Celegans_wce_P2A09.map	WAN111105_HCW_Celegans_wce_P2A05.map	WAN111105_HCW_Celegans_wce_P2A06.map	WAN111105_HCW_Celegans_wce_P2A07.map	WAN111105_HCW_Celegans_wce_P2A08.map	WAN111105_HCW_Celegans_wce_P2A09.map	WAN111105_HCW_Celegans_wce_P2A10.map	WAN111105_HCW_Celegans_wce_P2A11.map	WAN111105_HCW_Celegans_wce_P2A12.map	WAN111105_HCW_Celegans_wce_P2B01.map	WAN111105_HCW_Celegans_wce_P2B02.map	WAN111105_HCW_Celegans_wce_P2B03.map	WAN111105_HCW_Celegans_wce_P2B04.map	WAN111105_HCW_Celegans_wce_P2B05.map	WAN111105_HCW_Celegans_wce_P2B06.map	WAN111105_HCW_Celegans_wce_P2B07.map	WAN111105_HCW_Celegans_wce_P2B08.map	WAN111105_HCW_Celegans_wce_P2B09.map	WAN111105_HCW_Celegans_wce_P2B10.map	WAN111105_HCW_Celegans_wce_P2B11.map	WAN111105_HCW_Celegans_wce_P2B12.map
R119.4	1063077000.0	0.0	0.0	0.0	0.0	0.0	0.0	167000000.0	0.0	0.0	0.0	5985000.0	12060000.0	28080000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365000.0	1658000.0	1871000.0	17540000.0	7832000.0	3135000.0	2731000.0	25440000.0	19390000.0	80300000.0	86390000.0	106500000.0	14680000.0	33140000.0	97480000.0	110100000.0	241400000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T09E8.1	66048000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4937000.0	0.0	0.0	0.0	0.0	0.0	0.0	53840000.0	0.0	7271000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0403.4	11242609968.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25110000.0	235100000.0	328000000.0	24750000.0	44150000.0	339100000.0	533100000.0	504600000.0	377700000.0	254700000.0	0.0	106200000.0	334000000.0	3380999936.0	1795000064.0	1019000000.0	739299968.0	417800000.0	784000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y87G2A.6	3799490064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41670000.0	45940000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17110000.0	53630000.0	69480000.0	75480000.0	291200000.0	1551000064.0	361900000.0	86080000.0	1206000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y4C6B.6	201000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZC376.2	18454000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9381000.0	9073000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y105E8B.5	2326326936.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4381000.0	5026000.0	13000000.0	23500000.0	1046000000.0	1108999936.0	85890000.0	39530000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T28C6.7	677518000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3201000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3519000.0	450600000.0	112600000.0	70230000.0	12780000.0	3648000.0	0.0	0.0	0.0	0.0	0.0	0.0	20940000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F08D12.1	5369297032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1749000.0	455300000.0	338200000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103800000.0	0.0	0.0	0.0	278100000.0	248100000.0	65970000.0	371000000.0	835900032.0	418100000.0	75200000.0	177700000.0	375800000.0	370000000.0	470500000.0	188600000.0	0.0	0.0	459700000.0	125900000.0	0.0	0.0	0.0	0.0	0.0	0.0	9678000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C39F7.4	3384060000.0	0.0	0.0	0.0	0.0	0.0	0.0	1284000000.0	114000000.0	0.0	0.0	0.0	0.0	122300000.0	800000000.0	126600000.0	195400000.0	83220000.0	81350000.0	0.0	0.0	157400000.0	28710000.0	88840000.0	38880000.0	58350000.0	48390000.0	0.0	76780000.0	22490000.0	0.0	0.0	0.0	57350000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
