IDA	IDB	Class
B0025.1	B0025.2	negative
B0025.1	B0025.4	negative
B0025.1	B0035.11	negative
B0025.1	B0035.4	negative
B0025.1	B0041.4	negative
B0025.1	B0205.11	negative
B0025.1	B0205.3	negative
B0025.1	B0205.7	negative
B0025.1	B0207.4	negative
B0025.1	B0250.1	negative
B0025.1	B0261.2	negative
B0025.1	B0261.4	negative
B0025.1	B0303.15	negative
B0025.1	B0334.8	negative
B0025.1	B0336.10	negative
B0025.1	B0348.6	negative
B0025.1	B0393.1	negative
B0025.1	B0412.4	negative
B0025.1	B0432.2	negative
B0025.1	B0464.1	negative
B0025.1	B0464.2	negative
B0025.1	B0464.5	negative
B0025.1	B0464.7	negative
B0025.1	B0464.9	negative
B0025.1	B0478.1	negative
B0025.1	B0511.10	negative
B0025.1	B0513.2	negative
B0025.1	B0547.1	negative
B0025.1	B0564.1	negative
B0025.1	C01A2.4	negative
B0025.1	C01B7.4	negative
B0025.1	C01F1.1	negative
B0025.1	C01F6.8	negative
B0025.1	C01G8.9	negative
B0025.1	C02B10.2	negative
B0025.1	C02C6.1	negative
B0025.1	C02D4.2	negative
B0025.1	C02F4.1	negative
B0025.1	C02F4.2	negative
B0025.1	C02F5.9	negative
B0025.1	C03D6.5	negative
B0025.1	C03D6.8	negative
B0025.1	C03G5.1	negative
B0025.1	C04A11.4	negative
B0025.1	C04F12.4	negative
B0025.1	C04G2.6	negative
B0025.1	C04G6.3	negative
B0025.1	C04H5.6	negative
B0025.1	C05D11.10	negative
B0025.1	C05D11.2	negative
B0025.1	C05D11.9	negative
B0025.1	C05D9.1	negative
B0025.1	C06A1.5	negative
B0025.1	C06A8.2	negative
B0025.1	C06B8.8	negative
B0025.1	C06C3.1	negative
B0025.1	C06G3.10	negative
B0025.1	C06G3.11	negative
B0025.1	C07A12.4	negative
B0025.1	C07G1.5	negative
B0025.1	C07G2.3	negative
B0025.1	C07H6.1	negative
B0025.1	C07H6.4	negative
B0025.1	C07H6.5	negative
B0025.1	C08B11.3	negative
B0025.1	C08B11.5	negative
B0025.1	C08B11.6	negative
B0025.1	C08B6.9	negative
B0025.1	C08F8.1	negative
B0025.1	C08H9.2	negative
B0025.1	C09D4.5	negative
B0025.1	C09G12.8	negative
B0025.1	C09G12.9	negative
B0025.1	C09G4.3	negative
B0025.1	C09G4.5	negative
B0025.1	C09H10.3	negative
B0025.1	C10C5.6	negative
B0025.1	C10E2.3	negative
B0025.1	C10H11.8	negative
B0025.1	C11G6.1	negative
B0025.1	C11H1.4	negative
B0025.1	C12D8.10	negative
B0025.1	C14A4.10	negative
B0025.1	C14A4.14	negative
B0025.1	C14A4.2	negative
B0025.1	C14A4.4	negative
B0025.1	C14A4.5	negative
B0025.1	C14B1.4	negative
B0025.1	C14B9.7	negative
B0025.1	C14C10.4	negative
B0025.1	C14F5.5	negative
B0025.1	C15C6.4	negative
B0025.1	C15H11.3	negative
B0025.1	C15H11.7	negative
B0025.1	C15H9.6	negative
B0025.1	C16A3.5	negative
B0025.1	C16A3.8	negative
B0025.1	C16A3.9	negative
B0025.1	C16C10.4	negative
B0025.1	C16H3.2	negative
B0025.1	C17E4.6	negative
B0025.1	C17G10.9	negative
B0025.1	C18D11.4	negative
B0025.1	C18E3.6	negative
B0025.1	C23G10.3	negative
B0025.1	C23G10.4	negative
B0025.1	C23H3.3	negative
B0025.1	C23H3.4	negative
B0025.1	C24H11.5	negative
B0025.1	C24H11.9	negative
B0025.1	C25A1.11	negative
B0025.1	C25A1.13	negative
B0025.1	C25D7.6	negative
B0025.1	C25F6.2	negative
B0025.1	C25H3.9	negative
B0025.1	C26B2.6	negative
B0025.1	C26C6.1	negative
B0025.1	C26C6.5	negative
B0025.1	C26D10.2	negative
B0025.1	C26E6.4	negative
B0025.1	C26E6.6	negative
B0025.1	C26E6.8	negative
B0025.1	C26E6.9	negative
B0025.1	C26F1.9	negative
B0025.1	C27A12.10	negative
B0025.1	C27A2.2	negative
B0025.1	C27D11.1	negative
B0025.1	C27F2.5	negative
B0025.1	C27H5.3	negative
B0025.1	C27H6.2	negative
B0025.1	C28H8.9	negative
B0025.1	C29A12.3	negative
B0025.1	C29E4.2	negative
B0025.1	C29F9.7	negative
B0025.1	C30C11.1	negative
B0025.1	C30C11.2	negative
B0025.1	C30F8.4	negative
B0025.1	C32E8.2	negative
B0025.1	C32F10.2	negative
B0025.1	C33A12.1	negative
B0025.1	C33H5.12	negative
B0025.1	C33H5.7	negative
B0025.1	C33H5.9	negative
B0025.1	C34B2.4	negative
B0025.1	C34B2.8	negative
B0025.1	C34B7.4	negative
B0025.1	C34C12.3	negative
B0025.1	C34E10.5	negative
B0025.1	C34E10.6	negative
B0025.1	C35D10.16	negative
B0025.1	C36B1.3	negative
B0025.1	C36B1.4	negative
B0025.1	C36E8.1	negative
B0025.1	C36E8.4	negative
B0025.1	C37A2.4	negative
B0025.1	C37A2.7	negative
B0025.1	C37C3.8	negative
B0025.1	C37H5.8	negative
B0025.1	C38C10.5	negative
B0025.1	C39E9.13	negative
B0025.1	C39E9.14	negative
B0025.1	C41C4.8	negative
B0025.1	C41D11.2	negative
B0025.1	C41G7.1	negative
B0025.1	C41G7.5	negative
B0025.1	C42C1.14	negative
B0025.1	C43E11.10	negative
B0025.1	C43E11.11	negative
B0025.1	C43E11.8	negative
B0025.1	C44B11.3	negative
B0025.1	C44B7.1	negative
B0025.1	C44B7.2	negative
B0025.1	C44E4.4	negative
B0025.1	C44H4.5	negative
B0025.1	C45E1.1	negative
B0025.1	C46F11.4	negative
B0025.1	C47B2.4	negative
B0025.1	C47B2.5	negative
B0025.1	C47D12.1	negative
B0025.1	C47D12.8	negative
B0025.1	C47E8.5	negative
B0025.1	C47G2.5	negative
B0025.1	C48B6.2	negative
B0025.1	C48B6.6	negative
B0025.1	C49H3.11	negative
B0025.1	C50B6.2	negative
B0025.1	C50B8.3	negative
B0025.1	C50C3.6	negative
B0025.1	C50D2.5	negative
B0025.1	C50F4.11	negative
B0025.1	C50F7.4	negative
B0025.1	C52A11.4	negative
B0025.1	C52E4.3	negative
B0025.1	C52E4.4	negative
B0025.1	C53A5.3	negative
B0025.1	C53H9.1	negative
B0025.1	C54D1.5	negative
B0025.1	C54G10.2	negative
