#GeneName	Tissuespecficity
A1BG	Tissue enriched
A1CF	Tissue enhanced
A2M	Expressed in all
A2ML1	Tissue enriched
A4GNT	Tissue enriched
AAAS	Expressed in all
AACS	Expressed in all
AADAC	Tissue enhanced
AADACL2	Tissue enriched
AADACL3	Group enriched
AADAT	Tissue enhanced
AAED1	Expressed in all
AAGAB	Expressed in all
AAK1	Expressed in all
AAMDC	Expressed in all
AAMP	Expressed in all
AANAT	Tissue enhanced
AAR2	Expressed in all
AARD	Tissue enriched
AARS	Expressed in all
AARS2	Expressed in all
AARSD1	Expressed in all
AASDH	Expressed in all
AASDHPPT	Expressed in all
AATF	Expressed in all
AATK	Tissue enhanced
ABAT	Tissue enhanced
ABCA1	Expressed in all
ABCA10	Tissue enhanced
ABCA12	Tissue enriched
ABCA13	Tissue enriched
ABCA2	Expressed in all
ABCA3	Tissue enhanced
ABCA4	Tissue enhanced
ABCA5	Expressed in all
ABCA6	Tissue enhanced
ABCA9	Tissue enhanced
ABCB1	Tissue enhanced
ABCB10	Expressed in all
ABCB11	Group enriched
ABCB4	Tissue enriched
ABCB5	Tissue enhanced
ABCB6	Expressed in all
ABCB7	Expressed in all
ABCB8	Expressed in all
ABCB9	Tissue enhanced
ABCC1	Expressed in all
ABCC10	Expressed in all
ABCC11	Tissue enhanced
ABCC12	Tissue enriched
ABCC2	Group enriched
ABCC4	Tissue enhanced
ABCC5	Expressed in all
ABCC6	Tissue enhanced
ABCC8	Tissue enhanced
ABCD1	Expressed in all
ABCD2	Tissue enhanced
ABCD3	Expressed in all
ABCD4	Expressed in all
ABCE1	Expressed in all
ABCF1	Expressed in all
ABCF2	Expressed in all
ABCF3	Expressed in all
ABCG1	Expressed in all
ABCG2	Tissue enhanced
ABCG4	Tissue enhanced
ABCG5	Group enriched
ABCG8	Group enriched
ABHD1	Tissue enriched
ABHD10	Expressed in all
ABHD11	Expressed in all
ABHD12	Expressed in all
ABHD12B	Tissue enriched
ABHD13	Expressed in all
ABHD14A	Expressed in all
ABHD14B	Expressed in all
ABHD16A	Expressed in all
ABHD17A	Expressed in all
ABHD17B	Expressed in all
ABHD2	Expressed in all
ABHD3	Expressed in all
ABHD4	Expressed in all
ABHD5	Expressed in all
ABI1	Expressed in all
ABI2	Expressed in all
ABI3	Tissue enhanced
ABL1	Expressed in all
ABL2	Expressed in all
ABLIM1	Expressed in all
ABLIM2	Tissue enhanced
ABLIM3	Tissue enhanced
ABR	Expressed in all
ABRA	Group enriched
ABT1	Expressed in all
ABTB1	Expressed in all
AC002365.1	Tissue enriched
AC002472.13	Tissue enhanced
AC003102.1	Tissue enriched
AC004017.1	Tissue enhanced
AC004381.6	Tissue enriched
AC005008.2	Tissue enriched
AC005082.1	Tissue enriched
AC005358.1	Tissue enriched
AC005481.5	Tissue enhanced
AC005488.1	Group enriched
AC005606.1	Tissue enriched
AC005841.1	Tissue enhanced
AC006014.1	Group enriched
AC006116.20	Tissue enriched
AC006449.1	Expressed in all
AC006455.1	Tissue enriched
AC006486.9	Tissue enhanced
AC006547.14	Tissue enriched
AC006946.15	Tissue enriched
AC007382.1	Tissue enhanced
AC007421.1	Tissue enhanced
AC007461.1	Tissue enhanced
AC007557.1	Tissue enriched
AC007952.5	Tissue enhanced
AC007952.6	Tissue enhanced
AC008060.7	Tissue enhanced
AC008132.1	Tissue enriched
AC008132.13	Tissue enriched
AC008394.1	Tissue enriched
AC008948.1	Tissue enriched
AC008964.1	Tissue enhanced
AC009060.1	Tissue enhanced
AC009403.2	Expressed in all
AC010441.1	Expressed in all
AC011239.1	Group enriched
AC011500.1	Tissue enriched
AC011897.1	Tissue enhanced
AC012123.1	Tissue enhanced
AC012215.1	Tissue enhanced
AC013269.5	Tissue enriched
AC013449.1	Expressed in all
