A1BG	Tissue enriched	liver
A2ML1	Tissue enriched	esophagus
A4GNT	Tissue enriched	stomach
AADACL2	Tissue enriched	skin
AARD	Tissue enriched	testis
ABCA12	Tissue enriched	skin
ABCA13	Tissue enriched	bone marrow
ABCB4	Tissue enriched	liver
ABCC12	Tissue enriched	testis
ABHD1	Tissue enriched	testis
ABHD12B	Tissue enriched	skin
AC002365.1	Tissue enriched	testis
AC003102.1	Tissue enriched	bone marrow
AC004381.6	Tissue enriched	testis
AC005008.2	Tissue enriched	testis
AC005082.1	Tissue enriched	esophagus
AC005358.1	Tissue enriched	heart muscle
AC005606.1	Tissue enriched	rectum
AC006116.20	Tissue enriched	skin
AC006455.1	Tissue enriched	testis
AC006547.14	Tissue enriched	testis
AC006946.15	Tissue enriched	testis
AC007557.1	Tissue enriched	testis
AC008132.1	Tissue enriched	testis
AC008132.13	Tissue enriched	testis
AC008394.1	Tissue enriched	placenta
AC008948.1	Tissue enriched	kidney
AC011500.1	Tissue enriched	testis
AC013269.5	Tissue enriched	testis
AC015660.1	Tissue enriched	adrenal gland
AC016757.3	Tissue enriched	testis
AC020629.1	Tissue enriched	kidney
AC025262.1	Tissue enriched	skeletal muscle
AC025278.1	Tissue enriched	testis
AC074212.3	Tissue enriched	testis
AC078925.1	Tissue enriched	testis
AC079341.1	Tissue enriched	placenta
AC079354.1	Tissue enriched	fallopian tube
AC083862.1	Tissue enriched	gallbladder
AC096582.1	Tissue enriched	placenta
AC102948.2	Tissue enriched	testis
AC104809.3	Tissue enriched	fallopian tube
AC109829.1	Tissue enriched	testis
AC114783.1	Tissue enriched	testis
AC132216.1	Tissue enriched	bone marrow
AC132872.2	Tissue enriched	bone marrow
AC136604.1	Tissue enriched	testis
AC140481.2	Tissue enriched	testis
ACACB	Tissue enriched	adipose tissue
ACBD7	Tissue enriched	cerebral cortex
ACHE	Tissue enriched	skeletal muscle
ACKR2	Tissue enriched	placenta
ACOT12	Tissue enriched	liver
ACPP	Tissue enriched	prostate
ACR	Tissue enriched	testis
ACRBP	Tissue enriched	testis
ACRV1	Tissue enriched	testis
ACSBG2	Tissue enriched	testis
ACSM5	Tissue enriched	liver
ACTA1	Tissue enriched	skeletal muscle
ACTC1	Tissue enriched	heart muscle
ACTL10	Tissue enriched	testis
ACTL6B	Tissue enriched	cerebral cortex
ACTL7A	Tissue enriched	testis
ACTL7B	Tissue enriched	testis
ACTL8	Tissue enriched	testis
ACTL9	Tissue enriched	testis
ACTRT1	Tissue enriched	testis
ACTRT2	Tissue enriched	testis
ACTRT3	Tissue enriched	testis
ACVR1C	Tissue enriched	adipose tissue
ADA	Tissue enriched	duodenum
ADAD1	Tissue enriched	testis
ADAD2	Tissue enriched	testis
ADAM12	Tissue enriched	placenta
ADAM18	Tissue enriched	testis
ADAM2	Tissue enriched	testis
ADAM20	Tissue enriched	testis
ADAM21	Tissue enriched	testis
ADAM29	Tissue enriched	testis
ADAM30	Tissue enriched	testis
ADAM32	Tissue enriched	testis
ADAMTS18	Tissue enriched	placenta
ADCK3	Tissue enriched	skeletal muscle
ADCY1	Tissue enriched	cerebral cortex
ADCY10	Tissue enriched	testis
ADH1A	Tissue enriched	liver
ADH4	Tissue enriched	liver
ADH6	Tissue enriched	liver
ADH7	Tissue enriched	esophagus
ADIG	Tissue enriched	testis
ADIPOQ	Tissue enriched	adipose tissue
ADSSL1	Tissue enriched	skeletal muscle
AFM	Tissue enriched	liver
AGBL5	Tissue enriched	testis
AGER	Tissue enriched	lung
AGFG2	Tissue enriched	salivary gland
AGL	Tissue enriched	skeletal muscle
AGXT	Tissue enriched	liver
AHNAK2	Tissue enriched	skin
AHRR	Tissue enriched	testis
AHSG	Tissue enriched	liver
AHSP	Tissue enriched	bone marrow
AK5	Tissue enriched	cerebral cortex
AKAP3	Tissue enriched	testis
AKAP4	Tissue enriched	testis
AKR1B1	Tissue enriched	adrenal gland
AKR1C4	Tissue enriched	liver
AKR1CL1	Tissue enriched	liver
AKR1D1	Tissue enriched	liver
AKR1E2	Tissue enriched	testis
AL031666.2	Tissue enriched	testis
AL118506.1	Tissue enriched	fallopian tube
AL133481.1	Tissue enriched	testis
AL359195.1	Tissue enriched	testis
AL445665.1	Tissue enriched	adipose tissue
AL513478.1	Tissue enriched	testis
AL590235.1	Tissue enriched	esophagus
AL590560.1	Tissue enriched	bone marrow
AL590714.1	Tissue enriched	liver
ALAS2	Tissue enriched	bone marrow
ALB	Tissue enriched	liver
ALLC	Tissue enriched	testis
ALOXE3	Tissue enriched	skin
ALPP	Tissue enriched	placenta
ALS2CR11	Tissue enriched	testis
AMBP	Tissue enriched	liver
AMER2	Tissue enriched	cerebral cortex
AMER3	Tissue enriched	cerebral cortex
AMPD1	Tissue enriched	skeletal muscle
AMPH	Tissue enriched	cerebral cortex
AMY2A	Tissue enriched	pancreas
AMY2B	Tissue enriched	pancreas
ANG	Tissue enriched	liver
ANGPTL3	Tissue enriched	liver
ANGPTL5	Tissue enriched	ovary
ANHX	Tissue enriched	testis
ANKLE1	Tissue enriched	bone marrow
ANKRD1	Tissue enriched	heart muscle
ANKRD20A1	Tissue enriched	testis
ANKRD23	Tissue enriched	skeletal muscle
ANKRD30B	Tissue enriched	testis
ANKRD30BL	Tissue enriched	testis
ANKRD31	Tissue enriched	testis
ANKRD33	Tissue enriched	placenta
ANKRD34A	Tissue enriched	cerebral cortex
ANKRD60	Tissue enriched	testis
ANKRD66	Tissue enriched	fallopian tube
ANKRD7	Tissue enriched	testis
ANKUB1	Tissue enriched	fallopian tube
ANTXRL	Tissue enriched	testis
ANXA10	Tissue enriched	stomach
AP000783.1	Tissue enriched	adrenal gland
APC2	Tissue enriched	cerebral cortex
APCDD1L	Tissue enriched	salivary gland
APCS	Tissue enriched	liver
APH1B	Tissue enriched	testis
APLP1	Tissue enriched	cerebral cortex
APOA2	Tissue enriched	liver
APOA5	Tissue enriched	liver
APOC1	Tissue enriched	liver
APOC2	Tissue enriched	liver
APOC4	Tissue enriched	liver
APOC4-APOC2	Tissue enriched	liver
APOF	Tissue enriched	liver
APOH	Tissue enriched	liver
AQP12A	Tissue enriched	pancreas
AQP12B	Tissue enriched	pancreas
AQP2	Tissue enriched	kidney
AQP6	Tissue enriched	kidney
ARHGAP36	Tissue enriched	adrenal gland
