ID	Name
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1
OMIM:100100	PRUNE BELLY SYNDROME; PBS
OMIM:100300	ADAMS-OLIVER SYNDROME 1; AOS1
OMIM:100600	ACANTHOSIS NIGRICANS
OMIM:100800	ACHONDROPLASIA; ACH
OMIM:100820	ACHOO SYNDROME
OMIM:101000	NEUROFIBROMATOSIS, TYPE II; NF2
OMIM:101200	APERT SYNDROME
OMIM:101400	SAETHRE-CHOTZEN SYNDROME; SCS
OMIM:101600	PFEIFFER SYNDROME
OMIM:101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3
OMIM:101900	ACROKERATOSIS VERRUCIFORMIS; AKV
OMIM:102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA
OMIM:102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME
OMIM:102200	PITUITARY ADENOMA, GROWTH HORMONE-SECRETING, 1; PAGH1
OMIM:102300	RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1
OMIM:102350	ACROMIAL DIMPLES
OMIM:102370	ACROMICRIC DYSPLASIA; ACMICD
OMIM:102500	HAJDU-CHENEY SYNDROME; HJCYS
OMIM:102510	ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV
OMIM:102530	SPERMATOGENIC FAILURE 6; SPGF6
OMIM:102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY
OMIM:102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO
OMIM:102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES
OMIM:103050	ADENYLOSUCCINASE DEFICIENCY
OMIM:103100	ADIE PUPIL
OMIM:103200	ADIPOSIS DOLOROSA
OMIM:103285	ADULT SYNDROME
OMIM:103300	HYPOGLOSSIA-HYPODACTYLIA
OMIM:103420	ALACRIMA, CONGENITAL
OMIM:103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS
OMIM:103500	TIETZ SYNDROME
OMIM:103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A
OMIM:103780	ALCOHOL DEPENDENCE
OMIM:103900	GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM; GRA
OMIM:104000	ALOPECIA AREATA 1; AA1
OMIM:104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1
OMIM:104130	ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY
OMIM:104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT
OMIM:104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1
OMIM:104300	ALZHEIMER DISEASE; AD
OMIM:104310	ALZHEIMER DISEASE 2
OMIM:104500	AMELOGENESIS IMPERFECTA, TYPE IB; AI1B
OMIM:104510	AMELOGENESIS IMPERFECTA, TYPE IV; AI4
OMIM:104530	AMELOGENESIS IMPERFECTA, TYPE IA; AI1A
OMIM:104570	AMELOONYCHOHYPOHIDROTIC SYNDROME
OMIM:105120	AMYLOIDOSIS, FINNISH TYPE
OMIM:105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED
OMIM:105200	AMYLOIDOSIS, FAMILIAL VISCERAL
OMIM:105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED
OMIM:105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1
OMIM:105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1
OMIM:105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1
OMIM:105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1
OMIM:105600	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE III; CDAN3
OMIM:105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1
OMIM:105800	ANEURYSM, INTRACRANIAL BERRY, 1; ANIB1
OMIM:105830	ANGELMAN SYNDROME; AS
OMIM:106070	ANGIOMA, HEREDITARY NEUROCUTANEOUS
OMIM:106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1
OMIM:106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD
OMIM:106210	ANIRIDIA; AN
OMIM:106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE
OMIM:106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1
OMIM:106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1
OMIM:106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1; TAPVR1
OMIM:106995	ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES
OMIM:107000	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6; NDNC6
OMIM:107100	ANORECTAL ANOMALIES
OMIM:107200	ANOSMIA, ISOLATED CONGENITAL; ANIC
OMIM:107250	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS; ASMD
OMIM:107290	ANTIPYRINE METABOLISM
OMIM:107480	TOWNES-BROCKS SYNDROME; TBS
OMIM:107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC
OMIM:107650	APNEA, OBSTRUCTIVE SLEEP
OMIM:107750	ARBITRARY RESTRICTION POLYMORPHISM 1
OMIM:107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1
OMIM:108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN
OMIM:108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A
OMIM:108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5
OMIM:108300	STICKLER SYNDROME, TYPE I; STL1
OMIM:108340	ARYL HYDROCARBON HYDROXYLASE INDUCIBILITY
OMIM:108390	ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY
OMIM:108420	SPERMATOGENIC FAILURE 2; SPGF2
OMIM:108500	EPISODIC ATAXIA, TYPE 2; EA2
OMIM:108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1
OMIM:108650	SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7
OMIM:108720	ATELOSTEOGENESIS, TYPE I; AO1
OMIM:108721	ATELOSTEOGENESIS, TYPE III; AO3
OMIM:108725	ATHEROSCLEROSIS SUSCEPTIBILITY; ATHS
OMIM:108760	ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS
OMIM:108770	ATRIAL STANDSTILL 1; ATRST1
OMIM:108800	ATRIAL SEPTAL DEFECT 1; ASD1
OMIM:108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7
OMIM:108980	PR INTERVAL, VARIATION IN
OMIM:108985	SVEINSSON CHORIORETINAL ATROPHY; SCRA
OMIM:109000	AURICULOOSTEODYSPLASIA
OMIM:109100	AUTOIMMUNE DISEASE
OMIM:109150	MACHADO-JOSEPH DISEASE; MJD
OMIM:109160	AZOTEMIA, FAMILIAL
OMIM:109200	ALOPECIA, ANDROGENETIC, 1; AGA1
OMIM:109350	GASTROESOPHAGEAL REFLUX; GER
OMIM:109400	BASAL CELL NEVUS SYNDROME; BCNS
OMIM:109500	BASILAR IMPRESSION, PRIMARY
OMIM:109543	LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2
OMIM:109650	BEHCET SYNDROME
OMIM:109660	BETA-AMINO ACIDS, RENAL TRANSPORT OF; AABT
OMIM:109720	BILIARY CIRRHOSIS, PRIMARY, 1; PBC1
OMIM:109730	AORTIC VALVE DISEASE 1; AOVD1
OMIM:109800	BLADDER CANCER
OMIM:110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES
OMIM:110350	BLOOD GROUP--AHONEN; AN
OMIM:110450	BLOOD GROUP--COLTON; CO
OMIM:110500	BLOOD GROUP--DIEGO SYSTEM; DI
OMIM:110700	BLOOD GROUP, DUFFY SYSTEM; FY
OMIM:110800	BLOOD GROUP, I SYSTEM; Ii
OMIM:110900	BLOOD GROUP--KELL SYSTEM; KEL
OMIM:111000	BLOOD GROUP--KIDD SYSTEM; JK
OMIM:111130	BLOOD GROUP--LKE; LKE
OMIM:111150	BLOOD GROUP--LUTHERAN INHIBITOR; INLU
OMIM:111200	BLOOD GROUP--LUTHERAN SYSTEM; LU
OMIM:111250	BLOOD GROUP SYSTEM, LANDSTEINER-WIENER; LW
OMIM:111380	BLOOD GROUP--OK; OK
OMIM:111400	BLOOD GROUP, P1PK SYSTEM
OMIM:111500	BLOOD GROUP--PRIVATE SYSTEMS
OMIM:111600	BLOOD GROUP, LANGEREIS SYSTEM; LAN
OMIM:111620	RADIN BLOOD GROUP ANTIGEN; RD
OMIM:111690	BLOOD GROUP--RHESUS SYSTEM E POLYPEPTIDE; RHE
OMIM:111750	BLOOD GROUP--SCIANNA SYSTEM; SC
OMIM:111800	BLOOD GROUP--STOLTZFUS SYSTEM; Sf
OMIM:112000	BLOOD GROUP--Ul SYSTEM; UL
OMIM:112010	BLOOD GROUP--WALDNER TYPE; WD
OMIM:112050	BLOOD GROUP--WRIGHT ANTIGEN; WR
OMIM:112100	YT BLOOD GROUP ANTIGEN
OMIM:112200	BLUE RUBBER BLEB NEVUS
OMIM:112240	COLE-CARPENTER SYNDROME 1; CLCRP1
OMIM:112250	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA; DMSMFH
OMIM:112300	BOOK SYNDROME
OMIM:112310	BOOMERANG DYSPLASIA
OMIM:112350	WEISMANN-NETTER SYNDROME; WNS
OMIM:112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB
OMIM:112440	BRACHYDACTYLY, COMBINED B AND E TYPES
OMIM:112500	BRACHYDACTYLY, TYPE A1; BDA1
OMIM:112600	BRACHYDACTYLY, TYPE A2; BDA2
OMIM:112700	BRACHYDACTYLY, TYPE A3; BDA3
OMIM:112800	BRACHYDACTYLY, TYPE A4; BDA4
OMIM:113000	BRACHYDACTYLY, TYPE B1; BDB1
OMIM:113100	BRACHYDACTYLY, TYPE C; BDC
OMIM:113200	BRACHYDACTYLY, TYPE D; BDD
OMIM:113300	BRACHYDACTYLY, TYPE E1; BDE1
OMIM:113500	BRACHYOLMIA TYPE 3; BCYM3
OMIM:113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS
OMIM:113650	BRANCHIOOTORENAL SYNDROME 1; BOR1
OMIM:113670	HYPERTROPHY OF THE BREAST, JUVENILE; JHB
OMIM:113700	BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 1; BNAH1
OMIM:113750	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4; SHEP4
OMIM:113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK
OMIM:113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A
OMIM:113950	BUNDLE BRANCH BLOCK, FAMILIAL ISOLATED COMPLETE RIGHT
OMIM:113970	BURKITT LYMPHOMA; BL
OMIM:114000	CAFFEY DISEASE
OMIM:114100	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, CHILDHOOD-ONSET
OMIM:114140	CALLOSITIES, HEREDITARY PAINFUL
OMIM:114150	CAMPTOBRACHYDACTYLY
OMIM:114200	CAMPTODACTYLY 1; CAMPD1
OMIM:114290	CAMPOMELIC DYSPLASIA
OMIM:114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3
OMIM:114480	BREAST CANCER
OMIM:114500	COLORECTAL CANCER; CRC
OMIM:114550	HEPATOCELLULAR CARCINOMA
OMIM:114580	CANDIDIASIS, FAMILIAL, 1; CANDF1
