ProtA	ProtB	Label
B0035.11	B0035.4	negative
B0035.11	B0041.4	negative
B0035.11	B0336.10	negative
B0035.11	B0393.1	negative
B0035.11	B0432.2	negative
B0035.11	B0511.10	negative
B0035.11	C01G8.5	negative
B0035.11	C07G2.3	negative
B0035.11	C08H9.2	negative
B0035.11	C09D4.5	negative
B0035.11	C09H10.6	negative
B0035.11	C14A4.14	negative
B0035.11	C26E6.8	negative
B0035.11	C32E8.2	negative
B0035.11	C34E10.6	negative
B0035.11	C41C4.8	negative
B0035.11	C41D11.2	negative
B0035.11	C47G2.5	negative
B0035.11	C50B6.2	negative
B0035.11	D1007.12	negative
B0035.11	D1007.6	negative
B0035.11	D2096.8	negative
B0035.11	F02E8.1	negative
B0035.11	F10B5.1	negative
B0035.11	F10G7.3	negative
B0035.11	F13B10.2	negative
B0035.11	F21C3.5	negative
B0035.11	F22B5.2	negative
B0035.11	F23F1.8	negative
B0035.11	F23F12.6	negative
B0035.11	F25H2.10	negative
B0035.11	F25H2.9	negative
B0035.11	F26E4.1	negative
B0035.11	F29F11.6	negative
B0035.11	F33A8.1	negative
B0035.11	F35G12.12	negative
B0035.11	F35G2.4	negative
B0035.11	F53G12.10	negative
B0035.11	F54A3.3	negative
B0035.11	F55D10.2	negative
B0035.11	F57B9.10	negative
B0035.11	H06H21.3	negative
B0035.11	H20J04.5	negative
B0035.11	K04D7.1	negative
B0035.11	K07A1.12	negative
B0035.11	K07C5.4	negative
B0035.11	K08C7.3	negative
B0035.11	K11H12.2	negative
B0035.11	M01F1.2	negative
B0035.11	M03C11.4	negative
B0035.11	M18.5	negative
B0035.11	R02D3.5	negative
B0035.11	R05H10.2	negative
B0035.11	R08D7.3	negative
B0035.11	R11D1.8	negative
B0035.11	R151.9	negative
B0035.11	T05C12.7	negative
B0035.11	T05H4.6	negative
B0035.11	T16G1.11	negative
B0035.11	T20G5.1	negative
B0035.11	T20G5.2	negative
B0035.11	T28D9.10	negative
B0035.11	W01B11.3	negative
B0035.11	W01D2.1	negative
B0035.11	W08F4.8	negative
B0035.11	Y102A5A.1	negative
B0035.11	Y111B2A.18	negative
B0035.11	Y22D7AL.5	negative
B0035.11	Y37E3.10	negative
B0035.11	Y37E3.8	negative
B0035.11	Y38A10A.5	negative
B0035.11	Y41C4A.10	negative
B0035.11	Y41D4B.5	negative
B0035.11	Y45F10D.12	negative
B0035.11	Y46G5A.4	negative
B0035.11	Y48B6A.11	negative
B0035.11	Y54E2A.4	negative
B0035.11	Y57G11C.16	negative
B0035.11	Y62E10A.12	negative
B0035.11	Y73B6BL.9	negative
B0035.11	Y75B8A.30	negative
B0035.11	ZC434.5	negative
B0035.11	ZK945.2	negative
B0035.4	B0041.4	negative
B0035.4	B0336.10	negative
B0035.4	B0393.1	negative
B0035.4	B0432.2	negative
B0035.4	B0511.10	negative
B0035.4	C01G8.5	negative
B0035.4	C07G2.3	negative
B0035.4	C08H9.2	negative
B0035.4	C09D4.5	negative
B0035.4	C09H10.6	negative
B0035.4	C14A4.14	negative
B0035.4	C26E6.8	negative
B0035.4	C32E8.2	negative
B0035.4	C34E10.6	negative
B0035.4	C41C4.8	negative
B0035.4	C41D11.2	negative
B0035.4	C47G2.5	negative
B0035.4	C50B6.2	negative
B0035.4	D1007.12	negative
B0035.4	D1007.6	negative
B0035.4	D2096.8	negative
B0035.4	F02E8.1	negative
B0035.4	F10B5.1	negative
B0035.4	F10G7.3	negative
B0035.4	F13B10.2	negative
B0035.4	F22B5.2	negative
B0035.4	F23F1.8	negative
B0035.4	F23F12.6	negative
B0035.4	F25H2.10	negative
B0035.4	F25H2.9	negative
B0035.4	F26E4.1	negative
B0035.4	F29F11.6	negative
B0035.4	F33A8.1	negative
B0035.4	F35G12.12	negative
B0035.4	F35G2.4	negative
B0035.4	F53G12.10	negative
B0035.4	F54A3.3	negative
B0035.4	F55D10.2	negative
B0035.4	F57B9.10	negative
B0035.4	H06H21.3	negative
B0035.4	K04D7.1	negative
B0035.4	K07A1.12	negative
B0035.4	K07C5.4	negative
B0035.4	K08C7.3	negative
B0035.4	K11H12.2	negative
B0035.4	M01F1.2	negative
B0035.4	M03C11.4	negative
B0035.4	M18.5	negative
B0035.4	R02D3.5	negative
B0035.4	R05H10.2	negative
B0035.4	R08D7.3	negative
B0035.4	R11D1.8	negative
B0035.4	T05C12.7	negative
B0035.4	T05H4.6	negative
B0035.4	T16G1.11	negative
B0035.4	T20G5.1	negative
B0035.4	T20G5.2	negative
B0035.4	T28D9.10	negative
B0035.4	W01B11.3	negative
B0035.4	W01D2.1	negative
B0035.4	W08F4.8	negative
B0035.4	Y102A5A.1	negative
B0035.4	Y111B2A.18	negative
B0035.4	Y22D7AL.5	negative
B0035.4	Y37E3.10	negative
B0035.4	Y37E3.8	negative
B0035.4	Y38A10A.5	negative
B0035.4	Y41C4A.10	negative
B0035.4	Y41D4B.5	negative
B0035.4	Y45F10D.12	negative
B0035.4	Y46G5A.4	negative
B0035.4	Y48B6A.11	negative
B0035.4	Y54E2A.4	negative
B0035.4	Y57G11C.16	negative
B0035.4	Y62E10A.12	negative
B0035.4	Y73B6BL.9	negative
B0035.4	Y75B8A.30	negative
B0035.4	ZC434.5	negative
B0035.4	ZK945.2	negative
B0041.4	B0205.3	negative
B0041.4	B0205.7	negative
B0041.4	B0393.1	negative
B0041.4	B0412.4	negative
B0041.4	B0432.2	negative
B0041.4	B0464.5	negative
B0041.4	B0511.10	negative
B0041.4	C01G8.5	negative
B0041.4	C02C6.1	negative
B0041.4	C03D6.8	negative
B0041.4	C05G5.4	negative
B0041.4	C07A9.2	negative
B0041.4	C07G2.3	negative
B0041.4	C08B6.9	negative
B0041.4	C08H9.2	negative
B0041.4	C09B8.6	negative
B0041.4	C09H10.3	negative
B0041.4	C09H10.6	negative
B0041.4	C14A4.14	negative
B0041.4	C14C10.4	negative
B0041.4	C15H9.6	negative
B0041.4	C17G10.9	negative
B0041.4	C23G10.3	negative
B0041.4	C23G10.4	negative
B0041.4	C25A1.10	negative
B0041.4	C26D10.2	negative
B0041.4	C26E6.8	negative
B0041.4	C27D11.1	negative
B0041.4	C30C11.2	negative
B0041.4	C30C11.4	negative
B0041.4	C33A12.1	negative
