GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0009119	ribonucleoside metabolic process	5.00e-02	5.00e-02	1	C29F7.3,F53F4.10,C06G3.5,F58F12.1,R12E2.11,T20H4.5
GO:0055088	lipid homeostasis	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0009123	nucleoside monophosphate metabolic process	8.05e-03	8.05e-03	1	F10F2.2,F53F4.10,F58F12.1,R12E2.11,T20H4.5
GO:0009161	ribonucleoside monophosphate metabolic process	8.05e-03	8.05e-03	1	F10F2.2,F53F4.10,F58F12.1,R12E2.11,T20H4.5
GO:0009124	nucleoside monophosphate biosynthetic process	2.14e-02	2.14e-02	1	F10F2.2,F58F12.1,R12E2.11
GO:0009156	ribonucleoside monophosphate biosynthetic process	2.14e-02	2.14e-02	1	F10F2.2,F58F12.1,R12E2.11
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	1.88e-02	1.88e-02	1	C15C6.4,C05D11.9,F57B10.8,H35B03.2,ZK1127.5
GO:0030258	lipid modification	4.67e-04	4.67e-04	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0046483	heterocycle metabolic process	1.29e-18	1.29e-18	1	B0024.11,C15C6.4,C16C10.2,C29F7.3,C46F11.4,F10C2.4,F10F2.2,F21D5.1,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,R05D11.4,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W02A11.1,W02B12.10,Y18D10A.3,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,ZC434.4,ZK512.2,ZK795.3,B0511.6,C05D11.9,C06G3.5,C16A3.10,C24H12.4,C34E10.10,C48B6.2,C50F2.3,F08F8.7,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H20J04.4,H34C03.2,H35B03.2,M03F8.3,R12E2.11,T07A9.8,T12A2.7,T20H4.5,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E11B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y94H6A.5,ZK430.7,ZK1127.5
GO:0043170	macromolecule metabolic process	4.72e-06	4.72e-06	1	B0024.11,B0464.9,B0491.7,C04F12.8,C11H1.3,C15C6.4,C16C10.2,C46F11.4,F07A11.4,F10C2.4,F11A3.2,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,F57F5.1,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T04H1.2,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W01D2.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.3,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.3,Y54G11A.9,Y57G11C.22,Y75B8A.4,ZC434.4,ZC434.9,ZC506.1,ZK512.2,ZK795.3,ZK1098.4,B0511.6,C05D11.9,C07H6.2,C17G10.9,C24H12.4,C28F5.4,C34B2.6,C34E10.10,C42C1.11,C48B6.2,C50F2.3,C56G2.7,F13H8.2,F33D11.10,F40F4.7,F52C12.2,F53H1.1,F55F8.2,F55F8.3,F56F11.4,F57B10.8,H14E04.1,H20J04.4,H34C03.2,H35B03.2,K04F10.7,M03F8.3,M04F3.4,M57.2,R05F9.6,T06A4.3,T07A9.8,T12A2.7,T22F3.3,T22H9.1,T24G10.2,T28B4.1,W06E11.1,W09C3.4,Y23H5B.5,Y23H5B.6,Y37E3.8,Y37E3.10,Y37E11B.5,Y39G10AR.8,Y47G6A.19,Y48G1A.4,Y54E10A.10,Y65B4A.6,Y67D2.2,Y67D2.5,Y94H6A.5,Y97E10AL.3,ZK430.7,ZK1127.5
GO:0010467	gene expression	7.53e-19	7.53e-19	1	C15C6.4,C16C10.2,F11A3.2,F30A10.9,F43G6.5,F44G4.1,F52B5.3,F53B7.3,K01G5.5,K07C5.4,K07C5.6,R05D11.4,T04H1.2,T11G6.8,T13H5.4,T15H9.6,T26G10.1,W01D2.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.3,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53F4B.13,Y54G11A.9,Y75B8A.4,ZC434.4,ZK795.3,ZK1098.4,C05D11.9,C17G10.9,C24H12.4,C28F5.4,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F33D11.10,F52C12.2,F53H1.1,F55F8.3,F56F11.4,F57B10.8,H34C03.2,H35B03.2,M03F8.3,T07A9.8,T12A2.7,T22H9.1,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y37E11B.5,Y39G10AR.8,Y48G1A.4,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
