HDO-ID	Term	TermType	IsObsolete	IsA	OMIMID
DOID:0001816	angiosarcoma		---	DOID:0001115	---
DOID:0002116	pterygium		---	DOID:0010124	---
DOID:0014667	disease of metabolism		---	DOID:0000004	---
DOID:0050001	Actinomadura madurae infectious disease		Y	---	---
DOID:0050002	Actinomadura pelletieri infectious disease		Y	---	---
DOID:0050003	Streptomyces somaliensis infectious disease		Y	---	---
DOID:0050004	seminal vesicle acute gonorrhea		---	DOID:0010400	---
DOID:0050007	cutaneous strongyloidiasis		Y	---	---
DOID:0050009	intestinal strongyloidiasis		Y	---	---
DOID:0050010	Mansonella perstans infectious disease		Y	---	---
DOID:0050011	Mansonella streptocerca infectious disease		Y	---	---
DOID:0050012	chikungunya		---	DOID:0000934	---
DOID:0050013	carbohydrate metabolism disease		---	DOID:0060158	---
DOID:0050014	epizootic hemorrhagic disease		Y	---	---
DOID:0050015	Rocio virus encephalitis		Y	---	---
DOID:0050024	Ehrlichia ewingii ehrlichiosis		Y	---	---
DOID:0050025	human granulocytic anaplasmosis		---	DOID:0010242	---
DOID:0050026	human monocytic ehrlichiosis		---	DOID:0010242	---
DOID:0050032	mineral metabolism disease		---	DOID:0060158	---
DOID:0050035	African tick-bite fever		---	DOID:0011104	---
DOID:0050041	Astrakhan spotted fever		---	DOID:0011104	---
DOID:0050042	Indian tick typhus		---	DOID:0011104	---
DOID:0050043	Israeli tick typhus		---	DOID:0011104	---
DOID:0050046	Far Eastern spotted fever		---	DOID:0011104	---
DOID:0050047	Flinders Island spotted fever		---	DOID:0011104	---
DOID:0050050	Japanese spotted fever		---	DOID:0011104	---
DOID:0050051	Rickettsia parkeri spotted fever		---	DOID:0011104	---
DOID:0050052	Rocky Mountain spotted fever		---	DOID:0011104	---
DOID:0050053	Rickettsia honei spotted fever		Y	---	---
DOID:0050059	oropharyngeal anthrax		---	DOID:0013386	---
DOID:0050061	erysipeloid		---	DOID:0050338	---
DOID:0050063	abortive plague		Y	---	---
DOID:0050065	cutaneous listeriosis		Y	---	---
DOID:0050066	Listeria meningoencephalitis		Y	---	---
DOID:0050067	Listeria septicaemia		Y	---	---
DOID:0050068	pestis minor		---	DOID:0010773	---
DOID:0050069	Yersinia pestis infectious disease		Y	---	---
DOID:0050070	plague meningitis		Y	---	---
DOID:0050072	adiaspiromycosis		---	DOID:0050292	---
DOID:0050073	invasive aspergillosis		---	DOID:0013564	---
DOID:0050074	tonsillar aspergillosis		Y	---	---
DOID:0050075	pulmonary blastomycosis		Y	---	---
DOID:0050078	cervix tuberculosis		Y	---	---
DOID:0050079	niacin deficiency		Y	---	---
DOID:0050080	iodine deficiency		Y	---	---
DOID:0050082	hepatic Torque teno virus infectious disease		Y	---	---
DOID:0050083	Keshan disease		---	DOID:0005113	---
DOID:0050084	rhinotracheitis		---	DOID:0000974	---
DOID:0050085	entomophthoromycosis		Y	---	---
DOID:0050086	cutaneous mucormycosis		Y	---	---
DOID:0050088	gastrointestinal mucormycosis		Y	---	---
DOID:0050089	pulmonary mucormycosis		Y	---	---
DOID:0050090	rhinocerebral mucormycosis		Y	---	---
DOID:0050091	disseminated paracoccidioidomycosis		Y	---	---
DOID:0050092	pulmonary paracoccidioidomycosis		Y	---	---
DOID:0050093	disseminated sporotrichosis		Y	---	---
DOID:0050094	lymphocutaneous sporotrichosis		Y	---	---
DOID:0050095	pulmonary sporotrichosis		Y	---	---
DOID:0050096	tinea barbae		---	DOID:0008913	---
DOID:0050097	ectothrix infectious disease		---	DOID:0004337	---
DOID:0050098	Microsporum audouinii tinea capitis		Y	---	---
DOID:0050099	Microsporum canis tinea capitis		Y	---	---
DOID:0050100	Microsporum distortum tinea capitis		Y	---	---
DOID:0050101	Microsporum ferrugineum tinea capitis		Y	---	---
DOID:0050102	Microsporum gypseum tinea capitis		Y	---	---
DOID:0050103	Microsporum nanum tinea capitis		Y	---	---
DOID:0050104	Trichophyton verrucosum tinea capitis		Y	---	---
DOID:0050105	endothrix infectious disease		---	DOID:0004337	---
DOID:0050106	Trichophyton soudanense tinea capitis		Y	---	---
DOID:0050107	Trichophyton tonsurans tinea capitis		Y	---	---
DOID:0050108	Trichophyton violaceum tinea capitis		Y	---	---
DOID:0050110	Trichophyton schoenleinii tinea capitis		Y	---	---
DOID:0050111	Microsporum fulvum tinea capitis		Y	---	---
DOID:0050112	Trichophyton megninii tinea capitis		Y	---	---
DOID:0050113	Trichophyton equinum tinea capitis		Y	---	---
DOID:0050115	Trichophyton yaoundei tinea capitis		Y	---	---
DOID:0050116	tinea imbricata		---	DOID:0012179	---
DOID:0050117	disease by infectious agent		---	DOID:0000004	---
DOID:0050118	La Crosse encephalitis		---	DOID:0000934	---
DOID:0050119	West Nile virus neurological syndrome		Y	---	---
DOID:0050120	hemophagocytic lymphohistiocytosis		---	DOID:0000075	OMIM:267700 OMIM:603552 OMIM:603553 OMIM:608898 OMIM:613101 
DOID:0050123	tuberculous encephalitis		Y	---	---
DOID:0050125	dengue shock syndrome		---	DOID:0012205	OMIM:614371 
DOID:0050126	Tahyna virus encephalitis		Y	---	---
DOID:0050127	sinusitis		---	DOID:0001352	---
DOID:0050129	secretory diarrhea		---	DOID:0013250	---
DOID:0050130	osmotic diarrhea		---	DOID:0013250	---
DOID:0050131	motility-related diarrhea		---	DOID:0013250	---
DOID:0050132	inflammatory diarrhea		---	DOID:0013250	---
DOID:0050133	superficial mycosis		---	DOID:0001564	---
DOID:0050134	cutaneous mycosis		---	DOID:0001564	---
DOID:0050135	subcutaneous mycosis		---	DOID:0001564	---
DOID:0050136	systemic mycosis		---	DOID:0001564	---
DOID:0050138	podoconiosis		---	DOID:0004976	---
DOID:0050139	Opisthorchis felineus infectious disease		Y	---	---
DOID:0050140	acute diarrhea		---	DOID:0013250	---
DOID:0050141	intestinal botulism		---	DOID:0011976	---
DOID:0050143	asymptomatic dengue		---	DOID:0012205	---
DOID:0050144	Kartagener syndrome		---	DOID:0009562	OMIM:244400 
DOID:0050145	adenoiditis		---	DOID:0000974	---
DOID:0050146	autoimmune glomerulonephritis		Y	---	---
DOID:0050147	otomycosis		---	DOID:0009463	---
DOID:0050148	laryngotracheitis		---	DOID:0000974	---
DOID:0050150	Pontiac fever		---	DOID:0010458	---
DOID:0050151	tracheobronchial tuberculosis		Y	---	---
DOID:0050152	aspiration pneumonia		---	DOID:0000874	---
DOID:0050153	pulmonary aspergilloma		---	DOID:0013564	---
DOID:0050154	mycoplasmal pneumonia		Y	---	---
DOID:0050155	sensory system disease		---	DOID:0000863	---
DOID:0050156	idiopathic pulmonary fibrosis		---	DOID:0002797	OMIM:178500 
