1C7	OMIM:609148
2E4	DOID:0060308
3H11AG	DOID:0050777
3H11AG	DOID:0050576
3H11AG	DOID:0050778
3H11AG	DOID:0014791
3H11AG	OMIM:615991
3M1	DOID:0060241
3M2	DOID:0060241
3M3	DOID:0060241
3MC1	DOID:0060225
3MC2	DOID:0060225
8D6	OMIM:613646
8D6A	OMIM:613646
A15	DOID:0050776
A1ST	OMIM:301830
A2M	DOID:0010652
A2M	DOID:0012849
A2M 	DOID:0010652
A2M 	OMIM:614036
A2MD	DOID:0010652
A2MD	OMIM:614036
A2ML1	DOID:0003490
A2MRAP	DOID:0011830
A4GALT	OMIM:111400
AAA	DOID:0010652
AAA	DOID:0050602
AAA	DOID:0009246
AAA4	OMIM:4
AAAS	OMIM:118420
AAAS	DOID:0050602
AAC2	OMIM:243400
AADACL2	DOID:0012849
AAF132	OMIM:612199
AAGAB	OMIM:148600
AAMR	OMIM:615510
AANAT	OMIM:614163
AARS	DOID:0050538
AARS	DOID:0050539
AARS2	DOID:0060286
AARS2	OMIM:615889
AAS	DOID:0006683
AASS	DOID:0009274
AASS	OMIM:268700
AAT	OMIM:606963
AAT	DOID:0013372
AAT3	DOID:0003748
AAT3	DOID:0050466
AAT3	DOID:0003883
AAT4	DOID:0014004
AAT5	OMIM:132800
AAT5	DOID:0050466
AAT6	DOID:0014004
AAT6	OMIM:613834
AAT6	DOID:0013099
AAT7	DOID:0014004
AAT8	DOID:0014004
AAT9	OMIM:616166
ABAT	DOID:0060174
ABC1	DOID:0013810
ABC1	DOID:0001388
ABC1	OMIM:604091
ABC3	DOID:0012120
ABC34	DOID:0002738
ABC34	DOID:0002738
ABC34	DOID:0050644
ABC34	DOID:0050632
ABC7	DOID:0050554
ABCA1	DOID:0013810
ABCA1	DOID:0001388
ABCA1	DOID:0012849
ABCA1	OMIM:262890
ABCA1	OMIM:604091
ABCA10	DOID:0012849
ABCA12	DOID:0012849
ABCA12	OMIM:242300
ABCA12	OMIM:242500
ABCA12	OMIM:601277
ABCA13	DOID:0005419
ABCA13	DOID:0012849
ABCA2	DOID:0012849
ABCA3	OMIM:116150
ABCA3	OMIM:601615
