4R79.1	Q9U3S9
AC3.10	Q5FC64
AC3.5	Q17405
AC7.2	Q22875
AH6.1	Q09435
AH6.10	Q09208
AH6.11	Q09209
AH6.12	Q09210
AH6.14	Q09212
AH6.2	Q09201
AH6.3	Q09202
AH6.4	Q09203
AH6.5	Q09436
AH6.6	Q09204
AH6.7	Q09205
AH6.8	Q09206
AH9.1	Q10904
AH9.2	Q10905
AH9.4	Q10907
B0001.4	Q17413
B0024.11	Q17426
B0024.12	Q17427
B0024.13	Q17428
B0024.6	N1NVB7
B0024.9	Q17424
B0025.2	O01422
B0034.4	Q10912
B0035.10	P08898
B0035.11	Q17431
B0035.15	Q17439
B0035.16	Q17440
B0035.2	Q17433
B0035.4	Q17435
B0035.5	Q27464
B0035.7	P09588
B0035.8	Q27876
B0035.9	P62784
B0041.4	O02056
B0041.6	O02058
B0041.7	Q9U7E0
B0205.7	P18334
B0207.3	Q9BIG2
B0207.4	O01427
B0213.3	O44665
B0213.4	O44664
B0213.5	O44663
B0213.6	O44662
B0218.1	Q17449
B0218.3	Q17446
B0222.7	Q17459
B0222.8	Q17460
B0228.1	Q09220
B0228.4	Q09221
B0228.5	Q09433
B0228.6	Q09223
B0228.7	Q09438
B0228.8	Q09224
B0228.9	Q09439
B0240.3	Q8I4N4
B0240.4	Q8I4N3
B0244.10	Q960A0
B0244.4	Q09964
B0244.5	Q10909
B0244.6	Q09965
B0244.7	Q09966
B0250.1	Q9XVF7
B0250.5	Q9XTI0
B0252.2	Q10916
B0252.3	Q10917
B0252.4	P52017
B0252.5	Q10918
B0261.2	Q95Q95
B0272.1	P41937
B0272.2	P41941
B0272.3	P41938
B0272.4	P41942
B0273.2	O44169
B0273.4	Q26261
B0280.1	P41992
B0280.10	P42001
B0280.11	P42083
B0280.12	Q10914
B0280.2	P41993
B0280.3	P41994
B0280.4	P41995
B0280.5	P41996
B0280.7	P41998
B0280.8	P41999
B0280.9	P42000
B0285.1	P46551
B0285.10	P46560
B0285.3	P46553
B0285.4	P46554
B0285.5	P46555
B0285.6	P46556
B0285.7	P46557
B0285.8	P46558
B0285.9	P46559
B0286.1	Q10921
B0286.2	G5ECX0
B0286.3	Q10457
B0302.1	Q10925
B0302.2	Q10926
B0302.4	Q10927
B0302.5	Q10906
B0302.5	Q10928
B0303.11	P34261
B0303.14	P34263
B0303.15	P34264
B0303.2	P34254
B0303.3	P34255
B0303.4	P34256
B0303.7	P34258
B0303.8	P34259
B0303.9	P34260
B0304.1	P22980
B0304.2	Q10932
B0304.4	Q10933
B0304.5	Q10934
B0304.6	Q10935
B0304.7	Q10936
B0310.1	Q10937
B0310.2	Q10938
B0310.3	Q10939
B0310.5	Q10941
B0310.6	Q10942
B0334.8	Q94125
B0336.1	Q10953
B0336.10	P48158
B0336.13	Q9BIB4
B0336.2	Q10943
B0336.4	Q10955
B0336.9	Q10580
B0348.4	G5EBH0
B0348.6	O61955
B0353.1	Q10958
B0361.11	Q7Z118
B0361.2	Q10946
B0361.3	Q7JPQ6
B0361.4	Q10948
B0361.5	Q10949
B0361.6	Q10950
B0361.7	Q10944
B0361.8	P53993
B0361.9	Q10952
B0393.1	P46769
B0403.2	Q11076
B0403.3	Q11077
B0403.4	Q11067
B0412.2	P92172
