Source	Windowsize	Prot-prob	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
all_0208	1	0.000000	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000000	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000172	0.8125	0.00839793281654	0.0166240409207	0.493082472007	0.504005167959
all_0208	1	0.000172	0.0	0.0	0.0	0.0833333333333	0.499935400517
all_0208	1	0.000345	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000345	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000345	0.7	0.00452196382429	0.00898587933248	0.435217484927	0.502067183463
all_0208	1	0.000517	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000517	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000517	0.0	0.0	0.0	0.0833333333333	0.499870801034
all_0208	1	0.000517	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000517	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000690	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000690	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000690	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000690	0.0	0.0	0.0	0.0833333333333	0.499935400517
all_0208	1	0.000862	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000862	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.001034	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.001034	0.166666666667	0.000645994832041	0.001287001287	0.16693583118	0.5
all_0208	1	0.001034	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.001379	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.001379	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.001551	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.002758	0.534090909091	0.0303617571059	0.0574572127139	0.363029520006	0.512532299742
all_0208	1	0.002931	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.002931	0.593023255814	0.0329457364341	0.062423500612	0.393572351421	0.514211886305
all_0208	1	0.003103	0.630952380952	0.205426356589	0.309941520468	0.484403839055	0.590697674419
all_0208	1	0.003275	0.658610271903	0.140826873385	0.232038318254	0.471316333195	0.56311369509
all_0208	1	0.004310	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.004654	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.005861	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.006033	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.008619	0.564781021898	0.399870801034	0.468229954614	0.532336678046	0.669121447028
all_0208	1	0.008792	0.621856866538	0.415374677003	0.498063516654	0.567334548687	0.682428940568
all_0208	1	0.008964	0.558580858086	0.437338501292	0.490579710145	0.544848137915	0.684108527132
all_0208	1	0.009309	0.577386468953	0.402454780362	0.474305291207	0.539716059627	0.67177002584
all_0208	1	0.009309	0.52855993564	0.424418604651	0.470798996775	0.524454386424	0.674354005168
all_0208	1	0.009654	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.009654	0.553154710458	0.413436692506	0.473197781885	0.532175977107	0.673320413437
all_0208	1	0.009654	0.529953917051	0.371447028424	0.43676414736	0.503079887035	0.652777777778
all_0208	1	0.009998	0.678048780488	0.448966408269	0.5402254178	0.609427060356	0.703165374677
all_0208	1	0.009998	0.551440329218	0.432816537468	0.484980094101	0.539393721887	0.681201550388
all_0208	1	0.010515	0.581640942323	0.462532299742	0.515293270961	0.566875596054	0.697997416021
all_0208	1	0.010515	0.549305095963	0.536175710594	0.542661000327	0.581392427396	0.724095607235
all_0208	1	0.011033	0.488446215139	0.395994832041	0.437388512308	0.492554287587	0.656524547804
all_0208	1	0.011377	0.523299748111	0.536821705426	0.529974489796	0.568658917983	0.719509043928
all_0208	1	0.011377	0.547277936963	0.49354005168	0.51902173913	0.562613990015	0.705943152455
all_0208	1	0.011377	0.515532544379	0.450258397933	0.480689655172	0.528707271328	0.682816537468
all_0208	1	0.011377	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.011895	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.012584	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.012756	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.012756	0.527536231884	0.470284237726	0.497267759563	0.543053214995	0.693023255814
all_0208	1	0.013101	0.525360050094	0.541989664083	0.533545310016	0.571842385081	0.722028423773
all_0208	1	0.013274	0.557509157509	0.491602067183	0.52248541023	0.566922106748	0.706782945736
all_0208	1	0.013446	0.546085858586	0.558785529716	0.552362707535	0.589203566674	0.732945736434
all_0208	1	0.013963	0.491666666667	0.419250645995	0.452580195258	0.503854435831	0.666279069767
all_0208	1	0.014308	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.014308	0.540389972145	0.501291989664	0.520107238606	0.562399981766	0.708010335917
all_0208	1	0.014997	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.016032	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.016032	0.471140939597	0.226744186047	0.306149149586	0.413380547318	0.587919896641
all_0208	1	0.016549	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.017928	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.018100	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.018100	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.018100	0.501298701299	0.498708010336	0.5	0.541777688289	0.699741602067
all_0208	1	0.018273	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.018445	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.018962	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.019135	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.019824	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.019824	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.020169	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.020169	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.020514	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.020686	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.020686	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.021203	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.021376	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.021720	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.021893	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.022065	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.022582	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.022755	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.023272	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.023272	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.023444	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.023789	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.023961	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.024651	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.024996	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.025513	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.025858	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.026030	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.026202	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.026375	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.026547	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.026892	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.027581	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.028961	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.028961	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.028961	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.030857	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.034304	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.035511	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.035511	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.035856	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.037235	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.037235	0.0	0.0	0.0	0.583333333333	0.5
all_0208	10	0.000293	0.47619047619	0.00645994832041	0.012746972594	0.324120216562	0.502519379845
all_0208	10	0.000345	0.5	0.0103359173127	0.020253164557	0.337639965547	0.504134366925
all_0208	10	0.000396	0.461538461538	0.0077519379845	0.0152477763659	0.317332538263	0.502971576227
all_0208	10	0.000448	0.3	0.00193798449612	0.00385109114249	0.234140826873	0.500516795866
all_0208	10	0.000500	0.333333333333	0.00129198966408	0.002574002574	0.250538329027	0.500387596899
all_0208	10	0.000534	0.4	0.00258397932817	0.00513478818999	0.284409991387	0.500904392765
all_0208	10	0.000569	0.375	0.00387596899225	0.0076726342711	0.272448320413	0.501291989664
all_0208	10	0.000621	0.545454545455	0.00387596899225	0.00769724182168	0.357675593141	0.50161498708
all_0208	10	0.000655	0.5	0.00322997416021	0.00641848523748	0.3346791559	0.501291989664
all_0208	10	0.000707	0.266666666667	0.00258397932817	0.00511836212412	0.21774332472	0.500581395349
all_0208	10	0.000758	0.35	0.00452196382429	0.00892857142857	0.260217484927	0.50142118863
all_0208	10	0.000810	0.307692307692	0.00258397932817	0.00512491992313	0.238256145233	0.500710594315
all_0208	10	0.000896	0.375	0.00387596899225	0.0076726342711	0.272448320413	0.501291989664
all_0208	10	0.000965	0.529411764706	0.00581395348837	0.0115015974441	0.350461696306	0.502390180879
all_0208	10	0.001052	0.166666666667	0.00129198966408	0.0025641025641	0.167204995693	0.5
all_0208	10	0.001258	0.441176470588	0.00968992248062	0.0189633375474	0.307959036328	0.503617571059
all_0208	10	0.001483	0.478260869565	0.0142118863049	0.0276035131744	0.32838538741	0.505555555556
all_0208	10	0.001689	0.469696969697	0.0200258397933	0.0384138785626	0.326525918096	0.507751937984
all_0208	10	0.001913	0.525846702317	0.190568475452	0.279753437648	0.42566021593	0.578100775194
all_0208	10	0.002138	0.581056466302	0.206072351421	0.304244158321	0.459725046243	0.588178294574
all_0208	10	0.002465	0.55365474339	0.229974160207	0.324965769055	0.455983271781	0.596447028424
all_0208	10	0.002827	0.582278481013	0.0891472868217	0.154621848739	0.411617276682	0.538178294574
all_0208	10	0.003275	0.519540229885	0.145994832041	0.227937468482	0.403934628293	0.559496124031
all_0208	10	0.003741	0.446886446886	0.078811369509	0.133992311917	0.339614627405	0.529651162791
all_0208	10	0.004448	0.562146892655	0.257105943152	0.352836879433	0.471534255975	0.608527131783
all_0208	10	0.005051	0.625	0.271317829457	0.378378378378	0.508882428941	0.619379844961
all_0208	10	0.005654	0.613698630137	0.289405684755	0.393327480246	0.510768350383	0.626485788114
all_0208	10	0.006292	0.618203309693	0.337855297158	0.436925647452	0.533208028662	0.648062015504
all_0208	10	0.006913	0.600638977636	0.364341085271	0.453558504222	0.535461607681	0.657945736434
all_0208	10	0.007550	0.587896253602	0.395348837209	0.472769409038	0.542010142305	0.66996124031
all_0208	10	0.008085	0.599587203302	0.375322997416	0.461660707191	0.539511517241	0.662596899225
all_0208	10	0.008585	0.597621407334	0.389534883721	0.471646460696	0.544450238551	0.66854005168
all_0208	10	0.008998	0.62959285005	0.409560723514	0.496281800391	0.568780059822	0.680684754522
all_0208	10	0.009395	0.616504854369	0.410206718346	0.492629945694	0.562505226495	0.679586563307
