Source	Windowsize	Prot-prob	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
CRF	1	0.007192	0.714285714286	0.00645161290323	0.0127877237852	0.443164362519	0.502967741935
CRF	1	0.008500	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.010134	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.011769	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.012095	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.015038	0.0	0.0	0.0	0.0833333333333	0.499806451613
CRF	1	0.016018	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.016345	0.580016246954	0.46064516129	0.513484358145	0.565276940681	0.696967741935
CRF	1	0.016672	0.587347232207	0.527096774194	0.5555933356	0.596630605351	0.726516129032
CRF	1	0.016999	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.018307	0.556701030928	0.592258064516	0.573929352923	0.608458042346	0.748967741935
CRF	1	0.018634	0.562185929648	0.577419354839	0.569700827498	0.605017696007	0.743741935484
CRF	1	0.020268	0.567885926844	0.590967741935	0.579196964907	0.613512855895	0.750516129032
CRF	1	0.020268	0.567966903073	0.62	0.592843923504	0.625650118203	0.762838709677
CRF	1	0.022229	0.577287066246	0.590322580645	0.583732057416	0.617944608392	0.751935483871
CRF	1	0.024518	0.543202764977	0.608387096774	0.573950091296	0.608429339478	0.753032258065
CRF	1	0.027787	0.540526849037	0.688387096774	0.605561861521	0.640424714841	0.785677419355
CRF	1	0.027787	0.559421841542	0.674193548387	0.611468695143	0.643958232599	0.784
CRF	1	0.028768	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.029094	0.534287123828	0.698709677419	0.605535364831	0.641605927506	0.788451612903
CRF	1	0.029421	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.029748	0.514343231002	0.65935483871	0.577890867967	0.61523613163	0.767419354839
CRF	1	0.032037	0.497633136095	0.542580645161	0.519135802469	0.558225170198	0.716516129032
CRF	1	0.032364	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.032364	0.466233766234	0.231612903226	0.309482758621	0.412955592794	0.589290322581
CRF	1	0.034652	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.034652	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.035633	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.035633	0.497346072187	0.604516129032	0.54571927781	0.583888089857	0.741161290323
CRF	1	0.036940	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.037594	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.038902	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.038902	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.038902	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.039882	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.039882	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.040536	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.040863	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.041190	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.041190	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.042171	0.0	0.0	0.0	0.583333333333	0.5
