	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0	0.28	0.28	0.29	0.29	0.30	0.29	0.28	0.29	0.28	0.28	0.27	0.28	0.27	0.27	0.24	0.24	0.23	0.24	0.26	0.25	0.22	0.23	0.26	0.24	0.24	0.25	0.25	0.24	0.24	0.24	0.26	0.24	0.26	0.22	0.23	0.23	0.24	0.25	0.19	0.16	0.17	0.12	0.12	0.12	0.07	0.05	0.00	0.00
1	0.28	0.27	0.27	0.29	0.29	0.29	0.28	0.28	0.28	0.28	0.28	0.28	0.27	0.27	0.23	0.24	0.25	0.24	0.26	0.24	0.23	0.23	0.27	0.24	0.26	0.27	0.27	0.25	0.24	0.25	0.28	0.25	0.26	0.24	0.24	0.24	0.23	0.24	0.19	0.15	0.16	0.11	0.11	0.11	0.07	0.05	0.00	NA
2	0.29	0.28	0.28	0.29	0.28	0.28	0.28	0.28	0.27	0.27	0.26	0.27	0.27	0.27	0.24	0.23	0.24	0.24	0.25	0.24	0.23	0.24	0.26	0.24	0.26	0.27	0.27	0.27	0.24	0.25	0.26	0.27	0.26	0.22	0.23	0.24	0.23	0.24	0.19	0.15	0.16	0.11	0.11	0.11	0.07	0.05	NA	NA
3	0.27	0.28	0.28	0.28	0.29	0.28	0.28	0.28	0.27	0.27	0.27	0.27	0.27	0.28	0.24	0.24	0.25	0.25	0.25	0.24	0.25	0.24	0.27	0.24	0.26	0.26	0.26	0.26	0.24	0.25	0.27	0.25	0.28	0.23	0.25	0.26	0.23	0.23	0.19	0.16	0.17	0.11	0.11	0.11	0.07	NA	NA	NA
4	0.24	0.25	0.25	0.25	0.25	0.25	0.25	0.24	0.24	0.24	0.22	0.24	0.24	0.25	0.23	0.23	0.24	0.24	0.24	0.23	0.23	0.20	0.24	0.22	0.24	0.25	0.24	0.23	0.21	0.24	0.23	0.25	0.27	0.22	0.24	0.26	0.23	0.24	0.19	0.15	0.16	0.10	0.09	0.09	NA	NA	NA	NA
5	0.25	0.28	0.28	0.27	0.28	0.28	0.27	0.28	0.27	0.27	0.26	0.27	0.27	0.27	0.24	0.24	0.25	0.25	0.24	0.23	0.22	0.23	0.25	0.26	0.26	0.27	0.26	0.27	0.25	0.24	0.24	0.26	0.26	0.23	0.22	0.22	0.22	0.22	0.19	0.15	0.14	0.07	0.02	NA	NA	NA	NA	NA
6	0.24	0.27	0.27	0.27	0.27	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.24	0.23	0.23	0.25	0.25	0.24	0.22	0.24	0.27	0.26	0.27	0.25	0.26	0.26	0.25	0.24	0.23	0.25	0.25	0.22	0.21	0.22	0.21	0.21	0.18	0.15	0.15	0.11	NA	NA	NA	NA	NA	NA
7	0.21	0.25	0.24	0.26	0.25	0.25	0.22	0.24	0.23	0.22	0.22	0.23	0.22	0.24	0.23	0.23	0.24	0.23	0.23	0.21	0.22	0.22	0.24	0.23	0.24	0.25	0.24	0.23	0.21	0.22	0.25	0.26	0.27	0.23	0.23	0.25	0.22	0.21	0.19	0.15	0.14	NA	NA	NA	NA	NA	NA	NA
8	0.22	0.24	0.24	0.26	0.25	0.24	0.24	0.25	0.23	0.23	0.22	0.23	0.22	0.22	0.19	0.19	0.20	0.20	0.24	0.28	0.26	0.25	0.27	0.28	0.28	0.29	0.28	0.28	0.25	0.26	0.27	0.29	0.28	0.25	0.24	0.23	0.21	0.19	0.19	0.09	NA	NA	NA	NA	NA	NA	NA	NA
9	0.27	0.27	0.27	0.26	0.27	0.26	0.26	0.27	0.24	0.24	0.25	0.26	0.25	0.25	0.22	0.22	0.23	0.24	0.29	0.27	0.25	0.28	0.31	0.31	0.31	0.31	0.31	0.32	0.29	0.28	0.27	0.28	0.27	0.27	0.24	0.20	0.20	0.18	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
