@RELATION COFrac
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
-1.057341150005471422e-02,positive
2.729201899269489973e-01,positive
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
3.647535520267186637e-02,positive
0.000000000000000000e+00,negative
-1.509451307924426604e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
7.478040792135789983e-02,positive
-1.398845279640587545e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
-4.587652390969614719e-02,positive
0.000000000000000000e+00,negative
2.178645985375236016e-01,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
2.926513203922667117e-01,positive
-2.556841513272585520e-02,negative
0.000000000000000000e+00,positive
-3.058950856084628050e-02,positive
-8.276181574876591285e-03,positive
2.334115003239724262e-01,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
-4.780508394858179466e-02,positive
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
7.977418970679722721e-02,negative
-2.846915762896379265e-02,positive
-1.763210684344310164e-02,positive
-1.383383142722985001e-02,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
-1.242618477375655311e-01,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
-6.574350226332678626e-02,negative
0.000000000000000000e+00,negative
3.602760535123510771e-02,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
-7.076636495831536977e-02,positive
0.000000000000000000e+00,positive
-1.692127883383843026e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
-1.417653564572602699e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,positive
-8.310924369747873727e-03,negative
-1.650861113578577094e-02,negative
0.000000000000000000e+00,negative
-9.715131271500762958e-03,negative
5.910602613880917150e-02,negative
-2.656762969226270088e-02,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
-1.984761925349854197e-02,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
-1.367141473135582812e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
-2.297247349899779814e-02,negative
0.000000000000000000e+00,negative
-1.948762948605322828e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
-6.212853163751134306e-02,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
7.627302710122447760e-01,positive
-2.256478755445757989e-02,positive
0.000000000000000000e+00,negative
-3.189033424791835880e-02,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
4.345104338795275911e-01,negative
6.405950309890852123e-01,positive
7.675929421822801357e-01,positive
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,negative
0.000000000000000000e+00,positive
0.000000000000000000e+00,negative
