IDA	IDB	score	Label
P61803	Q9BUL9	0.000000	negative
P84098	Q9UBV2	0.000000	negative
Q13155	Q6PUV4	0.000000	negative
O95777	Q13287	-0.010573	positive
P12004	Q15054	0.272920	positive
O95359	P18859	0.000000	negative
O75251	Q9NWU2	0.000000	negative
O15360	Q9Y2Q9	0.000000	negative
Q13263	Q15459	0.036475	positive
P10646	Q13596	0.000000	negative
P78560	Q9UM13	0.000000	negative
O14810	Q9H9B1	0.000000	negative
P82912	Q92552	0.000000	positive
O15511	Q8TCJ2	0.000000	negative
Q16576	Q4LE39	0.074780	positive
Q02878	Q8TAQ2	-0.033973	negative
O15143	O95602	-0.036357	negative
O95219	P82909	0.000000	negative
P51151	Q02543	0.000000	negative
O00422	Q8TAQ2	0.000000	positive
P25205	Q14566	-0.045877	positive
O15400	O95359	0.000000	negative
P24821	Q9BTT4	0.000000	negative
Q92804	Q9UKM9	0.000000	positive
P51858	Q16795	0.000000	negative
Q8WWY3	Q9BVI0	0.000000	positive
Q00403	Q15545	-0.008276	positive
O95983	P07910	0.233412	positive
P82673	Q9H9Q4	0.000000	negative
P18859	P68400	0.000000	negative
P16989	Q9Y5B0	0.000000	negative
O60830	Q14254	0.000000	negative
Q8NFH3	Q9Y399	0.000000	negative
P82664	Q9Y676	0.000000	positive
O60762	P62736	0.000000	negative
Q8NFD5	Q9Y5B9	-0.047805	positive
O15294	P08047	0.000000	positive
P18858	Q8N8D1	0.000000	negative
O75970	Q8NI35	0.000000	positive
P28074	Q14202	0.079774	negative
P18074	Q96HS1	0.000000	negative
Q96FV9	Q9UBW7	-0.013834	negative
O43143	Q8TBF4	0.000000	positive
O43660	Q16787	0.000000	negative
O00203	Q15054	-0.008911	negative
P00846	Q9UMS4	0.000000	negative
O60341	P34059	0.000000	negative
P53999	Q14202	-0.065744	negative
P30260	P56385	0.000000	negative
Q99460	Q9BUE0	0.000000	negative
P56385	Q9Y6B7	0.000000	negative
Q9Y230	Q9Y4A5	0.036028	positive
P10646	P22626	0.000000	negative
Q01130	Q7L1Q6	0.000000	positive
O00203	Q13526	-0.017981	negative
O14979	Q00839	-0.070766	positive
O95425	P82664	0.000000	negative
P12111	Q13309	-0.014066	negative
P82912	Q13617	0.000000	negative
P19387	Q14202	-0.013968	negative
P82664	P82909	0.000000	positive
P40222	Q8IX12	-0.026568	positive
Q14155	Q8N201	0.000000	negative
Q8IXM2	Q9Y265	0.000000	positive
Q7L576	Q96JC1	-0.019848	negative
O96017	P50502	0.000000	positive
O60925	Q6PUV4	0.000000	negative
O94973	P14635	0.000000	positive
P04844	Q00341	0.000000	negative
O14617	Q99759	0.000000	negative
O00203	Q9NQ66	0.000000	negative
Q9UBT2	Q9Y570	-0.013671	negative
Q07021	Q9Y2U8	0.000000	positive
P68363	Q6IA86	0.000000	negative
P11142	Q13435	-0.062129	positive
P10155	Q8IXI1	0.000000	negative
P05387	Q9Y294	0.000000	negative
Q00535	Q6PI98	0.000000	negative
O14810	Q9BZZ5	0.000000	negative
P12111	P56377	0.000000	negative
P34932	Q9H7L9	0.000000	positive
Q16787	Q8NI27	0.000000	negative
O00255	Q9C005	0.000000	positive
O60830	P78560	0.000000	negative
O75947	Q9NXF1	0.000000	negative
P61201	Q13098	0.762730	positive
Q13485	Q92793	-0.022565	positive
O15143	Q9HCK8	-0.031890	negative
Q15334	Q96LT9	0.000000	negative
P08047	Q8N201	0.000000	negative
O95139	Q8IYD1	0.000000	negative
P51665	Q99460	0.640595	positive
P49720	P62195	0.767593	positive
O43719	P10646	0.000000	negative
P12111	P16989	-0.017869	negative
Q6QNY1	Q6ZYL4	0.000000	negative
Q13617	Q6PI98	0.000000	negative
O00422	P50402	0.000000	positive
Q13617	Q9Y2V7	-0.011741	negative
O43390	P30049	0.000000	negative
P00403	P29317	0.000000	negative
Q05086	Q4G0F5	0.000000	negative
P29083	Q9BWH6	0.000000	positive
Q9UBW8	Q9Y316	-0.028594	negative
O15126	P22612	0.000000	negative
P09884	P49005	-0.022646	positive
P30049	P98170	0.000000	negative
O15212	Q9H0D6	0.412295	negative
P28074	P62191	0.661337	positive
P25786	Q14202	0.232710	negative
Q7L5N1	Q9UBW7	0.144999	negative
P49643	Q12788	0.000000	negative
P07942	Q9NXR8	0.000000	negative
Q15019	Q9NVA2	0.634223	positive
P82664	Q9Y2X9	0.000000	negative
Q92552	Q9Y2R9	0.000000	positive
P82930	Q5VTR2	0.000000	negative
Q13547	Q96BD5	0.000000	positive
Q8IWI9	Q9UKM9	0.000000	negative
O14979	Q9Y399	0.000000	negative
Q6I9Y2	Q8NI27	0.632318	positive
O15111	P63208	0.000000	positive
