HDO-ID	Term
DOID:0000004	Disease (root)
DOID:0001816	angiosarcoma
DOID:0002116	pterygium
DOID:0014667	disease of metabolism
DOID:0050001	Actinomadura madurae infectious disease
DOID:0050002	Actinomadura pelletieri infectious disease
DOID:0050003	Streptomyces somaliensis infectious disease
DOID:0050004	seminal vesicle acute gonorrhea
DOID:0050007	cutaneous strongyloidiasis
DOID:0050009	intestinal strongyloidiasis
DOID:0050010	Mansonella perstans infectious disease
DOID:0050011	Mansonella streptocerca infectious disease
DOID:0050012	chikungunya
DOID:0050013	carbohydrate metabolism disease
DOID:0050014	epizootic hemorrhagic disease
DOID:0050015	Rocio virus encephalitis
DOID:0050024	Ehrlichia ewingii ehrlichiosis
DOID:0050025	human granulocytic anaplasmosis
DOID:0050026	human monocytic ehrlichiosis
DOID:0050032	mineral metabolism disease
DOID:0050035	African tick-bite fever
DOID:0050041	Astrakhan spotted fever
DOID:0050042	Indian tick typhus
DOID:0050043	Israeli tick typhus
DOID:0050046	Far Eastern spotted fever
DOID:0050047	Flinders Island spotted fever
DOID:0050050	Japanese spotted fever
DOID:0050051	Rickettsia parkeri spotted fever
DOID:0050052	Rocky Mountain spotted fever
DOID:0050053	Rickettsia honei spotted fever
DOID:0050059	oropharyngeal anthrax
DOID:0050061	erysipeloid
DOID:0050063	abortive plague
DOID:0050065	cutaneous listeriosis
DOID:0050066	Listeria meningoencephalitis
DOID:0050067	Listeria septicaemia
DOID:0050068	pestis minor
DOID:0050069	Yersinia pestis infectious disease
DOID:0050070	plague meningitis
DOID:0050072	adiaspiromycosis
DOID:0050073	invasive aspergillosis
DOID:0050074	tonsillar aspergillosis
DOID:0050075	pulmonary blastomycosis
DOID:0050078	cervix tuberculosis
DOID:0050079	niacin deficiency
DOID:0050080	iodine deficiency
DOID:0050082	hepatic Torque teno virus infectious disease
DOID:0050083	Keshan disease
DOID:0050084	rhinotracheitis
DOID:0050085	entomophthoromycosis
DOID:0050086	cutaneous mucormycosis
DOID:0050088	gastrointestinal mucormycosis
DOID:0050089	pulmonary mucormycosis
DOID:0050090	rhinocerebral mucormycosis
DOID:0050091	disseminated paracoccidioidomycosis
DOID:0050092	pulmonary paracoccidioidomycosis
DOID:0050093	disseminated sporotrichosis
DOID:0050094	lymphocutaneous sporotrichosis
DOID:0050095	pulmonary sporotrichosis
DOID:0050096	tinea barbae
DOID:0050097	ectothrix infectious disease
DOID:0050098	Microsporum audouinii tinea capitis
DOID:0050099	Microsporum canis tinea capitis
DOID:0050100	Microsporum distortum tinea capitis
DOID:0050101	Microsporum ferrugineum tinea capitis
DOID:0050102	Microsporum gypseum tinea capitis
DOID:0050103	Microsporum nanum tinea capitis
DOID:0050104	Trichophyton verrucosum tinea capitis
DOID:0050105	endothrix infectious disease
DOID:0050106	Trichophyton soudanense tinea capitis
DOID:0050107	Trichophyton tonsurans tinea capitis
DOID:0050108	Trichophyton violaceum tinea capitis
DOID:0050110	Trichophyton schoenleinii tinea capitis
DOID:0050111	Microsporum fulvum tinea capitis
DOID:0050112	Trichophyton megninii tinea capitis
DOID:0050113	Trichophyton equinum tinea capitis
DOID:0050115	Trichophyton yaoundei tinea capitis
DOID:0050116	tinea imbricata
DOID:0050117	disease by infectious agent
DOID:0050118	La Crosse encephalitis
DOID:0050119	West Nile virus neurological syndrome
DOID:0050120	hemophagocytic lymphohistiocytosis
DOID:0050123	tuberculous encephalitis
DOID:0050125	dengue shock syndrome
DOID:0050126	Tahyna virus encephalitis
DOID:0050127	sinusitis
DOID:0050129	secretory diarrhea
DOID:0050130	osmotic diarrhea
DOID:0050131	motility-related diarrhea
DOID:0050132	inflammatory diarrhea
DOID:0050133	superficial mycosis
DOID:0050134	cutaneous mycosis
DOID:0050135	subcutaneous mycosis
DOID:0050136	systemic mycosis
DOID:0050138	podoconiosis
DOID:0050139	Opisthorchis felineus infectious disease
DOID:0050140	acute diarrhea
DOID:0050141	intestinal botulism
DOID:0050143	asymptomatic dengue
DOID:0050144	Kartagener syndrome
DOID:0050145	adenoiditis
DOID:0050146	autoimmune glomerulonephritis
DOID:0050147	otomycosis
DOID:0050148	laryngotracheitis
DOID:0050150	Pontiac fever
DOID:0050151	tracheobronchial tuberculosis
DOID:0050152	aspiration pneumonia
DOID:0050153	pulmonary aspergilloma
DOID:0050154	mycoplasmal pneumonia
DOID:0050155	sensory system disease
DOID:0050156	idiopathic pulmonary fibrosis
DOID:0050157	cryptogenic organizing pneumonia
DOID:0050158	desquamative interstitial pneumonia
DOID:0050159	lymphoid interstitial pneumonia
DOID:0050160	inhalation anthrax
DOID:0050161	lower respiratory tract disease
DOID:0050162	influenza encephalopathy
DOID:0050163	influenza myocarditis
DOID:0050164	influenza myositis
DOID:0050165	tuberculous mesenteric gland
DOID:0050166	tuberculous salpingitis
DOID:0050167	autoimmune polyendocrine syndrome type 1
DOID:0050168	autoimmune polyendocrine syndrome type 2
DOID:0050169	cutaneous lupus erythematosus
DOID:0050170	Jamestown Canyon encephalitis
DOID:0050171	snowshoe hare encephalitis
DOID:0050172	trivittatus encephalitis
DOID:0050173	inkoo encephalitis
DOID:0050174	Kunjin encephalitis
DOID:0050175	tick-borne encephalitis
DOID:0050177	monogenic disease
DOID:0050178	complex genetic disease
DOID:0050179	Powassan encephalitis
DOID:0050180	Colorado tick fever encephalitis
DOID:0050181	Herpes simplex virus encephalitis
DOID:0050182	Varicella-zoster virus encephalitis
DOID:0050183	Epstein-Barr virus encephalitis
DOID:0050184	Measles virus encephalitis
DOID:0050185	erythema multiforme
DOID:0050186	Cytomegalovirus encephalitis
DOID:0050187	Rubella virus encephalitis
DOID:0050188	coxsackievirus encephalitis
DOID:0050189	polioencephalitis
DOID:0050190	adenovirus encephalitis
DOID:0050191	influenza virus encephalitis
DOID:0050192	Nipah virus encephalitis
DOID:0050193	Lymphocytic choriomeningitis virus encephalitis
DOID:0050194	Argentine hemorrhagic fever
DOID:0050195	Bolivian hemorrhagic fever
DOID:0050196	Venezuelan hemorrhagic fever
DOID:0050197	Brazilian hemorrhagic fever
DOID:0050198	Chapare hemorrhagic fever
DOID:0050199	Whitewater Arroyo hemorrhagic fever
DOID:0050200	Korean hemorrhagic fever
DOID:0050201	nephropathia epidemica
DOID:0050202	lujo hemorrhagic fever
DOID:0050203	Cytomegalovirus hepatitis
DOID:0050204	Epstein-Barr virus hepatitis
DOID:0050205	Herpes simplex virus hepatitis
DOID:0050206	adenovirus hepatitis
DOID:0050207	Rubella virus hepatitis
DOID:0050208	yellow fever hepatitis
DOID:0050209	Measles virus hepatitis
DOID:0050210	Varicella-zoster virus hepatitis
DOID:0050211	swine influenza
DOID:0050212	Campylobacter jejuni gastroenteritis
DOID:0050213	Vibrio gastroenteritis
DOID:0050214	Lambert-Eaton myasthenic syndrome
DOID:0050215	Staphylococcus gastroenteritis
DOID:0050216	Bacillus cereus gastroenteritis
DOID:0050217	Sapovirus gastroenteritis
DOID:0050218	polycystic echinococcosis
DOID:0050219	Hepeviridae infectious disease
DOID:0050220	Coxiella burnetii pneumonia
DOID:0050221	Coxiella burnetii hepatitis
DOID:0050222	selective IgM deficiency disease
DOID:0050223	candidal gastritis
DOID:0050224	Helicobacter heilmannii infectious disease
DOID:0050225	Histoplasma capsulatum gastritis
DOID:0050226	Morganella morganii intestinal infectious disease
DOID:0050227	Vibrio cholerae O139 cholera
DOID:0050228	amebic dysentery
DOID:0050229	Escherichia coli dysentery
DOID:0050230	intestinal capillariasis
DOID:0050231	hepatic capillariasis
DOID:0050232	pulmonary capillariasis
DOID:0050233	Balamuthia mandrillaris infectious disease
DOID:0050234	Acanthamoeba infectious disease
DOID:0050235	Alveolata infectious disease
DOID:0050236	Heterolobosea infectious disease
DOID:0050237	Euglenozoa infectious disease
DOID:0050238	Parabasalia infectious disease
DOID:0050239	Fornicata infectious disease
DOID:0050240	Trichomonadida infectious disease
DOID:0050241	Tritrichomonadida infectious disease
DOID:0050242	primary amebic meningoencephalitis
DOID:0050243	Apicomplexa infectious disease
DOID:0050244	Coccidia infectious disease
DOID:0050245	Aconoidasida infectious disease
DOID:0050246	granulomatous amebic encephalitis
DOID:0050247	parasitic stramenopiles infectious disease
DOID:0050249	Brugia timori filariasis
DOID:0050250	philophthalmiasis
DOID:0050251	coenurosis
DOID:0050252	Dipylidium caninum infectious disease
DOID:0050253	mesocestoidiasis
DOID:0050254	acanthocephaliasis
DOID:0050255	Uncinaria stenocephala infectious disease
DOID:0050256	angiostrongyliasis
DOID:0050257	Angiostrongylus cantonensis infectious disease
DOID:0050258	Angiostrongylus costaricensis infectious disease
DOID:0050259	baylisascariasis
DOID:0050260	dioctophymiasis
DOID:0050261	thelaziasis
DOID:0050262	Acoelomata infectious disease
DOID:0050263	Pseudocoelomata infectious disease
DOID:0050264	Acanthocephala infectious disease
DOID:0050265	tick paralysis
DOID:0050266	tungiasis
DOID:0050267	Ancylostoma caninum ancylostomiasis
DOID:0050268	ophthalmomyiasis
DOID:0050269	Trichomonas vaginalis trichomoniasis
DOID:0050270	Trichomonas tenax trichomoniasis
DOID:0050271	cutaneous ascomycota mycosis
DOID:0050272	cutaneous basidiomycota mycosis
DOID:0050273	Neoscytalidium dimidiatum infectious disease
DOID:0050274	Scopulariopsis infectious disease
DOID:0050275	onychomycosis
DOID:0050276	subcutaneous ascomycota mycosis
