human	elegans
A0AV02	Q19301
A0AVF1	Q95QT8
A0AVI4	O17638
A0FGR8	O76835
A0JLT2	Q9N4F2
A0PK00	O76687
A1L0T0	O61856
A1YPR0	Q9N3C6
A2RRP1	P90841
A3KMH1	B6VQ59
A4D1E9	Q95QU5
A4D2B0	Q8WT45
A5PLL7	Q9XW52
A5PLN9	Q95QQ2
A5YKK6	Q20937
A6BM72	Q9XWD6
A6ND91	C0P278
A6NDG6	O01591
A6NE02	G5EEX6
A6NEE1	O45420
A6NFA1	Q17678
A6NGC4	G5EF48
A6NIH7	Q10658
A6NJ46	G5ECT8
A6NJL1	O46016
A6NK59	Q9GYM5
A6NKF1	Q8WQE7
A6NKF2	O02326
A6NKP2	Q23086
A6NLP5	Q20683
A6NNA5	P29506
A6NNM8	H2KZM9
A7E2V4	Q21875
A8MPP1	Q21489
A8MQ27	Q7JP67
A8MTJ6	Q10924
A8MTL3	C6KRL6
A8MUP2	Q564W8
A8MVS1	A7WK42
A8MWY0	Q9NA40
A8MXD5	Q9N3V8
A8MXV4	P91148
B2RNN3	H2L0P1
B2RTY4	F0IWT2
B7ZAQ6	Q17912
B7ZC32	G5EFQ4
C4AMC7	O18195
C9J366	Q20079
C9JJ37	Q9BKZ7
D3W0D1	Q86NG3
E9PLD5	Q93519
H0YIV9	Q9BI40
H3BPM6	C0Z1Y1
H3BQF6	Q9GYH9
K7ELQ4	D0Z5N1
M0R2C6	G5EF77
O00115	P34387
O00116	O45218
O00139	Q9XU12
O00141	Q2PJ68
O00148	Q18212
O00170	Q18888
O00178	Q18905
O00180	Q9NEV3
O00182	P36573
O00192	Q9U308
O00217	Q22619
O00231	Q20938
O00232	Q19324
O00233	Q10920
O00238	Q09488
O00244	G5EE41
O00264	H2KYD7
O00267	Q21338
O00291	Q02328
O00303	Q18967
O00308	Q9N2Z7
O00339	Q18048
O00391	H2KZY5
O00399	Q9N3F1
O00400	Q22816
O00410	Q9N5V3
O00418	O01991
O00422	Q09250
O00429	Q8WQC9
O00443	G5EDY0
O00462	Q93324
O00468	G5EG68
O00470	Q9N5D6
O00471	Q18406
O00482	Q19345
O00487	O76577
O00488	Q9U239
O00506	H2L099
O00519	Q17449
O00522	G5EDH0
O00541	Q95Y89
O00555	G4SFC3
O00566	Q9XW58
O00567	Q21276
O00571	D0PV95
O00584	O61887
O00623	Q19189
O00629	Q19969
O00635	O16680
O00743	Q09496
O00754	Q20829
O00764	O01824
O00767	G5EGN2
O14494	H2KZD1
O14497	J7SA49
O14498	Q9BKU0
O14508	O45498
O14519	Q8MPP5
O14521	O62215
O14529	Q9BL02
O14530	Q11183
O14561	Q9U241
O14578	Q21025
O14579	O62246
O14602	Q9TXU7
O14617	O16637
O14639	Q95QM5
O14641	B1Q240
O14645	Q95YA5
O14646	O17909
O14653	P41941
O14656	Q9XXG5
O14662	Q9TY08
O14672	G5EFD9
O14678	F5GUC6
O14681	Q20123
O14683	Q9N4P4
O14730	P34649
O14733	Q21307
O14734	Q19781
O14735	Q9U2G1
O14737	Q93408
O14744	P46580
O14745	G5EC64
O14756	Q20012
O14757	Q9N3Z3
O14772	Q0PDK5
O14775	Q20636
O14776	Q95PX7
O14777	Q17635
O14792	Q9TZK5
O14802	Q18566
O14807	G5EGA7
O14815	P34308
O14818	Q95005
O14828	G5EED5
O14830	G5EBX9
O14832	O62515
O14841	A0A9S2
O14893	Q9N405
O14907	Q09506
O14908	Q18488
O14925	Q9XVQ2
O14929	Q21484
O14936	P54936
O14949	O45525
O14964	Q17796
O14965	O01427
O14974	G5ECD7
O14980	Q23089
O14981	G5EF07
O15027	H2KZQ8
O15042	Q95YF1
O15066	Q8MQ68
O15067	Q19311
O15068	H2KYI7
O15075	Q95QC4
O15083	O44490
O15084	Q9GRV5
O15085	G5EFE1
O15116	Q20229
O15118	Q19127
O15123	Q9XXE9
O15144	Q8WTM6
O15145	Q9XWV3
O15155	G5EEU1
O15160	Q9UAY9
O15162	O45799
O15212	P52554
O15213	Q19873
O15228	G5EFP8
O15229	Q21795
O15230	Q21313
O15234	G5EDE4
O15235	Q9XTY5
O15247	O45405
O15254	Q20992
O15258	P52879
O15259	O17972
O15260	Q18864
O15269	P91079
O15270	Q20375
O15294	O18158
O15305	Q9XUE6
O15318	Q9N3T3
O15342	Q20591
O15355	P49595
O15371	P30642
O15372	O01974
O15381	Q9NAG4
O15392	G5EFA2
O15393	P91484
O15394	Q8MQ86
O15431	Q6BEW1
O15432	Q19936
O15440	G5EE72
O15457	Q23405
O15484	Q22036
O15498	Q9TXZ9
O15511	O61861
O15514	O02092
O15525	B0M0M9
O15530	Q9Y1J3
O15541	O17917
O15550	Q09519
O43143	Q20875
O43148	Q9XVS1
O43159	O44410
O43172	Q93339
O43175	O17626
O43181	Q9N4L8
O43184	G5EDW5
O43196	Q19272
O43237	G5ED34
O43242	Q04908
O43246	O44798
O43257	A9D699
O43264	Q19642
O43272	O45228
O43280	F5GUD3
O43283	O01700
O43290	O01524
O43292	Q95X60
O43295	Q19370
O43310	Q8MQ52
O43314	P91309
O43318	Q9XTC6
O43390	Q9NLD1
O43395	Q21486
O43396	G5EES9
O43414	Q9TZZ9
O43426	G5ECL2
O43432	Q21531
O43435	O17212
O43447	P52018
O43462	Q9U227
O43490	Q19188
O43505	Q9GZF1
O43511	G5EFB2
O43513	Q95Q17
O43516	Q8WT46
O43567	Q9XX98
O43572	Q10955
O43583	Q9NAH4
O43592	Q9GYQ7
O43603	Q23497
O43615	O02161
O43617	P34605
O43623	O45103
O43633	Q9U2F6
O43639	Q95PW9
O43660	G5EEL2
O43663	G5ED58
O43670	Q9U3S8
O43674	H2KYV1
O43678	Q9XWG2
O43680	Q23579
O43681	P30632
O43684	Q9XWH0
O43708	Q18938
O43709	Q18257
O43739	P34512
O43747	Q8WQB3
O43759	O76735
O43765	Q21746
O43766	Q21452
O43772	Q27257
O43776	Q19722
O43791	P34568
O43809	Q93716
O43818	A9D0C3
O43824	Q20446
O43826	Q20523
O43837	Q93353
O43852	G5EBH7
O43861	G5EBH1
O43897	Q20176
O43900	G5EF39
O43909	O01705
O43913	Q23249
O43920	Q9N3D9
O43933	G5ED99
O43934	Q21545
O60216	Q21306
O60220	Q9N408
O60231	O45244
O60232	G5EEN7
O60243	G5EFN7
O60244	Q03570
O60256	D0VWN5
O60260	Q9XUS3
O60262	P54406
O60282	P34540
O60306	Q9U1Q7
O60308	Q22249
O60313	Q18965
O60337	Q400N4
O60341	Q9XWP6
O60427	Q23221
O60437	G5EEK2
O60469	Q9TXI8
O60476	Q18788
O60481	Q7JNM3
O60488	Q18660
O60494	Q20911
O60500	Q9U3P2
O60502	A8WFI7
O60503	Q19523
O60507	O77081
O60508	O44729
O60512	Q9GUM2
O60524	Q9BKR5
O60547	Q18801
O60551	P46548
O60563	P34425
O60568	Q20679
O60573	Q22888
