IDA	IDB	Label
Q96BT3	Q9NR61	negative
P15692	P54277	negative
Q9UPZ3	P27986	negative
P82914	Q9H270	negative
Q9BUL9	P61803	negative
Q9Y624	Q8WWI1	negative
P84098	Q9UBV2	negative
Q9NRH3	Q06587	negative
Q6PUV4	Q13155	negative
Q9H0D6	Q9Y3R0	negative
P54277	Q9BRP8	negative
O95777	Q13287	positive
P12004	Q15054	positive
P33151	Q9NPB6	positive
P18859	O95359	negative
O75251	Q9NWU2	negative
Q06643	Q9NXR8	negative
Q9NUV7	P30153	negative
Q9Y624	Q13444	positive
Q9Y2Q9	O15360	negative
Q13263	Q15459	positive
Q13368	P16885	negative
Q63HQ0	O94776	negative
Q13330	P14867	negative
P05154	Q9UBT2	negative
P10646	Q13596	negative
P35606	O43791	negative
Q9BZM6	P68366	negative
P98172	P78364	negative
P82663	Q14563	negative
P78560	Q9UM13	negative
Q01650	P52657	negative
P63000	O75712	negative
P20700	Q9Y4K3	negative
O14810	Q9H9B1	negative
P82912	Q92552	positive
Q8TCJ2	O15511	negative
Q9Y399	P17947	negative
Q4LE39	Q16576	positive
Q02878	Q8TAQ2	negative
O95602	O15143	negative
Q96AJ9	P30281	negative
O60925	P26718	negative
P82909	O95219	negative
P51151	Q02543	negative
Q13797	O95139	negative
Q6PI98	P51805	negative
Q9UKX5	Q99967	negative
O00422	Q8TAQ2	positive
P25205	Q14566	positive
P12314	O43915	negative
O15400	O95359	negative
Q96NW7	P18859	negative
P82663	Q96EL2	positive
Q9BTT4	P24821	negative
P23025	Q6PUV4	negative
Q9UKM9	Q92804	positive
Q16795	P51858	negative
P56199	P30049	negative
Q9BZR6	Q86W51	negative
P14867	P82675	negative
Q9BS16	Q9NSP4	positive
Q9BVI0	Q8WWY3	positive
O75367	Q9NVS2	negative
P56385	P15018	negative
Q15545	Q00403	positive
O95983	P07910	positive
Q8NFY4	Q96RN5	negative
P82673	Q9H9Q4	negative
P82909	P15498	negative
P04637	Q9UKU7	negative
P03891	O95405	negative
Q9Y3D5	Q9P2X0	negative
Q92547	Q9HCM2	negative
P18859	P68400	negative
Q9Y5B0	P16989	negative
O60830	Q14254	negative
Q9Y399	Q8NFH3	negative
P47756	Q05195	negative
P56381	Q9Y6J9	negative
P82664	Q9Y676	positive
P50148	Q14563	negative
P05546	Q9Y399	negative
P05496	Q13797	negative
P62736	O60762	negative
Q86VP6	O15270	negative
Q8NFD5	Q9Y5B9	positive
P05546	Q6PUV4	negative
P08047	O15294	positive
P18858	Q8N8D1	negative
Q13635	P61218	negative
O75970	Q8NI35	positive
Q6IEG0	Q9BXS5	negative
P05154	Q13769	negative
O75489	Q9HCI7	negative
P28074	Q14202	negative
P18074	Q96HS1	negative
Q8TCJ2	Q9Y6J9	negative
Q9UBX0	Q9NYJ7	negative
Q96FV9	Q9UBW7	negative
Q8TBF4	O43143	positive
Q9Y6W5	Q9NVS2	negative
O43660	Q16787	negative
O95696	P82675	negative
O00203	Q15054	negative
P00846	Q9UMS4	negative
O60341	P34059	negative
P53999	Q14202	negative
P78367	Q9UBT2	negative
P56385	P30260	negative
Q9BUE0	Q99460	negative
P78367	Q9Y576	negative
P56385	Q9Y6B7	negative
Q9UPZ3	Q9BYE7	negative
Q9UHI5	Q6WN34	negative
Q9Y4A5	Q9Y230	positive
P05546	Q9Y6Q5	negative
O75478	O75486	positive
Q9Y2R9	O15169	negative
P10646	P22626	negative
P35606	Q96G21	negative
O75182	P61160	negative
A0JLT2	Q6P2C8	positive
Q92989	Q9NVA2	negative
Q9UJX6	P56556	negative
Q01130	Q7L1Q6	positive
Q04727	P55268	negative
Q14442	P12755	negative
Q99519	O00268	negative
O00203	Q13526	negative
Q00839	O14979	positive
Q12933	Q99879	negative
P82664	O95425	negative
Q96KQ7	Q13797	negative
Q71U36	Q96AJ9	negative
Q13487	Q96HS1	negative
P03891	P14867	negative
P16144	Q5XUX0	negative
P12111	Q13309	negative
Q9Y3F4	Q9UKU7	negative
P82912	Q13617	negative
Q96KG9	Q8WUW1	negative
Q5XUX0	O14964	negative
P19387	Q14202	negative
P82664	P82909	positive
Q6UW60	P19419	negative
O75446	Q6WN34	negative
O60566	Q9H0D6	negative
P00742	P56134	negative
P15498	O75390	negative
Q6WN34	Q96AJ9	negative
Q8TDZ2	P61966	negative
Q96RK1	Q9UMX0	negative
P48509	Q6WN34	negative
P11047	Q15628	negative
Q9Y399	O95149	negative
O60830	Q9NPB6	negative
Q9UPM8	Q9Y5K6	negative
O95452	Q8TDZ2	negative
A7MCY6	Q9Y587	negative
Q9Y6X2	Q13683	negative
P56381	Q12879	negative
Q8IX12	P40222	positive
Q14155	Q8N201	negative
Q15024	Q13368	negative
Q13797	Q9BRG1	negative
Q99627	P01574	negative
Q8IXM2	Q9Y265	positive
P09086	P82650	negative
Q63HQ0	P51608	negative
P40429	Q6IT96	negative
Q96JC1	Q7L576	negative
Q13487	Q92966	positive
P01374	Q155Q3	negative
P50502	O96017	positive
O60925	Q6PUV4	negative
P14635	O94973	positive
P04844	Q00341	negative
Q6IEG0	Q16363	negative
Q99759	O14617	negative
O15235	Q9H503	negative
P18859	A6H8Y1	negative
O00203	Q9NQ66	negative
P61758	Q92994	negative
Q9UBT2	Q9Y570	negative
Q86VW2	Q8WX92	negative
Q9Y2U8	Q07021	positive
P46778	Q9BQE4	negative
Q8IZP0	Q9HCM2	negative
Q12879	Q86W51	negative
Q96AJ9	Q15750	negative
Q6IA86	P68363	negative
P11142	Q13435	positive
Q9H1A4	Q9UHI5	negative
P10155	Q8IXI1	negative
Q9Y294	P05387	negative
Q00535	Q6PI98	negative
P05546	A0JLT2	negative
O14810	Q9BZZ5	negative
Q9BV90	Q15427	positive
O75486	P15391	negative
P12111	P56377	negative
P05154	Q9UJF2	negative
P21796	Q9Y291	negative
P23763	Q8WUA4	negative
P53677	Q14008	negative
O43915	O00303	negative
Q9Y6J0	Q9BZM6	negative
Q9H7L9	P34932	positive
Q8NI27	Q16787	negative
P05107	Q9H814	negative
Q9C005	O00255	positive
Q5XUX0	O95613	negative
O00189	A6H8Y1	negative
Q99519	Q15014	negative
P26012	Q9Y291	negative
P40429	O00189	negative
P03891	P04843	negative
Q6PUV4	P25054	negative
Q9NUP1	P78364	negative
O60830	P78560	negative
Q9Y3D5	Q14192	negative
O43915	O43324	negative
Q9UKX5	P61244	negative
Q9UBP5	Q13547	positive
O75947	Q9NXF1	negative
P22626	Q9HCM2	negative
Q16560	Q16543	negative
Q02878	P08588	negative
P61201	Q13098	positive
Q13485	Q92793	positive
P41743	Q9HCI7	negative
Q9HCK8	O15143	negative
Q9UKX5	O75367	negative
Q15334	Q96LT9	negative
Q13363	Q9Y3D5	negative
O15270	P12755	negative
P08047	Q8N201	negative
Q9UBX0	O15212	negative
O95139	Q8IYD1	negative
Q96EL2	O15265	negative
P41231	Q8IWI9	negative
Q13454	O14964	negative
Q15582	P18859	negative
Q96EV8	O95295	positive
Q9NRH3	Q9Y576	negative
P51665	Q99460	positive
P62195	P49720	positive
Q8WW43	O60870	negative
P54277	Q13438	negative
P82664	P16520	negative
Q9BVC4	Q92828	negative
O43719	P10646	negative
P12111	P16989	negative
Q15052	Q12996	negative
Q9BZI7	O15239	negative
Q92535	Q12962	negative
Q6QNY1	Q6ZYL4	negative
Q13888	Q9HCM2	negative
Q6PI98	Q13617	negative
Q96BN2	O94973	negative
Q969H4	O75712	negative
Q969F9	Q16401	negative
P50402	O00422	positive
Q13617	Q9Y2V7	negative
O43390	P30049	negative
P00403	P29317	negative
Q4G0F5	Q05086	negative
Q15233	Q9UL63	negative
P29083	Q9BWH6	positive
Q9Y316	Q9UBW8	negative
Q96SB4	Q6UW60	negative
Q92889	P18564	negative
Q9H2F5	Q9Y576	negative
P22612	O15126	negative
P09884	P49005	positive
Q15329	O43915	negative
P40189	P49643	negative
Q9NRH3	Q969G3	negative
Q01518	O43196	negative
O14925	Q14202	negative
Q92896	Q8N5Y2	negative
Q99963	Q9BSV6	negative
Q08499	P22694	positive
P98170	P30049	negative
Q9H115	P82914	negative
O15212	Q9H0D6	negative
P28074	P62191	positive
P25786	Q14202	negative
Q7L5N1	Q9UBW7	negative
Q9Y2R9	Q92613	negative
P40692	Q5YLB2	negative
O00566	O14810	negative
P11831	Q9Y2V7	negative
Q9BRT9	P26992	negative
