IDA	IDB	Label
YDR434W	YDR439W	negative
YOR217W	YGR082W	negative
YDR337W	YOL012C	negative
YNL118C	YNL284C	negative
YHR090C	YHR012W	negative
YER025W	YOR361C	positive
YJL085W	YDL098C	negative
YDR429C	YPL138C	negative
YBR207W	YER114C	negative
YHR077C	YOR340C	negative
YLR421C	YOR142W	negative
YDR424C	YJL208C	negative
YHR098C	YOR310C	negative
YLR150W	Q0130	negative
YMR089C	YBR095C	negative
YLR117C	YPR101W	positive
YBR263W	YLR148W	negative
YGL087C	YDL149W	negative
YDL004W	YNR046W	negative
YKL138C-A	YOR211C	negative
YPL090C	YNL006W	negative
YBL041W	YGR020C	negative
YDR472W	YGL252C	negative
YDL074C	YPL055C	positive
YCR035C	YMR203W	negative
YDL097C	YER173W	negative
YPR144C	YPL218W	negative
YGL153W	YMR312W	negative
YLL010C	YGR084C	negative
YJR135W-A	YPL126W	negative
YFR052W	YLR007W	negative
YER031C	YER126C	negative
YPR137W	YER111C	negative
YER082C	YFL018C	negative
YMR218C	YCL032W	negative
YDR425W	YJR009C	negative
YGL200C	YGR003W	negative
YBR161W	YKL193C	negative
YGR145W	YNL153C	negative
YNR052C	YJR092W	negative
YCR009C	YLR207W	negative
YDR221W	YOR212W	negative
YPL149W	YKR095W-A	negative
YHR041C	YHL019C	negative
YDR080W	YER038C	negative
YBR050C	YPL237W	negative
YPR049C	YGL194C	negative
YIL033C	YDR347W	negative
YDR502C	YDR469W	negative
YMR309C	YMR012W	positive
YIL022W	YJL104W	positive
YDR359C	YPR023C	positive
YGR214W	YNL139C	negative
YMR188C	YOR213C	negative
YJR090C	YJL063C	negative
YBR221C	YDR324C	negative
YLR203C	YPL143W	negative
YLR208W	YPR041W	negative
YBR060C	YKR014C	negative
YBL025W	YDR202C	negative
YDR341C	YKL067W	positive
YIL061C	YLR275W	positive
YOR321W	YNL126W	negative
YIL071C	YBR229C	negative
YOR039W	YBR126C	negative
YMR304W	YNL308C	negative
YOL097C	YLR015W	negative
YPL007C	YIR003W	negative
YOR349W	YFR028C	negative
YHR156C	YAR002C-A	negative
YJL058C	YNL290W	negative
YFL041W	YJL069C	negative
YGR113W	YKL052C	positive
YGR020C	YPR178W	negative
YDR225W	YDR265W	negative
YCR057C	YJL109C	positive
YDR472W	YNL230C	negative
YDR071C	YBL056W	positive
YPR187W	YKL085W	negative
YLR154C	YEL002C	negative
YLR421C	YFR010W	positive
YKL022C	YGR285C	negative
YOL077W-A	YPR034W	negative
YJL088W	YPL180W	negative
YBL093C	YJL066C	negative
YJR052W	YDL082W	negative
YFL008W	YLR370C	negative
YCR063W	YJL012C	negative
YOR261C	YML062C	negative
YPL118W	YMR188C	positive
YKL141W	YPL084W	negative
YDR427W	YGR170W	negative
YML100W	YJL025W	negative
YDL134C	YPL152W	positive
YNR052C	YPR036W	negative
YOL062C	YGR233C	negative
YCR081W	YPL206C	negative
YDL203C	YHR039C-A	negative
YPL164C	YNR037C	negative
YPL164C	YLR148W	negative
YMR112C	YLR382C	negative
YPL111W	YDR425W	negative
YFL041W	YNL175C	negative
YMR168C	YGL022W	negative
YGR245C	YER086W	negative
YBR111W-A	YDL090C	negative
YNL031C	YDR212W	negative
YGR175C	YHL025W	negative
YKL022C	YLR127C	positive
YCL024W	YGR178C	negative
YPL057C	YOL148C	negative
YPR049C	YLR291C	negative
YER022W	YBR127C	negative
YLR154C	YNL214W	negative
YMR297W	YNL070W	negative
YDR422C	YOR224C	negative
YBR265W	YDR365C	negative
YNL082W	YMR167W	positive
YMR093W	YPL004C	negative
YDR265W	YDL160C	negative
YDR166C	YOR346W	negative
YOR158W	YLR170C	negative
