Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
PRB2	cP7, PRPPRB1, Ps	ENSG00000121335	Proline-rich protein BstNI subfamily 2	12	11544476-11653975	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6194	salivary gland: 6001.9	bone marrow: 1.0
PRB1	PM, PMF, PMS, PRB1L, PRB1M	ENSG00000251655	Proline-rich protein BstNI subfamily 1	12	11504757-11548500	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level							Tissue enriched	4692	salivary gland: 6067.6	bone marrow: 1.3
PRB4		ENSG00000230657	Proline-rich protein BstNI subfamily 4	12	11460017-11463369	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level							Tissue enriched	4659	salivary gland: 2124.9	testis: 0.5
PRB3	PRG	ENSG00000197870	Proline-rich protein BstNI subfamily 3	12	11418857-11422739	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	4646	salivary gland: 10066.4	bone marrow: 2.2
LELP1		ENSG00000203784	Late cornified envelope-like proline-rich 1	1	153175919-153177596		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046932	Uncertain			Tissue enriched	3340	testis: 334.0	small intestine: 0.1
TUBA3C	bA408E5.3, TUBA2	ENSG00000198033	Tubulin, alpha 3c	13	19747910-19755992		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA039247, HPA043684, HPA063394	Uncertain			Tissue enriched	2760	testis: 298.3	spleen: 0.1
PRM2	CT94.2	ENSG00000122304	Protamine 2	16	11369496-11370337	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB032738, HPA056386	Supportive			Tissue enriched	2579	testis: 2441.8	small intestine: 0.9
BPIFA2	bA49G10.1, C20orf70, PSP, SPLUNC2	ENSG00000131050	BPI fold containing family A, member 2	20	31749574-31769218	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044006	Supportive			Tissue enriched	2515	salivary gland: 3099.9	pancreas: 1.2
HMGB4	FLJ40388	ENSG00000176256	High mobility group box 4	1	34326076-34330392	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035699	Supportive			Tissue enriched	2481	testis: 308.0	lymph node: 0.1
F2		ENSG00000180210	Coagulation factor II (thrombin)	11	46740730-46761056	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016780, CAB018650, HPA051476, HPA054698	Supportive			Tissue enriched	2213	liver: 552.9	testis: 0.2
SPP2	SPP24	ENSG00000072080	Secreted phosphoprotein 2, 24kDa	2	234959323-234985778	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	2101	liver: 211.9	smooth muscle: 0.1
NPPB		ENSG00000120937	Natriuretic peptide B	1	11917521-11918988	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA054960		Uncertain	Nucleus, Nucleoli	Tissue enriched	2076	heart muscle: 2343.4	testis: 1.1
CFHR2	CFHL2, FHR2, HFL3	ENSG00000080910	Complement factor H-related 2	1	196788898-196928356	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038915, HPA040726	Supportive	Uncertain		Tissue enriched	2005	liver: 581.7	tonsil: 0.3
BOD1L2	BOD1P, FAM44C, MGC33608	ENSG00000228075	Biorientation of chromosomes in cell division 1-like 2	18	54814293-54817531		Evidence at transcript level	Evidence at transcript level	No evidence		HPA036293	Uncertain			Tissue enriched	1873	testis: 187.3	adipose tissue: 0.0
PRH2	Pr	ENSG00000134551	Proline-rich protein HaeIII subfamily 2	12	11081835-11084940	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	1790	salivary gland: 50480.3	pancreas: 28.2
F9	FIX	ENSG00000101981	Coagulation factor IX	X	138612917-138645617	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	1756	liver: 298.8	lymph node: 0.2
PGA5		ENSG00000256713	Pepsinogen 5, group I (pepsinogen A)	11	61008514-61018920	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA046875	Uncertain			Tissue enriched	1704	stomach: 7465.9	kidney: 4.4
PGA3		ENSG00000229859	Pepsinogen 3, group I (pepsinogen A)	11	60970779-60980570	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB026358, HPA046875	Supportive			Tissue enriched	1669	stomach: 18178.2	kidney: 10.9
PRM1	CT94.1	ENSG00000175646	Protamine 1	16	11374693-11375207		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA055150	Uncertain			Tissue enriched	1528	testis: 2164.6	small intestine: 1.4
PGK2	PGK-2, PGKPS	ENSG00000170950	Phosphoglycerate kinase 2	6	49753366-49755053	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045385	Uncertain			Tissue enriched	1487	testis: 148.7	small intestine: 0.1
CA6		ENSG00000131686	Carbonic anhydrase VI	1	9005926-9035151	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028550, HPA028692	Supportive	Uncertain	Nucleus but not nucleoli	Tissue enriched	1486	salivary gland: 3825.7	pancreas: 2.6
AKAP4	AKAP82, CT99, Fsc1, hAKAP82, HI, p82	ENSG00000147081	A kinase (PRKA) anchor protein 4	X	49955406-49965664	Cytoskeleton related proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005949, HPA020046	Supportive	Uncertain	Nucleus, Cytoplasm	Tissue enriched	1439	testis: 143.9	adipose tissue: 0.0
MBL2	COLEC1, MBL	ENSG00000165471	Mannose-binding lectin (protein C) 2, soluble	10	54525140-54531460	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002027, CAB016782	Supportive			Tissue enriched	1438	liver: 143.8	tonsil: 0.1
PGA4		ENSG00000229183	Pepsinogen 4, group I (pepsinogen A)	11	60989688-61018929	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA046875	Uncertain			Tissue enriched	1405	stomach: 17859.8	kidney: 12.7
TNP1		ENSG00000118245	Transition protein 1 (during histone to protamine replacement)	2	217724181-217724787		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA044387	Supportive			Tissue enriched	1393	testis: 1368.7	duodenum: 1.0
SHCBP1L	C1orf14	ENSG00000157060	SHC SH2-domain binding protein 1-like	1	182869000-182922660	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036124, HPA036125, HPA064821	Supportive			Tissue enriched	1321	testis: 132.1	adipose tissue: 0.1
SPATA8	MGC44294	ENSG00000185594	Spermatogenesis associated 8	15	97326619-97328845	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	1319	testis: 248.1	placenta: 0.2
SFTPA1	COLEC4, SFTP1, SP-A, SP-A1	ENSG00000122852	Surfactant protein A1	10	81370695-81375196	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB016793, HPA042638, HPA045752, HPA049368	Supportive			Tissue enriched	1308	lung: 5366.0	spleen: 4.1
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	Alpha-2-HS-glycoprotein	3	186330712-186339107	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001524, HPA001525, CAB026209	Supportive			Tissue enriched	1304	liver: 1828.9	tonsil: 1.4
TPD52L3	NYD-SP25	ENSG00000170777	Tumor protein D52-like 3	9	6328349-6331900		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA023435	Uncertain			Tissue enriched	1211	testis: 121.1	duodenum: 0.1
AC007557.1		ENSG00000223874	HCG1816075; Uncharacterized protein 	2	217735495-217736362		Evidence at transcript level	Evidence at transcript level			HPA056677	Uncertain			Tissue enriched	1149	testis: 152.5	cerebral cortex: 0.1
UBQLN3	TUP-1	ENSG00000175520	Ubiquilin 3	11	5528530-5531215	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020547, HPA062018	Supportive			Tissue enriched	1127	testis: 112.7	adipose tissue: 0.0
CETN1	CEN1, CETN	ENSG00000177143	Centrin, EF-hand protein, 1	18	580367-581524	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA028956, CAB037244	Uncertain			Tissue enriched	1108	testis: 110.8	adipose tissue: 0.0
HTN3	HIS2	ENSG00000205649	Histatin 3	4	70894130-70902255	Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	1102	salivary gland: 46389.4	pancreas: 42.1
CYP11B1	CPN1, CYP11B, FHI, P450C11	ENSG00000160882	Cytochrome P450, family 11, subfamily B, polypeptide 1	8	143953772-143961262	Disease related genes, Enzymes, FDA approved drug targets, Mitochondrial proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA049171	Supportive			Tissue enriched	1075	adrenal gland: 1653.5	testis: 1.5
HTN1	HIS1	ENSG00000126550	Histatin 1	4	70916119-70924562	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	1061	salivary gland: 26779.3	pancreas: 25.2
ACTL7A		ENSG00000187003	Actin-like 7A	9	111624603-111626035	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021624, HPA024544	Supportive	Supportive	Nucleus	Tissue enriched	1039	testis: 103.9	adipose tissue: 0.0
ADAD1	Tenr	ENSG00000164113	Adenosine deaminase domain containing 1 (testis-specific)	4	123300121-123350957	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA044080	Uncertain			Tissue enriched	1010	testis: 101.0	lymph node: 0.1
APOC4		ENSG00000267467	Apolipoprotein C-IV	19	45445495-45452820	Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA062671	Supportive			Tissue enriched	978	liver: 262.8	gallbladder: 0.3
