PROTID	DESC	COMPLEXID
O60613	cpx:441	METAZ:441
Q16698	cpx:514	METAZ:514
Q01581	cpx:121	METAZ:121
P31937	cpx:367	METAZ:367
Q6NVY1	cpx:106	METAZ:106
Q6NVY1	cpx:104	METAZ:104
P35914	cpx:151	METAZ:151
Q06136	cpx:15	METAZ:15
Q06136	cpx:7	METAZ:7
Q06136	cpx:23	METAZ:23
Q06136	cpx:55	METAZ:55
P55809	cpx:212	METAZ:212
P55809	cpx:326	METAZ:326
P55809	cpx:358	METAZ:358
P55809	cpx:316	METAZ:316
Q9H2W6	cpx:47	METAZ:47
P80404	cpx:60	METAZ:60
P80404	cpx:230	METAZ:230
P31939	cpx:483	METAZ:483
P31939	cpx:816	METAZ:816
P31939	cpx:201	METAZ:201
O95336	cpx:548	METAZ:548
Q03393	cpx:459	METAZ:459
Q9P1F3	cpx:475	METAZ:475
P84077	cpx:110	METAZ:110
P84077	cpx:72	METAZ:72
P84077	cpx:779	METAZ:779
P18085	cpx:2	METAZ:2
P18085	cpx:204	METAZ:204
P18085	cpx:72	METAZ:72
P18085	cpx:256	METAZ:256
P18085	cpx:110	METAZ:110
P84085	cpx:31	METAZ:31
P84085	cpx:72	METAZ:72
P84085	cpx:110	METAZ:110
Q9NP61	cpx:408	METAZ:408
Q9NVJ2	cpx:291	METAZ:291
Q9NVJ2	cpx:219	METAZ:219
Q9NVJ2	cpx:96	METAZ:96
Q9NVJ2	cpx:158	METAZ:158
Q9NX46	cpx:130	METAZ:130
Q9NX46	cpx:100	METAZ:100
Q9UHB7	cpx:586	METAZ:586
O95433	cpx:31	METAZ:31
O95433	cpx:206	METAZ:206
O95433	cpx:241	METAZ:241
O95433	cpx:22	METAZ:22
Q09666	cpx:979	METAZ:979
Q09666	cpx:905	METAZ:905
Q09666	cpx:876	METAZ:876
Q09666	cpx:373	METAZ:373
P61163	cpx:39	METAZ:39
P42025	cpx:39	METAZ:39
P61158	cpx:38	METAZ:38
Q9H9F9	cpx:183	METAZ:183
Q9GZN1	cpx:62	METAZ:62
Q9H981	cpx:183	METAZ:183
Q8WYP5	cpx:416	METAZ:416
O14497	cpx:6	METAZ:6
Q68CP9	cpx:426	METAZ:426
P29374	cpx:372	METAZ:372
Q4LE39	cpx:585	METAZ:585
Q4LE39	cpx:643	METAZ:643
Q9H1Y0	cpx:556	METAZ:556
P48047	cpx:18	METAZ:18
P25705	cpx:18	METAZ:18
P25705	cpx:975	METAZ:975
P06576	cpx:956	METAZ:956
P06576	cpx:18	METAZ:18
P30049	cpx:389	METAZ:389
P30049	cpx:18	METAZ:18
P56381	cpx:18	METAZ:18
P36542	cpx:7	METAZ:7
P36542	cpx:18	METAZ:18
P24539	cpx:103	METAZ:103
P24539	cpx:18	METAZ:18
P56385	cpx:18	METAZ:18
O75964	cpx:18	METAZ:18
O75947	cpx:18	METAZ:18
O15438	cpx:105	METAZ:105
O15438	cpx:400	METAZ:400
O15438	cpx:23	METAZ:23
Q9NVI7	cpx:99	METAZ:99
Q9NVI7	cpx:20	METAZ:20
P23634	cpx:400	METAZ:400
O75348	cpx:802	METAZ:802
P36543	cpx:123	METAZ:123
Q9UI12	cpx:123	METAZ:123
P21281	cpx:123	METAZ:123
P38606	cpx:123	METAZ:123
P38606	cpx:824	METAZ:824
P38606	cpx:55	METAZ:55
P05023	cpx:7	METAZ:7
P05023	cpx:9	METAZ:9
P05023	cpx:8	METAZ:8
P05023	cpx:103	METAZ:103
P50993	cpx:84	METAZ:84
P05026	cpx:353	METAZ:353
P05026	cpx:203	METAZ:203
P05026	cpx:103	METAZ:103
P05026	cpx:143	METAZ:143
P14415	cpx:103	METAZ:103
P54709	cpx:103	METAZ:103
P54709	cpx:91	METAZ:91
Q9UN42	cpx:91	METAZ:91
O75110	cpx:105	METAZ:105
O75110	cpx:400	METAZ:400
Q9BQE9	cpx:6	METAZ:6
P51572	cpx:30	METAZ:30
P51572	cpx:10	METAZ:10
Q9Y276	cpx:487	METAZ:487
Q9NWV8	cpx:537	METAZ:537
Q8TDN6	cpx:4	METAZ:4
P41223	cpx:120	METAZ:120
Q06187	cpx:600	METAZ:600
Q13363	cpx:531	METAZ:531
Q01518	cpx:564	METAZ:564
A5YKK6	cpx:198	METAZ:198
O75175	cpx:198	METAZ:198
Q9UIV1	cpx:198	METAZ:198
O95400	cpx:25	METAZ:25
O15446	cpx:601	METAZ:601
P61024	cpx:88	METAZ:88
P33552	cpx:88	METAZ:88
Q99459	cpx:120	METAZ:120
Q99459	cpx:305	METAZ:305
Q9NZ45	cpx:10	METAZ:10
Q9UFW8	cpx:549	METAZ:549
O75575	cpx:36	METAZ:36
Q9Y6G5	cpx:71	METAZ:71
Q86X83	cpx:71	METAZ:71
Q9UBI1	cpx:71	METAZ:71
Q9H0A8	cpx:261	METAZ:261
