CBRGID	CELEID
A8X0N6	Q23551
A8X1Y2	H2L076
A8XPX1	Q7Z003
A8X620	Q18846
A8XMQ7	Q9XWV6
A8XWI7	Q9XWF6
A8Y256	Q9U3S3
A8XN11	O45403
A8XN11	Q9XU52
A8XN11	O18071
A8WNP8	G5ED30
A8X0Y6	O45723
A8WL39	Q22289
A8WNG2	Q21525
A8XEU2	O16622
A8WTQ6	Q95QK4
A8WU50	Q23424
A8Y1J3	H2KZF9
A8XDE7	Q20660
A8XUW3	O61977
A8X3W4	Q8WT45
A8XJF5	Q20220
A8XV24	Q19666
A8XHG3	Q95PJ8
A8XU84	Q9XXB4
A8X1A3	O44185
A8WNF3	Q19708
A8XL03	P91341
A8WXF9	Q21871
A8WV91	Q7YXH0
A8WS45	Q95XK2
A8XZ07	O16732
A8X9Y9	Q86DA7
A8X0T3	Q9XTV4
B6IIN4	O44984
A8XJB8	Q9N5S5
A8XUR5	Q94297
A8WNE4	Q19460
H8WH04	Q19460
A8XY70	Q19833
A8XGR6	G5EGN7
A8X3N7	O76629
A8WQM4	Q22969
A8WMS1	Q8IAA2
A8XGR4	Q17698
A8X949	Q22361
A8Y0V9	O76405
A8XSP3	Q19805
B6IFX3	Q17839
A8XPN8	Q9GYP5
A8XER0	P91175
A8XYL8	Q9U289
A8Y2F4	Q9N4C6
Q60QM8	Q9XWC3
A8WT26	O62215
A8XJT1	A5HU92
A8WY56	Q20525
A8XCY5	P90821
A8XF41	P34665
A8WQT5	Q95PZ1
A8WPV8	Q9N5N5
A8WT48	Q09934
A8XDF9	Q20665
G2J6D2	G5ECA2
A8XXB7	P49391
A8XXW2	Q19724
A8XW94	Q94126
A8XS91	Q9XVI9
A8WZI2	Q21712
A8WZI2	Q21713
A8WZP2	A8WFN1
A8X1D3	G4SGI5
A8X6N3	H2KZS1
B6IIK4	H2KYM6
A8WWE8	O61861
A8X436	Q18711
A8Y0I8	H2L0M1
A8WWC0	Q9N3F1
A8XDK5	Q22054
A8WVV9	Q9XX61
A8X8Z4	Q9XUP4
A8Y176	Q21516
A8XHI3	Q9XTZ3
A8WLM8	O17023
A8WLM8	O16955
A8WLM8	Q7Z2B1
A8X2H4	O17023
A8X2H4	O16955
A8X2H4	Q7Z2B1
E3CU65	O17023
E3CU65	O16955
E3CU65	Q7Z2B1
A8XPS1	Q95QC9
A8WTH8	G5EFT3
A8WTH8	Q20408
A8WTH8	Q9XVY3
A8Y0V5	O16939
A8Y0V5	O76408
A8Y0V5	O16940
A8WX92	Q19552
A8WX92	Q19550
A8Y2P0	O18172
A8Y2P0	G5ECS2
A8WYB7	O17726
A8X3C3	P34438
A8WUA3	Q18958
A8XJD7	O01933
