UniProt Acc	Sequence Name (Gene)
Q9N597	Y110A7A.10
Q19834	F27C8.1
Q19151	F07C3.7
O17395	F52H2.2
Q7YXH5	T13A10.10
Q5TKB4	C55C2.5
Q5TKB5	C55C2.5
Q5TKB3	C55C2.5
Q22397	T11F9.4
B2D6M4	T11F9.4
O44832	F54D12.3
Q94197	F28F9.4
Q9NA91	Y53H1C.1
Q56VY0	Y53H1C.1
Q9NL72	C50F2.9
Q9NL71	C50F2.10
O45563	F54B8.5
Q9XX40	Y38H6C.22
Q22690	T22H6.5
Q8T3C5	T22H6.7
P03949	M79.1
P03949	M79.1
P03949	M79.1
Q21213	C24F3.5
Q1RS86	F12B6.1
Q9TXV8	Y39D8C.1
Q9XW49	Y53C10A.9
Q17400	AC3.3
Q19594	F19G12.7
Q19919	F31A3.1
Q86S74	Y5H2A.3
Q9NF70	Y105C5A.4
O16501	C03A7.7
O16502	C03A7.8
O16511	C03A7.14
Q27383	R09F10.2
Q20002	F35A5.3
P91419	T01D1.6
P38433	W09B12.1
O61371	Y44E3A.2
Q9U295	Y48B6A.8
O61372	Y48B6A.7
Q18581	C42D8.5
Q18581	C42D8.5
Q23500	ZK455.1
P34455	F54H12.1
P34455	F54H12.1
P34455	F54H12.1
P48182	K11G12.2
Q93149	K11G12.7
P54246	K03F8.2
Q9N4M3	ZK973.5
P45963	T09A5.3
Q23355	ZC504.2
Q18556	C40C9.2
Q21645	R02E12.8
P91197	D2092.3
Q9GQU9	R01E6.4
Q22224	T05C12.2
O16926	F25G6.4
P48180	F25G6.3
P48180	F25G6.3
P91320	F53E10.2
Q6F6K3	F53E10.2
O17848	F28F8.1
O62083	C31H5.3
B3WFZ2	C31H5.3
Q9U398	R06A4.10
Q7JKI4	R06A4.10
B1Q281	R06A4.10
Q9N5U8	F27B3.2
Q9GP98	F48E3.7
O61884	F59B1.9
P10983	T04C12.6
P10984	T04C12.5
P10983	T04C12.4
P10986	M03F4.2
Q95ZL1	M03F4.2
Q6A8K1	M03F4.2
O45815	T25C8.2
Q19523	F17C8.1
O16880	C10F3.3
Q18628	C44F1.5
Q966F9	T01C2.1
Q9U9K0	F39C12.2
Q9U9K0	F39C12.2
Q9U9K0	F39C12.2
Q9U9K0	F39C12.2
Q7YZV8	F39C12.2
Q20952	F57F5.4
Q1ZXU2	F57F5.4
O17569	C04A11.4
Q94316	ZK154.7
Q9U3D6	H15N14.1
Q86GC3	H15N14.1
Q86GC2	H15N14.1
Q8I8G8	H15N14.1
Q8I8G7	H15N14.1
Q22618	T20H4.4
O45218	Y50D7A.7
Q8MYA8	C02B4.1
Q19204	F08C6.1
Q7Z292	F08C6.1
Q7Z291	F08C6.1
Q8T7R8	D2030.10
Q8MM73	D2030.10
Q19999	T14B1.2
O02626	C02H7.3
O02626	C02H7.3
P91863	F32A7.6
Q9NA29	Y87G2A.4
Q94125	B0334.8
Q19955	F32A6.4
Q95QH3	F32A6.4
Q7Z295	F32A6.4
Q9U1Y0	Y62E10A.5
Q2HQK2	Y62E10A.5
Q19263	F09E5.13
O02219	C25A1.11
O44711	C25A1.11
O44712	C41G7.5
O44712	C41G7.5
Q9XUW8	F58E10.4
Q21271	K07C11.2
O01427	B0207.4
Q18138	C25A11.4
Q18137	C25A11.4
Q95ZY7	C25A11.4
Q8MQC7	C25A11.4
Q18930	D1022.7
Q8MQ93	D1022.7
Q8MQ92	D1022.7
Q17941	C12D8.10
Q17941	C12D8.10
Q17941	C12D8.10
Q9XTG7	F28H6.1
Q9XTG7	F28H6.1
Q20578	F48F7.1
B6VQ75	F48F7.1
O16720	T07D3.7
Q86B39	T07D3.7
Q20780	F54D8.3
Q8IG19	F54D8.3
Q9TXM0	K04F1.15
Q19428	F36H1.6
O16518	T05H4.13
Q8MXJ7	T05H4.13
Q86S57	T05H4.13
O44555	T08B1.3
O16648	F56D12.1
Q86N72	F56D12.1
Q6A593	F56D12.1
O02266	F45H10.1
P52713	F13D12.4
Q7JMI1	F13D12.4
P46562	F01F1.6
Q18822	C54D1.4
Q20352	F42G9.5
Q8MNS6	F42G9.5
Q7Z1Q3	Y69F12A.2
Q7Z1Q2	Y69F12A.2
Q17561	C01F6.5
O62183	F23B2.6
Q21559	M18.7
P16356	F36A4.7
P54145	C05E11.4
Q20605	F49E11.3
Q21565	M195.3
Q17663	C05E11.5
Q21988	R13G10.2
Q9XXU5	B0019.1
F25C8.2a	F25C8.2
F25C8.2b	F25C8.2
Q9N4M4	ZK973.6
Q17820	C08B6.9
P34514	K06H7.6
Q19487	F15H10.3
Q20052	F35G12.9
Q9XVN3	F46F3.4
F46F3.4b	F46F3.4
F46F3.4c	F46F3.4
F46F3.4d	F46F3.4
O45876	VF36H2L.1
A5Z2T7	ZC434.6
Q23316	ZC434.6
Q10651	C42D8.8
Q10651	C42D8.8
O01755	F55A12.7
Q10002	T05H10.2
O44750	W03G9.4
Q21227	K04G2.8
Q21227	K04G2.8
Q19123	F02E8.3
Q8WQB3	Y105E8A.9
O16369	F29G9.3
Q9N4F3	Y71H2B.10
Q7YZG9	Y71H2B.10
Q7YZG8	Y71H2B.10
Q22601	T20B5.1
O16637	W09G10.4
Q95X88	W09G10.4
O45718	R11A5.1
O62348	R11A5.1
Q20736	F53H8.1
Q8T874	Y48G8AL.14
Q23165	W04G3.4
P41990	K08D9.3
Q19949	F32A5.5
Q8IG23	F32A5.5
Q17571	C01G6.1
Q7JMQ6	C01G6.1
Q9XW36	Y69E1A.7
Q20243	F40F9.9
Q18469	C35A5.1
Q18352	C32C4.2
D5MCS1	C32C4.2
Q21473	M02F4.8
Q7Z138	K02G10.7
Q7Z137	K02G10.7
Q7JL16	K07A1.16
Q09369	ZK1321.3
O46024	ZK525.2
Q09654	ZK1320.6
Q19102	F01G4.2
Q10943	B0336.2
O45099	F57H12.1
Q9U2S4	Y116A8C.12
Q7JNV7	F31A9.3
Q7JNV6	F31A9.3
O45232	C01C7.1
C6KRP0	C01C7.1
Q20758	F54C9.10
O45379	F19H8.3
P34212	ZK632.8
Q94231	F45E4.1
O18237	Y57G11C.13
Q18510	C38D4.8
P51485	F53H8.2
Q23122	W02B12.6
O01541	F28H1.3
Q9N5Y2	C15F1.6
Q9N4I0	Y71F9AL.16
P53489	K07C5.1
Q9U1R7	Y79H2A.6
Q9N4P9	Y6D11A.1
Q9XWV3	Y37D8A.1
P58798	C35D10.16
O61861	M01B12.3
Q20053	F35G12.10
Q19126	F02E8.1
Q9NAA3	Y53F4B.15
P90921	K07A12.3
Q18803	C53B7.4
Q10916	B0252.2
Q23498	ZK455.4
Q9UAY4	W03G1.7
A7WK49	W03G1.7
Q9TVS4	Y39B6A.20
Q86NE1	T18H9.2
Q86NE0	T18H9.2
P55956	H22K11.1
Q21966	R12H7.2
O01532	F21F8.3
O01530	F21F8.7
Q21361	K08F8.2
Q22156	T04C10.4
Q20435	F45E6.2
Q9U3R1	C07G2.2
Q17801	C07G2.2
Q86MD3	C07G2.2
B3GWA6	C07G2.2
Q9XVU3	F26D10.9
A5Z2U2	F26D10.9
O45298	C38C6.2
Q22258	T06E4.3
Q22258	T06E4.3
Q9N3Q4	Y48G1BL.2
Q23158	W04D2.1
Q9XVU8	W04D2.1
P46561	C34E10.6
P91283	F27C1.7
Q7JNG1	F27C1.7
Q18987	D2045.1
Q5FC83	D2045.1
B2D6K7	D2045.1
D4PH96	D2045.1
Q95Q96	B0207.12
Q95Q97	B0207.12
Q8IFY7	B0207.12
Q9TW41	R11G10.1
Q95PJ6	R11G10.1
D7SFP2	R11G10.1
Q03565	B0464.7
O44739	F57B10.11
Q86S63	Y71F9AR.1
Q18825	C54D1.6
Q5F4U2	C05D2.4
O45137	C05D2.4
P90925	K08F8.4
Q9NEZ7	Y105E8A.5
Q19640	F20D12.3
Q23049	T25F10.5
Q22460	T13C5.5
Q21593	M7.3
Q22592	T19E7.3
Q18817	C54C6.2
Q22837	T27F2.3
Q18727	C50B8.2
Q09457	C09G5.6
O01904	F59E12.12
O61213	F56C11.1
P51559	K04F10.4
