IDA	IDB	Label
YER008C	YNL038W	negative
YER025W	YOR361C	positive
YLR272C	YGR009C	negative
YKL135C	YDL087C	negative
YLR117C	YPR101W	positive
YBR175W	YPL234C	negative
YDR166C	YOL123W	negative
YJR140C	YHL019C	negative
YJR010C-A	YGL201C	negative
YFL008W	YNL047C	negative
YGR216C	YDR240C	negative
YOR341W	YLR459W	negative
YNL167C	YGL005C	negative
YER008C	YLR066W	negative
YEL053C	Q0275	negative
YDR425W	YER172C	negative
YJL203W	YBR102C	negative
YLR007W	YEL055C	negative
YER012W	YBL045C	negative
YIL143C	YLR066W	negative
YKL139W	Q0250	negative
YHR051W	YDR212W	negative
YEL055C	YPR107C	negative
YIL022W	YJL104W	positive
YBL003C	YOL077W-A	negative
YAL016W	YAL016W	positive
YAL041W	YDL008W	negative
YMR091C	YGR264C	negative
YAL003W	YNL097C	negative
YGL100W	YJR042W	positive
YOR211C	YJR022W	negative
YMR223W	YJL099W	negative
YLR292C	YPR034W	negative
YDL181W	YNL253W	negative
YLR292C	YIR009W	negative
YEL024W	YPR175W	negative
YPR110C	YNR035C	negative
YGR113W	YKL052C	positive
YDR167W	YER148W	positive
YMR028W	YLR015W	negative
YBR127C	YPL018W	negative
YBR175W	YML019W	negative
YER038C	YLR383W	positive
YPL065W	YDR207C	negative
YPL065W	YLR119W	positive
YML043C	YMR237W	negative
YMR201C	YFL018C	negative
YDL134C	YPL152W	positive
YLR197W	YJL058C	negative
YBL075C	YDR207C	negative
YAL002W	YMR190C	negative
YKR068C	YHR005C	negative
YPR105C	YKR026C	negative
YER094C	YJL104W	negative
YDR356W	YBR179C	negative
YGL249W	YBR109C	negative
YLR440C	YPL038W	negative
YDL181W	YNL032W	negative
YKL022C	YLR127C	positive
YDR246W	YMR240C	negative
YJR066W	YJR066W	positive
YDR145W	YER019C-A	negative
YBL035C	YBL035C	positive
YLR234W	YKR054C	negative
YJL030W	YER083C	negative
YLR212C	YER083C	negative
YDR166C	YOR346W	negative
YGR252W	YIL062C	negative
YDR429C	YEL027W	negative
YDR378C	YER146W	positive
YIL126W	YHR056C	positive
YMR213W	YJL012C	negative
YDR118W	YBL084C	positive
YMR091C	YER093C	negative
YJL099W	YBR109C	negative
YDR288W	YOL034W	positive
YFL004W	YPL124W	negative
YJL012C	YER072W	positive
YMR127C	YBR283C	negative
YJR068W	YJL053W	negative
YPR080W	YPL175W	negative
YDR190C	YGR002C	positive
YJR005W	YOR358W	negative
YLR457C	YDR460W	negative
YOR179C	YJL183W	negative
