ORTHID	SGDID
SPAC1782.04	YLR204W
SPAC806.02c	YIL003W
SPAC22A12.08c	YKR070W
SPBC16A3.11	YDR419W
SPCC1450.15	YDR302W
SPAC6F12.05c	YJR142W
SPBP4H10.15	YJL200C
SPAC22E12.10c	YER141W
SPAC19B12.13	YPL132W
SPAC1420.04c	YPL132W
SPBC530.12c	YGR036C
SPAC15E1.04	YOR074C
SPCC1223.08c	YOR280C
SPCC1223.08c	YMR222C
SPCC1223.08c	YHR049W
SPBC29A3.02c	YCL030C
SPBC1711.13	YCL030C
SPAC3C7.15c	YKL162C
SPBC1703.02	YML127W
SPBC947.07	YKL082C
SPAPB1A11.03	YML054C
SPAC8C9.10c	YKL082C
SPAC12G12.17	YJL205C
SPAC1486.11	YIL098C
SPAC15A10.17	YPL189C-A
SPAC167.09	YNL158W
SPAC1952.04c	YBL029C-A
SPAC1B3.21	YJL062W-A
SPAC1F7.14c	YDL157C
SPAC22F3.15	YOR215C
SPAC23H4.21	YLR407W
SPAC25H1.10c	YOL077W-A
SPAC3F10.19	YLR437C
SPAC4D7.14	YGL108C
SPAC4F10.22	YMR194C-B
SPAC6B12.19	YLR221C
SPBC1604.25	YER058W
SPBC1711.18	YBR122C
SPBC21B10.14	YFR049W
SPBC24C6.13	YMR244C-A
SPBC25H2.18	YDR231C
SPBC2F12.17	YMR256C
SPBC30D10.21	YDR493W
SPBC4.07c	YDL007W
SPBC409.23	YLR099W-A
SPBC530.16	YNL024C-A
SPBC887.22	YJR010C-A
SPBC8D2.23	YNL122C
SPBC8E4.12c	YGR146C
SPCC162.05	YOL096C
SPCC162.06c	YDR486C
SPCC162.07	YDL161W
SPCC162.07	YLL038C
SPCC162.07	YLR206W
SPCC162.08c	YIL149C
SPCC162.08c	YKR095W
SPCC162.09c	YLR450W
SPCC162.09c	YML075C
SPCC162.11c	YNR012W
SPCC162.12	YPL180W
SPCC4B3.20	YKL137W
SPMIT.01	Q0045
SPMIT.02	Q0110
SPMIT.02	Q0115
SPMIT.02	Q0120
SPMIT.02	Q0255
SPMIT.03	Q0060
SPMIT.03	Q0065
SPMIT.03	Q0075
SPMIT.04	Q0275
SPMIT.05	Q0105
SPMIT.06	Q0050
SPMIT.06	Q0055
SPMIT.07	Q0085
SPMIT.08	Q0140
SPMIT.09	Q0080
SPMIT.10	Q0130
SPMIT.11	Q0250
