IDA	IDB	Label
T24C4.6	Y55B1AR.1	negative
W09G12.4	K08F8.4	negative
F17A9.3	Y73C8B.4	negative
M106.5	F47B10.1	negative
C07A12.1	F43B10.2	negative
M01E11.7	T10F2.4	negative
Y37D8A.6	T27F2.2	positive
F13E9.3	T22D1.12	negative
Y37A1B.17	C26C6.5	positive
F33G12.5	B0024.14	negative
F42E11.4	Y116A8C.36	negative
C09D1.1	ZK858.4	positive
F52E4.1	Y116A8C.36	negative
F41G4.2	T24F1.1	negative
W02D7.10	C09H6.2	positive
EGAP2.3	F47B10.2	negative
T20G5.1	T10B11.3	negative
F44C8.8	B0457.1	negative
K12C11.2	C50E10.4	positive
H05G16.1	T05G5.8	negative
M57.1	T04C9.1	positive
F37A4.9	C44B7.1	positive
W09G12.4	F25H2.9	negative
F59B2.7	ZK909.4	negative
Y71F9AL.14	T03D8.1	negative
T16H12.5	ZK899.8	negative
F47B10.2	MTCE.25	negative
F22A3.1	R03D7.6	negative
F35A5.8	Y46G5A.10	negative
C26C6.8	F32G8.6	positive
T13F3.3	F47A4.3	negative
C25B8.1	F14F3.1	negative
ZK520.4	T23G5.5	negative
F08F8.3	Y6B3A.1	negative
C34D1.5	M7.1	negative
Y105E8B.4	C01G12.1	negative
F47B10.1	C25F6.2	negative
W09D6.4	T17H7.4	positive
F44A6.2	F52E4.4	negative
Y49E10.14	K08F4.7	negative
F13H6.1	K01G5.2	negative
B0261.4	C01G12.1	negative
C04E12.12	R05F9.1	negative
T20G5.1	Y116A8C.36	positive
F11C7.5	F47A4.3	positive
W07E6.4	F52E4.6	negative
T18H9.2	Y43C5A.6	negative
F55H12.6	C41C4.7	negative
T03D8.1	F58A3.1	negative
Y39B6A.2	Y23H5A.5	negative
F47B10.1	C32D5.9	negative
Y55B1AR.1	K07F5.13	negative
AC3.3	MTCE.26	negative
T19B4.7	ZK909.4	negative
C18E9.6	F13G11.1	negative
R07B7.2	ZK1128.2	positive
F27D9.6	F53B3.1	negative
W07G1.3	F40F12.5	negative
F39H11.5	ZK836.1	negative
ZK1248.3	T04D1.3	positive
C30G12.7	F46A9.6	negative
CD4.4	Y71F9B.3	negative
T04C10.4	W01G7.5	negative
F20H11.5	C02F5.6	positive
F26H11.1	B0024.12	negative
Y46G5A.19	C53A5.1	negative
B0336.10	T24F1.1	negative
K10B2.5	T13F3.3	negative
F27D9.6	R11A5.4	negative
Y75B7AL.4	F42G9.9	negative
Y37A1B.17	C06G1.5	positive
C01F6.4	F47G4.2	negative
F57C9.5	F27D9.8	negative
F59F5.6	C52E12.2	positive
F27D9.6	F47G6.1	negative
C35B1.1	C55B7.4	negative
K01A6.2	ZK673.4	positive
T11B7.4	B0001.1	negative
C26E6.2	F45E1.7	positive
F44C4.4	ZK512.5	negative
ZK484.2	F22B7.5	negative
EGAP2.3	F28H6.1	negative
Y92H12A.1	F42G9.9	negative
Y73F8A.8	K08E7.3	negative
MTCE.3	K04C1.4	negative
C48D5.1	C55B7.4	negative
F14F3.1	T13F2.8	negative
C41C4.7	M03F4.2	negative
F13H6.1	Y48E1B.12	negative
ZK381.5	T26H10.1	negative
Y46G5A.10	ZK836.1	negative
Y110A2AR.2	EGAP2.3	negative
F40H3.4	W01F3.3	negative
F56A8.7	F19F10.10	negative
Y45F10D.13	F52E4.6	negative
C40H1.5	ZK1236.3	negative
Y87G2A.10	F19F10.10	negative
F29G6.3	F32A5.6	positive
C04E12.12	M79.1	negative
C36C9.1	K11D9.2	negative
F27D9.8	K08B4.1	negative
F55B12.3	Y73C8B.4	negative
T26H10.1	H14A12.2	negative
Y54E10A.5	T12D8.8	negative
T20H4.3	C01B7.5	positive
ZK546.1	F22B8.6	negative
ZK836.1	C32D5.9	negative
Y66H1B.2	R13F6.9	negative
F52F12.1	T07A9.5	negative
T10A3.1	F46F3.4	negative
W03F8.1	Y71H2B.10	negative
Y37D8A.10	C50B6.14	negative
C09D1.1	C35B8.2	positive
R04E5.10	F47B10.1	negative
Y39B6A.2	R13F6.1	negative
C34G6.7	D1005.3	negative
F46C8.6	Y56A3A.4	negative
T05C12.6	K08E3.5	positive
Y62E10A.11	C41D11.8	negative
Y43F8C.6	R31.1	positive
C35B8.2	T22A3.2	negative
W02G9.2	H14A12.2	negative
T08G5.5	F17E5.1	positive
F21F8.7	F47G4.2	negative
F42H10.3	Y55B1AL.1	positive
Y61A9LA.9	Y51A2D.11	negative
C27B7.4	T01B11.3	negative
F56A8.7	Y105C5B.13	negative
Y105C5B.13	Y39A3CL.2	negative
AC3.3	K01G5.1	negative
Y47G6A.14	F44D12.4	positive
Y40C5A.1	C35A5.9	negative
Y55F3BR.8	F28B12.3	positive
F32A6.4	C03B8.4	negative
C17C3.4	F25H2.9	negative
T19B10.4	C16C10.5	negative
R10E12.1	F46F3.4	positive
E01F3.1	C18E9.6	negative
ZK792.8	B0024.12	negative
F44C8.4	K07D4.7	negative
W03F11.6	ZK909.4	positive
ZK829.6	ZK1067.7	negative
F41D9.1	Y38C1BA.2	negative
Y38C1AA.2	C44E4.3	negative
F43C1.2	Y57A10A.24	positive
F29G6.3	B0303.7	positive
T10B11.3	Y105E8A.26	negative
C15H11.9	F19F10.10	negative
Y39B6A.2	MTCE.26	negative
T07G12.6	T18H9.2	negative
Y73C8B.4	Y20F4.3	negative
B0336.10	Y54E5A.1	negative
ZK512.5	ZK909.4	negative
Y92H12A.1	F43B10.2	positive
T10A3.1	K10B3.8	negative
F13G3.4	T13H2.5	negative
F22A3.1	F13D12.7	negative
C15H11.9	Y56A3A.12	negative
F19C7.8	Y11D7A.12	positive
H21P03.3	F52B5.5	negative
F55H12.6	C52A11.4	negative
K08D10.8	F30F8.3	negative
C44H4.5	C02F4.1	negative
ZC376.4	F59A6.1	negative
B0336.10	F15D3.1	negative
T03F1.1	Y69A2AR.2	negative
C52D10.7	C35A5.9	negative
C47G2.5	Y46G5A.19	negative
R09G11.2	C44B12.5	negative
M01G5.5	R10E12.1	negative
Y113G7A.6	C35A5.9	negative
H21P03.3	C07A12.1	negative
C30G12.7	F01D4.6	negative
Y37D8A.9	F52F12.1	negative
F22B8.6	R05D3.4	negative
F21F8.7	F15C11.2	negative
F59B1.7	F31E3.1	positive
H19M22.2	T25G12.4	negative
K01C8.5	F25F2.2	negative
K01A6.2	C48D5.1	positive
ZK370.3	B0303.7	positive
F10E9.8	F41D9.1	negative
W02D7.10	R10E12.1	negative
F43D9.4	Y39A3CL.2	negative
B0393.2	ZK512.5	negative
C41D11.8	F59B2.7	negative
K02A4.2	C03D6.6	negative
C12C8.2	W07G1.3	negative
Y41C4A.10	C03A7.4	negative
C34C12.3	H06H21.9	negative
F39C12.2	ZK836.1	negative
C07D10.2	C07A12.1	negative
Y45G5AM.1	C18E9.6	negative
ZK697.2	F35B12.5	negative
T19C3.8	C17C3.4	negative
W06H8.8	W09H1.6	negative
F23A7.4	F47A4.3	positive
F49E8.4	W06H8.1	negative
Y37A1B.17	Y41D4A.5	positive
Y110A7A.10	T05B11.3	negative
F25H2.10	F52E4.4	negative
AC3.3	C25A11.4	negative
C42D8.2	Y39A3CL.2	negative
C01F6.6	C16A3.8	negative
Y73F8A.1	C04F6.4	negative
Y48E1B.1	F31D5.3	negative
F54C1.3	C09G4.5	positive
K02A4.2	C06C3.1	negative
R01H10.3	B0547.1	negative
Y40C5A.1	T23G5.5	negative
ZK616.10	Y47H9C.4	negative
F42G9.9	W05H7.4	negative
F45E6.2	C10F3.6	negative
F56H11.1	M04F3.1	negative
H22K11.1	F11G11.12	negative
Y119C1A.1	C14F5.5	positive
Y113G7B.23	ZK370.3	negative
C40H1.5	F40F12.5	negative
C02F5.6	Y116A8C.36	negative
C01H6.7	Y44E3A.4	positive
C52A11.4	F44G3.9	positive
C15H11.9	C06E1.4	negative
F56A8.7	K07B1.6	negative
F35G2.2	F19B6.2	negative
Y54E5A.1	C55B7.1	negative
Y24F12A.2	C48E7.11	negative
Y39B6A.12	C44B7.1	negative
C39F7.4	Y105E8B.5	negative
F44C8.4	B0393.2	negative
EGAP2.3	F37A4.9	negative
C01F6.6	B0547.1	positive
Y71H2B.10	C35B8.2	negative
C34F11.9	F38H4.9	positive
C43E11.6	K02B12.4	negative
C07D10.2	Y37A1B.15	negative
T10H9.4	T21G5.3	negative
Y55B1BR.2	T04D1.3	positive
Y110A2AR.2	F38H4.9	negative
T13H5.6	C09G1.4	positive
T07G12.6	R07G3.3	negative
T01E8.3	F44D12.1	negative
H06I04.1	C33B4.3	positive
F36A2.1	M7.1	negative
C34E10.8	K08F8.2	negative
Y106G6D.7	R31.1	positive
W08G11.4	C34B7.3	negative
ZK673.7	C52E4.1	negative
F49E2.2	C07G1.5	positive
T27F2.2	H14A12.2	negative
W05H7.4	T13B5.5	negative
F20G4.3	Y73F8A.8	negative
F13B10.1	F43B10.2	negative
T26H10.1	Y48G9A.4	negative
T03D8.1	F55H12.6	negative
W03C9.7	MTCE.25	negative
F28F5.3	K08E3.3	negative
Y92H12A.1	C06G1.5	positive
C34F11.9	K08E3.5	positive
F10G7.4	K08E3.3	negative
R11A8.4	W09G12.4	negative
K10D2.4	F47G6.1	negative
T19B10.4	T28F2.5	negative
F46A9.5	R07B7.3	negative
ZK829.6	F44D12.1	negative
T16H12.5	F52D10.3	negative
F21F8.7	T07C4.1	negative
F29B9.6	T13B5.5	negative
Y57G11C.24	C04E12.12	negative
W09G12.4	C30B5.1	negative
F14F11.1	F47G6.1	negative
F13D12.4	Y113G7B.23	negative
Y73F8A.1	Y61A9LA.9	negative
K04H4.1	F14F3.1	positive
Y73F8A.1	Y47D3A.6	negative
F59B2.7	F13G11.1	negative
C34F11.9	K02B12.4	positive
F13H6.1	F14F11.1	negative
F14F11.1	C47G2.5	negative
F55H12.6	Y79H2A.11	negative
Y53H1A.1	K10D2.3	negative
H05G16.1	C41D11.8	negative
C09D1.1	ZC395.8	positive
F57B10.1	Y39B6A.2	negative
F58B6.2	F52E4.4	negative
ZK353.8	F54C8.5	negative
T16A9.5	F54E7.3	positive
F13H6.1	ZK1067.1	negative
F28B12.2	Y41D4B.19	negative
M05D6.7	Y51A2D.15	negative
F43G9.11	T01G1.3	negative
C32E8.10	T04D1.3	positive
W09G12.4	C44B12.5	negative
T04C9.1	T20G5.11	positive
ZK675.2	H06H21.9	negative
F09E10.3	C27A2.6	negative
T13F3.3	K04G2.6	negative
C49F5.2	C53A5.3	negative
ZK377.1	F01G10.8	negative
Y87G2A.4	K08F11.3	negative
C17C3.4	F54E7.7	negative
C36C9.1	H14A12.2	negative
ZK849.2	Y51H1A.4	positive
F55H12.6	K10D2.4	negative
T07D10.2	F42G9.9	negative
T01D1.6	F43B10.2	negative
F58B6.2	F32H2.3	negative
F59A6.1	Y92C3B.1	negative
C04C3.3	C56C10.1	negative
F13G3.4	F59B2.7	negative
Y61A9LA.9	H06H21.9	negative
C02C6.1	Y116A8C.36	positive
F35A5.8	F40H3.4	negative
Y87G2A.4	T13F3.3	negative
Y82E9BR.15	K08E3.4	negative
F26H11.2	F35G2.2	negative
T04C12.5	K01A6.2	positive
W09G10.3	F31E8.3	negative
M79.1	T19B4.7	negative
W03F8.1	W05H7.4	negative
F14F11.1	C09H6.2	positive
F35D2.5	T10B11.3	negative
F41G4.2	W08G11.4	negative
ZK1128.8	C05D2.5	negative
D2030.6	F36A2.1	negative
C44F1.2	F58A3.2	negative
Y43E12A.1	F17E5.1	negative
C52E12.2	K08E3.4	negative
F10C1.7	T07D10.2	negative
Y82E9BR.15	D2030.6	negative
T03F1.1	F52E4.4	negative
C04E12.12	Y32H12A.4	negative
F27D9.8	D2096.2	negative
T19C3.8	C04F12.9	negative
C04E12.12	W03G9.4	negative
Y55B1AR.1	Y47D9A.2	negative
F13E9.3	K08E3.4	negative
T01E8.3	B0001.6	negative
Y37A1B.17	Y73F8A.8	positive
C02F5.7	Y76B12C.2	positive
F13G3.4	K08E3.3	negative
E02H9.8	C09H6.2	negative
M01G5.5	ZK1128.2	negative
T06E4.1	T07G12.6	negative
C12D8.10	C33H5.9	negative
F54C9.5	K06B4.6	negative
C06A8.5	F36A2.1	negative
F35A5.8	T22D1.12	negative
R119.4	T07C12.11	negative
C34D1.5	C09H6.2	negative
H42K12.1	F37A4.7	negative
T20H4.3	C43E11.6	negative
Y66H1B.4	W01F3.3	negative
