IDA	IDB	Label
YMR089C	YNL113W	negative
YIL062C	YLR038C	negative
YOL077C	YDR382W	negative
YER025W	YOR361C	positive
YJR043C	YBL039C	negative
YKR002W	YHR012W	negative
YOR076C	YDR443C	negative
YJR041C	YJL052W	negative
YNL031C	YLR423C	negative
YOR005C	YHR012W	negative
YGL030W	YJL208C	negative
YHL019C	YNL191W	negative
YJL183W	YKR054C	negative
YBR036C	YBR233W-A	negative
YHR001W-A	YCR084C	negative
YPL101W	YNL244C	negative
YMR297W	YER149C	negative
YLR117C	YPR101W	positive
YER178W	YGR030C	negative
YKL052C	YPL013C	negative
YBR198C	YLR333C	negative
YER018C	YLR088W	negative
YKL054C	YML057W	negative
YPR105C	YLR141W	negative
YLR277C	YKL196C	negative
YBR265W	YDR260C	negative
YOR153W	YDL097C	negative
YDR448W	YLR212C	negative
YCL044C	YKL145W	negative
YJR109C	YNL186W	negative
YDL074C	YPL055C	positive
YKL059C	YOR103C	negative
YJL088W	YLR208W	negative
YJL090C	YJL008C	negative
YLR325C	YML075C	negative
YPL118W	YPL203W	negative
YAL035W	YHR060W	negative
YNL286W	YNL151C	negative
YML029W	YKR081C	negative
YDR165W	YDL100C	negative
YOR096W	YHR200W	negative
YPL220W	YBR245C	negative
YDR457W	YKL067W	negative
YDR308C	YGL105W	negative
YFR052W	YOR185C	negative
YHR129C	YBR065C	negative
YJL124C	YGL212W	negative
YER007C-A	YGL151W	negative
YOR181W	YIL072W	negative
YKL057C	YPR166C	negative
YML111W	Q0105	negative
YPL181W	YNL127W	negative
YFR010W	YKR025W	negative
YNR052C	YJR092W	negative
YGR215W	YIL076W	negative
YBL085W	YPR082C	negative
YBR049C	YMR273C	negative
YDR377W	YFR028C	negative
YKL101W	YBR228W	negative
YEL053C	YHR084W	negative
YBR009C	YPR043W	negative
YOR090C	YLR085C	negative
YGR009C	YGR258C	negative
YBR198C	YDR331W	negative
YNL038W	YDL100C	negative
YIL109C	YBR289W	negative
YIL033C	YDR347W	negative
YNL224C	YKL104C	negative
YMR309C	YMR012W	positive
YOR181W	YDL149W	negative
YGR032W	YGR195W	negative
YNL071W	YDR054C	negative
YIL022W	YJL104W	positive
YDR359C	YPR023C	positive
YDR013W	YDR471W	negative
YJL104W	YJL050W	negative
YHR013C	YBR253W	negative
YDR289C	YDR425W	negative
YMR058W	YLR385C	negative
YPL010W	YKR029C	negative
YNL137C	YNL132W	negative
YDR166C	YMR112C	negative
YER072W	YOR326W	negative
Q0130	YNL330C	negative
YNL037C	YOL145C	negative
YER112W	YNL238W	negative
YJL099W	YKR048C	negative
YGR032W	YPL128C	negative
